Local Authority Reference,Works Type,Sex of Casualty,Age of Casualty,Category/__cdata/0,Direction,DistrictNumber,Latitude,Longitude
LA00434694,MINOR,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,8,39.743568,-84.785104
LA00394973,MAJOR,Male,4, Roadwork - Planned ,BOTH DIRECTIONS,8,39.782402,-83.959571
LA00436515,HIGHWAYS ACT PERMITS,Female,20, Roadwork - Planned ,BOTH DIRECTIONS,11,40.420645,-81.089085
LA00416663,HIGHWAYS ACT PERMITS,Male,18, Flooding ,BOTH DIRECTIONS,10,39.560238,-81.205552
LA00437064,STANDARD,Female,8, Roadwork - Planned ,BOTH DIRECTIONS,4,40.791171,-81.338288
LA00435757,MAJOR,Male,59, Roadwork - Planned ,EASTBOUND,3,41.38068,-82.067669
LA00432754,HIGHWAYS ACT PERMITS,Female,23, Flooding ,BOTH DIRECTIONS,5,39.904326,-81.553678
LA00414179,MAJOR,Male,6, Roadwork - Planned ,EASTBOUND,12,41.485068,-81.745959
LA00420783,MAJOR,Male,82, Roadwork - Planned ,BOTH DIRECTIONS,12,41.414002,-81.615962
LA00437054,MAJOR,Female,60, Other ,BOTH DIRECTIONS,9,38.78346,-82.9825
LA00408153,HIGHWAYS ACT PERMITS,Male,40, Roadwork - Planned ,BOTH DIRECTIONS,7,40.150637,-84.209052
LA00421969,MAJOR,Male,30, Roadwork - Planned ,EASTBOUND,2,41.678348,-83.588341
LA00430497,MAJOR,Male,35, Roadwork - Planned ,EASTBOUND,4,40.916555,-80.52913
LA00424578,HIGHWAYS ACT PERMITS,Female,26, Roadwork - Planned ,BOTH DIRECTIONS,3,40.919502,-82.686022
LA00434097,MAJOR,Male,24, Roadwork - Planned ,BOTH DIRECTIONS,2,41.123498,-83.158731
LA00428725,STANDARD,Male,22, Roadwork - Planned ,BOTH DIRECTIONS,6,40.258044,-83.460304
LA00437808,HIGHWAYS ACT PERMITS,Male,40, Roadwork - Planned ,BOTH DIRECTIONS,2,41.683628,-83.570639
LA00436501,STANDARD,Male,26, Roadwork - Planned ,BOTH DIRECTIONS,7,40.285907,-84.169558
LA00433597,MAJOR,Male,53, Roadwork - Planned ,SOUTHBOUND,2,41.678404,-83.573391
LA00434086,HIGHWAYS ACT PERMITS,Male,23, Roadwork - Planned ,BOTH DIRECTIONS,4,41.159871,-80.647569
LA00436423,MINOR,Female,40, Roadwork - Planned ,BOTH DIRECTIONS,8,39.243767,-84.448822
LA00432628,MAJOR,Male,22, Roadwork - Planned ,BOTH DIRECTIONS,8,39.144949,-84.729028
LA00436663,HIGHWAYS ACT PERMITS,Male,15, Roadwork - Planned ,BOTH DIRECTIONS,4,41.261695,-81.375088
LA00352027,HIGHWAYS ACT PERMITS,Male,21, Roadwork - Unplanned ,NORTHBOUND,10,39.308441,-81.870413
LA00398973,MAJOR,Male,24, Roadwork - Planned ,WESTBOUND,4,40.911016,-80.518877
LA00437241,HIGHWAYS ACT PERMITS,Female,61, Roadwork - Planned ,BOTH DIRECTIONS,11,40.427772,-81.363719
LA00432529,HIGHWAYS ACT PERMITS,Female,7, Roadwork - Planned ,BOTH DIRECTIONS,4,41.062279,-81.517469
LA00435588,HIGHWAYS ACT PERMITS,Female,33, Roadwork - Planned ,BOTH DIRECTIONS,10,39.579369,-81.649568
LA00429505,STANDARD,Female,5, Roadwork - Planned ,BOTH DIRECTIONS,7,39.74131,-84.204315
LA00436461,MINOR,Male,26, Roadwork - Planned ,BOTH DIRECTIONS,12,41.384533,-81.132655
LA00432543,HIGHWAYS ACT PERMITS,Female,51, Roadwork - Planned ,BOTH DIRECTIONS,8,39.430098,-84.078778
LA00434692,MINOR,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,8,39.819634,-84.072593
LA00375752,HIGHWAYS ACT PERMITS,Female,82, Roadwork - Planned ,BOTH DIRECTIONS,4,40.666794,-81.247563
LA00397638,MAJOR,Female,56, Roadwork - Planned ,BOTH DIRECTIONS,10,39.779525,-80.861106
LA00430828,MAJOR,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,9,39.130799,-82.43339
LA00433110,MAJOR,Male,93, Flooding ,BOTH DIRECTIONS,10,39.396357,-82.136212
LA00434505,STANDARD,Male,35, Roadwork - Planned ,BOTH DIRECTIONS,9,39.088703,-83.134713
LA00435470,MAJOR,Male,46, Roadwork - Planned ,BOTH DIRECTIONS,12,41.461845,-81.694733
LA00437506,MINOR,Male,28, Roadwork - Planned ,BOTH DIRECTIONS,4,41.239671,-81.367423
LA00435468,STANDARD,Male,28, Roadwork - Planned ,BOTH DIRECTIONS,12,41.416467,-81.623724
LA00428090,HIGHWAYS ACT PERMITS,Male,25, Roadwork - Planned ,BOTH DIRECTIONS,2,41.688338,-83.561895
LA00437558,HIGHWAYS ACT PERMITS,Male,19, Roadwork - Planned ,WESTBOUND,6,39.954606,-82.976859
LA00437395,HIGHWAYS ACT PERMITS,Male,32, Roadwork - Planned ,BOTH DIRECTIONS,12,41.494354,-81.615193
LA00420768,MAJOR,Male,39, Roadwork - Planned ,BOTH DIRECTIONS,9,38.488897,-82.547661
LA00436516,MAJOR,Male,25, Roadwork - Planned ,BOTH DIRECTIONS,8,39.158371,-84.653596
LA00434599,MAJOR,Male,61, Roadwork - Planned ,BOTH DIRECTIONS,3,41.264099,-82.060729
LA00430492,MAJOR,Male,16, Roadwork - Planned ,BOTH DIRECTIONS,4,40.828691,-81.397877
LA00435443,MINOR,Female,14, Roadwork - Planned ,BOTH DIRECTIONS,12,41.49443,-81.615829
LA00433430,MAJOR,Female,17, Roadwork - Unplanned ,BOTH DIRECTIONS,10,39.65425,-81.823667
LA00413134,STANDARD,Male,62, Roadwork - Planned ,BOTH DIRECTIONS,10,39.853337,-81.155693
LA00428980,MINOR,Male,44, Roadwork - Planned ,BOTH DIRECTIONS,12,41.522323,-81.622238
LA00434504,MAJOR,Male,25, Roadwork - Unplanned ,BOTH DIRECTIONS,9,38.969658,-83.506408
LA00418621,MAJOR,Male,59, Roadwork - Planned ,BOTH DIRECTIONS,9,38.868891,-82.908874
LA00436076,STANDARD,Female,36, Roadwork - Unplanned ,BOTH DIRECTIONS,11,40.017249,-80.949996
LA00389863,MAJOR,Female,14, Roadwork - Planned ,BOTH DIRECTIONS,4,40.654128,-81.570348
LA00437073,MAJOR,Female,23, Other ,BOTH DIRECTIONS,9,38.944412,-83.550688
LA00428116,HIGHWAYS ACT PERMITS,Female,16, Roadwork - Planned ,BOTH DIRECTIONS,9,39.205668,-83.813103
LA00420758,MAJOR,Male,35, Roadwork - Planned ,BOTH DIRECTIONS,12,41.509588,-81.614741
LA00428063,HIGHWAYS ACT PERMITS,Male,43, Roadwork - Planned ,BOTH DIRECTIONS,9,39.032628,-82.617138
LA00434057,MAJOR,Female,22, Roadwork - Planned ,BOTH DIRECTIONS,3,40.74712,-83.034091
LA00437546,MAJOR,Female,48, Roadwork - Planned ,BOTH DIRECTIONS,3,41.464407,-81.996587
LA00436014,MAJOR,Female,67, Roadwork - Planned ,NORTHBOUND,10,39.694783,-81.885326
LA00434001,HIGHWAYS ACT PERMITS,Male,31, Roadwork - Planned ,NORTHBOUND,7,39.746044,-84.204647
LA00431405,HIGHWAYS ACT PERMITS,Male,39, Roadwork - Planned ,BOTH DIRECTIONS,7,39.838818,-84.060024
LA00432212,MINOR,Male,36, Roadwork - Planned ,SOUTHBOUND,12,41.460665,-81.694793
LA00433645,MAJOR,Female,58, Roadwork - Planned ,BOTH DIRECTIONS,5,39.934515,-82.007007
LA00339263,HIGHWAYS ACT PERMITS,Male,46, Roadwork - Planned ,SOUTHBOUND,8,39.104604,-84.282936
LA00428166,MAJOR,Female,20, Roadwork - Planned ,BOTH DIRECTIONS,2,41.687553,-83.555629
LA00437666,STANDARD,Male,30, Flooding ,BOTH DIRECTIONS,11,40.512174,-81.925172
LA00434609,MAJOR,Male,37, Roadwork - Planned ,BOTH DIRECTIONS,9,38.862948,-82.897363
LA00436569,HIGHWAYS ACT PERMITS,Female,13, Roadwork - Unplanned ,EASTBOUND,10,39.639061,-81.175404
LA00431725,HIGHWAYS ACT PERMITS,Female,38, Roadwork - Planned ,NORTHBOUND,12,41.420669,-81.644152
LA00433621,STANDARD,Male,32, Roadwork - Planned ,BOTH DIRECTIONS,9,39.1353,-83.562186
LA00434898,MAJOR,Female,13, Roadwork - Planned ,BOTH DIRECTIONS,11,40.143092,-80.794126
LA00436018,MAJOR,Male,55, Roadwork - Planned ,BOTH DIRECTIONS,10,39.604371,-81.163083
LA00436498,STANDARD,Male,57, Roadwork - Planned ,BOTH DIRECTIONS,5,40.385,-82.250781
LA00436378,MINOR,Female,49, Roadwork - Planned ,BOTH DIRECTIONS,4,41.201983,-80.663787
LA00429797,HIGHWAYS ACT PERMITS,Female,32, Roadwork - Planned ,BOTH DIRECTIONS,5,40.147243,-81.549793
LA00426886,MAJOR,Female,22, Roadwork - Planned ,BOTH DIRECTIONS,3,41.157636,-82.023412
LA00436369,STANDARD,Male,47, Roadwork - Planned ,SOUTHBOUND,12,41.494966,-81.682234
LA00433114,HIGHWAYS ACT PERMITS,Female,22, Roadwork - Planned ,BOTH DIRECTIONS,7,40.324331,-84.370844
LA00422005,MAJOR,Male,25, Roadwork - Planned ,SOUTHBOUND,6,40.098342,-83.135186
LA00435233,MAJOR,Male,29, Flooding ,BOTH DIRECTIONS,11,40.642201,-81.931834
LA00427955,MAJOR,Male,31, Roadwork - Planned ,BOTH DIRECTIONS,11,40.106013,-80.778178
LA00432049,HIGHWAYS ACT PERMITS,Male,30, Roadwork - Planned ,SOUTHBOUND,2,41.685831,-83.56726
LA00434860,MAJOR,Female,52, Flooding ,BOTH DIRECTIONS,10,39.301072,-81.905306
LA00429280,HIGHWAYS ACT PERMITS,Male,43, Roadwork - Planned ,BOTH DIRECTIONS,9,38.75127,-82.875768
LA00435672,MAJOR,Female,38, Roadwork - Planned ,BOTH DIRECTIONS,10,39.162665,-82.134935
LA00428951,HIGHWAYS ACT PERMITS,Male,21, Roadwork - Planned ,BOTH DIRECTIONS,9,39.346075,-83.559811
LA00421047,HIGHWAYS ACT PERMITS,Male,28, Roadwork - Planned ,BOTH DIRECTIONS,11,40.751016,-80.936673
LA00435593,HIGHWAYS ACT PERMITS,Male,21, Roadwork - Planned ,BOTH DIRECTIONS,4,40.688986,-81.433317
LA00436758,HIGHWAYS ACT PERMITS,Male,49, Roadwork - Planned ,BOTH DIRECTIONS,5,39.783969,-81.852641
LA00437542,MINOR,Male,27, Other ,SOUTHBOUND,4,40.830094,-81.397533
LA00378173,MINOR,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,4,41.063248,-81.527972
LA00425424,HIGHWAYS ACT PERMITS,Female,24, Roadwork - Planned ,BOTH DIRECTIONS,3,40.8837,-82.196231
LA00427550,HIGHWAYS ACT PERMITS,Male,86, Roadwork - Planned ,BOTH DIRECTIONS,2,41.408944,-84.008529
LA00435665,STANDARD,Female,86, Flooding ,BOTH DIRECTIONS,10,39.238595,-82.294979
LA00388855,MAJOR,Male,42, Roadwork - Planned ,BOTH DIRECTIONS,9,38.828151,-82.851618
LA00434598,MAJOR,Female,24, Roadwork - Planned ,WESTBOUND,4,41.24303,-81.15768
LA00436362,ROAD RESTRICTION,Female,23, Roadwork - Planned ,BOTH DIRECTIONS,12,41.475979,-81.876076
LA00434601,MAJOR,Female,37, Roadwork - Unplanned ,BOTH DIRECTIONS,4,40.865541,-81.430752
LA00437460,MINOR,Female,52, Roadwork - Planned ,BOTH DIRECTIONS,4,40.974367,-81.373261
LA00437338,HIGHWAYS ACT PERMITS,Female,18, Roadwork - Planned ,BOTH DIRECTIONS,8,39.339998,-84.715675
LA00433595,HIGHWAYS ACT PERMITS,Male,23, Roadwork - Planned ,BOTH DIRECTIONS,3,41.136292,-81.800503
LA00435419,MAJOR,Female,47, Roadwork - Planned ,BOTH DIRECTIONS,10,39.271395,-82.519827
LA00430483,HIGHWAYS ACT PERMITS,Female,43, Roadwork - Planned ,BOTH DIRECTIONS,3,41.021015,-81.996018
LA00437099,HIGHWAYS ACT PERMITS,Female,10, Roadwork - Planned ,BOTH DIRECTIONS,3,41.158226,-81.862988
LA00436082,HIGHWAYS ACT PERMITS,Male,45, Roadwork - Unplanned ,SOUTHBOUND,10,39.681046,-80.910076
LA00437810,HIGHWAYS ACT PERMITS,Male,40, Roadwork - Planned ,BOTH DIRECTIONS,9,38.969414,-83.473429
LA00403232,HIGHWAYS ACT PERMITS,Female,29, Roadwork - Planned ,BOTH DIRECTIONS,7,39.764779,-84.193243
LA00425779,HIGHWAYS ACT PERMITS,Male,56, Other ,NORTHBOUND,8,39.164187,-84.431335
LA00436312,HIGHWAYS ACT PERMITS,Male,22, Roadwork - Planned ,BOTH DIRECTIONS,11,40.900316,-80.722829
LA00429903,STANDARD,Male,21, Roadwork - Planned ,BOTH DIRECTIONS,12,41.475786,-81.659548
LA00436047,STANDARD,Male,51, Roadwork - Planned ,BOTH DIRECTIONS,4,41.056147,-81.528684
LA00435758,STANDARD,Male,18, Roadwork - Planned ,BOTH DIRECTIONS,9,39.132821,-82.529709
LA00378143,HIGHWAYS ACT PERMITS,Female,31, Roadwork - Planned ,BOTH DIRECTIONS,10,39.319451,-82.182597
LA00435762,MAJOR,Female,23, Flooding ,BOTH DIRECTIONS,9,39.105166,-82.979923
LA00431200,MAJOR,Female,28, Roadwork - Planned ,SOUTHBOUND,6,40.065204,-83.132762
LA00436644,HIGHWAYS ACT PERMITS,Male,26, Roadwork - Planned ,BOTH DIRECTIONS,4,41.261388,-81.345434
LA00368697,HIGHWAYS ACT PERMITS,Male,37, Roadwork - Planned ,EASTBOUND,9,39.249274,-82.848512
LA00367417,HIGHWAYS ACT PERMITS,Female,20, Roadwork - Planned ,EASTBOUND,4,41.241543,-81.123347
LA00436012,MAJOR,Male,22, Roadwork - Planned ,WESTBOUND,6,39.89318,-83.039892
LA00434096,MAJOR,Male,28, Roadwork - Planned ,NORTHBOUND,6,39.89253,-83.036599
LA00420045,HIGHWAYS ACT PERMITS,Female,50, Roadwork - Planned ,BOTH DIRECTIONS,4,41.037491,-81.585044
LA00437555,MINOR,Male,72, Roadwork - Planned ,BOTH DIRECTIONS,11,40.621186,-80.625578
LA00432891,MAJOR,Female,77, Roadwork - Planned ,BOTH DIRECTIONS,12,41.423327,-81.509384
LA00437333,HIGHWAYS ACT PERMITS,Female,39, Roadwork - Planned ,BOTH DIRECTIONS,4,41.510822,-80.753851
LA00434260,HIGHWAYS ACT PERMITS,Male,29, Roadwork - Planned ,BOTH DIRECTIONS,4,40.788314,-81.352632
LA00432889,MAJOR,Female,49, Roadwork - Planned ,BOTH DIRECTIONS,4,41.427724,-80.737223
LA00437622,MINOR,Female,68, Flooding ,BOTH DIRECTIONS,11,40.233262,-81.344935
LA00437574,HIGHWAYS ACT PERMITS,Female,30, Roadwork - Planned ,BOTH DIRECTIONS,2,41.684646,-83.571465
LA00431385,HIGHWAYS ACT PERMITS,Female,79, Roadwork - Planned ,BOTH DIRECTIONS,9,38.751002,-82.876497
LA00434937,HIGHWAYS ACT PERMITS,Male,21, Roadwork - Planned ,BOTH DIRECTIONS,12,41.38683,-81.143083
LA00429088,STANDARD,Female,20, Roadwork - Planned ,BOTH DIRECTIONS,8,39.194851,-84.475222
LA00436293,STANDARD,Male,38, Roadwork - Planned ,BOTH DIRECTIONS,8,39.274478,-84.522682
LA00418369,MAJOR,Male,20, Roadwork - Unplanned ,NORTHBOUND,10,39.222329,-81.788149
LA00434523,MAJOR,Female,49, Flooding ,BOTH DIRECTIONS,10,39.696049,-81.886848
LA00432137,HIGHWAYS ACT PERMITS,Male,47, Roadwork - Planned ,WESTBOUND,10,39.076045,-81.816148
LA00428081,HIGHWAYS ACT PERMITS,Male,36, Roadwork - Planned ,BOTH DIRECTIONS,8,39.221774,-84.535628
LA00436614,STANDARD,Female,50, Roadwork - Planned ,BOTH DIRECTIONS,9,39.189765,-83.610131
LA00436262,MAJOR,Male,15, Roadwork - Planned ,BOTH DIRECTIONS,8,39.007161,-84.300648
LA00437745,HIGHWAYS ACT PERMITS,Female,25, Roadwork - Unplanned ,WESTBOUND,10,39.630772,-80.914581
LA00434253,MAJOR,Male,23, Roadwork - Unplanned ,WESTBOUND,10,39.681466,-80.923024
LA00437530,MINOR,Male,40, Roadwork - Planned ,BOTH DIRECTIONS,9,39.239013,-83.643579
LA00434050,MAJOR,Female,23, Other ,EASTBOUND,4,41.039802,-81.662643
LA00434930,MAJOR,Female,53, Roadwork - Planned ,BOTH DIRECTIONS,8,39.173535,-84.491272
LA00437068,MAJOR,Female,13, Roadwork - Planned ,BOTH DIRECTIONS,4,41.165993,-80.87463
LA00436020,STANDARD,Male,53, Roadwork - Planned ,BOTH DIRECTIONS,4,41.427724,-80.737223
LA00424319,HIGHWAYS ACT PERMITS,Female,32, Roadwork - Planned ,BOTH DIRECTIONS,3,40.635749,-82.238853
LA00434534,MINOR,Male,49, Roadwork - Unplanned ,BOTH DIRECTIONS,10,39.333377,-81.889431
LA00437059,MAJOR,Female,39, Roadwork - Planned ,BOTH DIRECTIONS,3,41.411272,-82.180062
LA00437496,HIGHWAYS ACT PERMITS,Female,52, Roadwork - Planned ,BOTH DIRECTIONS,12,41.491469,-81.709967
LA00421797,MAJOR,Male,62, Roadwork - Planned ,BOTH DIRECTIONS,8,39.254319,-84.434712
LA00424325,HIGHWAYS ACT PERMITS,Female,19, Roadwork - Planned ,BOTH DIRECTIONS,5,40.39131,-82.479252
LA00432890,MAJOR,Female,23, Roadwork - Planned ,BOTH DIRECTIONS,3,41.404718,-82.117193
LA00426272,MAJOR,Female,26, Roadwork - Planned ,WESTBOUND,12,41.581281,-81.540451
LA00437656,MAJOR,Male,49, Roadwork - Planned ,WESTBOUND,12,41.498236,-81.705356
LA00420764,MAJOR,Female,48, Roadwork - Planned ,BOTH DIRECTIONS,4,41.040538,-81.657701
LA00435475,MAJOR,Female,22, Roadwork - Planned ,BOTH DIRECTIONS,8,39.072795,-84.326106
LA00434533,MAJOR,Male,39, Roadwork - Planned ,BOTH DIRECTIONS,8,39.765619,-84.701011
LA00435254,MAJOR,Male,42, Roadwork - Planned ,BOTH DIRECTIONS,11,40.049201,-80.734029
LA00435477,MAJOR,Female,50, Roadwork - Planned ,BOTH DIRECTIONS,9,38.96334,-83.418477
LA00434083,HIGHWAYS ACT PERMITS,Male,18, Roadwork - Planned ,BOTH DIRECTIONS,9,39.135053,-83.563942
LA00435664,STANDARD,Male,31, Roadwork - Unplanned ,BOTH DIRECTIONS,10,39.413821,-82.589465
LA00435416,MAJOR,Male,43, Roadwork - Planned ,BOTH DIRECTIONS,11,40.88477,-80.650871
LA00435670,MINOR,Male,45, Roadwork - Planned ,BOTH DIRECTIONS,3,41.191659,-82.411051
LA00426271,MAJOR,Female,51, Roadwork - Unplanned ,WESTBOUND,10,39.66719,-81.323363
LA00429436,STANDARD,Male,21, Roadwork - Planned ,WESTBOUND,12,41.579766,-81.544013
LA00398696,HIGHWAYS ACT PERMITS,Male,35, Roadwork - Planned ,SOUTHBOUND,2,41.686538,-83.56671
LA00426065,MAJOR,Male,24, Roadwork - Planned ,BOTH DIRECTIONS,11,40.632886,-81.187253
LA00436666,HIGHWAYS ACT PERMITS,Female,36, Roadwork - Planned ,BOTH DIRECTIONS,9,38.558987,-82.352585
LA00426420,HIGHWAYS ACT PERMITS,Male,27, Roadwork - Planned ,SOUTHBOUND,9,38.892462,-83.000309
LA00436628,HIGHWAYS ACT PERMITS,Female,26, Roadwork - Planned ,BOTH DIRECTIONS,3,41.464585,-82.022092
LA00429288,HIGHWAYS ACT PERMITS,Female,27, Roadwork - Planned ,BOTH DIRECTIONS,8,39.626194,-84.754343
LA00426298,HIGHWAYS ACT PERMITS,Male,48, Roadwork - Planned ,SOUTHBOUND,8,39.10052,-84.504357
LA00435476,MAJOR,Male,14, Roadwork - Planned ,WESTBOUND,2,41.501486,-82.837491
LA00394965,MAJOR,Female,25, Roadwork - Planned ,BOTH DIRECTIONS,1,40.802752,-83.380404
LA00436289,STANDARD,Male,48, Roadwork - Planned ,BOTH DIRECTIONS,8,39.251926,-84.423987
LA00435421,MAJOR,Female,34, Roadwork - Unplanned ,NORTHBOUND,10,39.687123,-80.936855
LA00428925,MAJOR,Male,25, Roadwork - Planned ,BOTH DIRECTIONS,4,41.039295,-81.661829
LA00435584,MAJOR,Male,25, Roadwork - Planned ,BOTH DIRECTIONS,9,39.165378,-82.736575
LA00437335,HIGHWAYS ACT PERMITS,Female,22, Roadwork - Planned ,BOTH DIRECTIONS,8,39.059596,-84.424845
LA00426783,MINOR,Male,23, Flooding ,BOTH DIRECTIONS,10,39.371175,-82.274721
LA00435678,MAJOR,Male,21, Roadwork - Planned ,BOTH DIRECTIONS,6,40.1196,-83.463408
LA00436111,STANDARD,Male,36, Flooding ,BOTH DIRECTIONS,10,39.326572,-82.265795
LA00435754,MAJOR,Male,52, Roadwork - Planned ,BOTH DIRECTIONS,9,39.031852,-82.823586
LA00329315,HIGHWAYS ACT PERMITS,Male,39, Roadwork - Planned ,WESTBOUND,10,39.807179,-81.179915
LA00435682,MAJOR,Male,63, Roadwork - Planned ,SOUTHBOUND,2,41.687262,-83.552604
LA00437446,HIGHWAYS ACT PERMITS,Female,12, Roadwork - Planned ,BOTH DIRECTIONS,11,40.686033,-80.642271
LA00437269,MAJOR,Male,19, Accident ,BOTH DIRECTIONS,11,39.96756,-81.178542
LA00401782,HIGHWAYS ACT PERMITS,Male,12, Roadwork - Planned ,BOTH DIRECTIONS,7,39.853261,-83.994407
LA00428113,HIGHWAYS ACT PERMITS,Male,30, Roadwork - Planned ,BOTH DIRECTIONS,7,39.84773,-84.425052
LA00436272,STANDARD,Male,29, Roadwork - Planned ,BOTH DIRECTIONS,7,39.87039,-83.993636
LA00415664,HIGHWAYS ACT PERMITS,Male,37, Roadwork - Planned ,BOTH DIRECTIONS,9,38.566208,-82.759664
LA00437162,MINOR,Male,61, Roadwork - Planned ,BOTH DIRECTIONS,9,38.551766,-82.518826
LA00437070,MAJOR,Male,30, Roadwork - Planned ,BOTH DIRECTIONS,1,40.842262,-84.349281
LA00435447,STANDARD,Male,42, Roadwork - Planned ,BOTH DIRECTIONS,12,41.579215,-81.544516
LA00430423,MAJOR,Female,34, Roadwork - Planned ,EASTBOUND,12,41.301328,-81.702072
LA00435997,MAJOR,Male,57, Flooding ,BOTH DIRECTIONS,10,39.27819,-81.833359
LA00398180,HIGHWAYS ACT PERMITS,Male,26, Roadwork - Planned ,BOTH DIRECTIONS,3,41.047782,-81.728794
LA00434546,MINOR,Male,63, Roadwork - Planned ,BOTH DIRECTIONS,8,39.700817,-83.99828
LA00433070,HIGHWAYS ACT PERMITS,Female,57, Roadwork - Planned ,BOTH DIRECTIONS,1,41.120297,-84.476861
LA00433408,MAJOR,Male,24, Roadwork - Planned ,SOUTHBOUND,6,39.894208,-83.039765
LA00436982,HIGHWAYS ACT PERMITS,Male,59, Roadwork - Planned ,BOTH DIRECTIONS,5,40.059639,-81.686226
LA00434603,MAJOR,Male,45, Roadwork - Unplanned ,WESTBOUND,10,39.430245,-81.863951
LA00425287,HIGHWAYS ACT PERMITS,Male,39, Roadwork - Planned ,BOTH DIRECTIONS,9,38.952831,-83.045503
LA00436504,STANDARD,Male,47, Roadwork - Planned ,BOTH DIRECTIONS,9,39.204342,-83.737944
LA00434903,MAJOR,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,4,41.303872,-81.412373
LA00397054,MINOR,Male,20, Flooding ,BOTH DIRECTIONS,11,40.318978,-81.311625
LA00411741,HIGHWAYS ACT PERMITS,Male,21, Roadwork - Planned ,SOUTHBOUND,2,41.653963,-83.553034
LA00434744,HIGHWAYS ACT PERMITS,Male,24, Roadwork - Planned ,BOTH DIRECTIONS,4,41.309547,-81.132695
