Local Authority Reference,Works Type,Casualty Class,Casualty Severity,FULLNAME,WORKTYPE_DESCRIPTION,Direction,CountyCode,DistrictNumber
LA00428090,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,LUC,2
LA00437558,HIGHWAYS ACT PERMITS,Passenger,Slight,OPS PLUS (contractor for Spectrum),Lane Closure,WESTBOUND,FRA,6
LA00437395,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00420768,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,LAW,9
LA00436516,MAJOR,Driver,Slight,MCI Metro/TCS Communications,Lane Closure,BOTH DIRECTIONS,HAM,8
LA00434599,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,LOR,3
LA00430492,MAJOR,Driver,Serious,,"Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,STA,4
LA00435443,MINOR,Passenger,Slight,Jacob L Mathis,"Excavation, Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00433430,MAJOR,Pedestrian,Slight,Jacob L Mathis,"Excavation, Road Closure, Sidewalk Closure",BOTH DIRECTIONS,MRG,10
LA00413134,STANDARD,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,MOE,10
LA00428980,MINOR,Pedestrian,Slight,,"Excavation, Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00434504,MAJOR,Driver,Serious,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ADA,9
LA00418621,MAJOR,Driver,Slight,Verizon/Star Construction,"Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,SCI,9
LA00436076,STANDARD,Pedestrian,Slight,Verizon/Star Construction,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,BEL,11
LA00389863,MAJOR,Passenger,Slight,Jacob L Mathis,"Road Closure, Utility Cut",BOTH DIRECTIONS,STA,4
LA00437073,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ADA,9
LA00428116,HIGHWAYS ACT PERMITS,Pedestrian,Slight,CITY OF LOUISVILLE PUBLIC PROPERTIES,"Road Closure, Sidewalk Closure",BOTH DIRECTIONS,HIG,9
LA00420758,MAJOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,CUY,12
LA00428063,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,JAC,9
LA00434057,MAJOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,CRA,3
LA00437546,MAJOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,LOR,3
LA00436014,MAJOR,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",NORTHBOUND,MRG,10
LA00434001,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,NORTHBOUND,MOT,7
LA00431405,HIGHWAYS ACT PERMITS,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,MOT,7
LA00432212,MINOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,SOUTHBOUND,CUY,12
LA00433645,MAJOR,Driver,Slight,,"Excavation, Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,MUS,5
LA00339263,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,SOUTHBOUND,CLE,8
LA00428166,MAJOR,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,LUC,2
LA00437666,STANDARD,Driver,Serious,,Lane Closure,BOTH DIRECTIONS,HOL,11
LA00434609,MAJOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,SCI,9
LA00436569,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,"Excavation, Lane Closure",EASTBOUND,MOE,10
LA00431725,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure",NORTHBOUND,CUY,12
LA00433621,STANDARD,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,HIG,9
LA00434898,MAJOR,Pedestrian,Serious,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,BEL,11
LA00436018,MAJOR,Driver,Serious,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MOE,10
LA00436498,STANDARD,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,KNO,5
LA00436378,MINOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,TRU,4
LA00429797,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,GUE,5
LA00426886,MAJOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,MED,3
LA00436369,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure",SOUTHBOUND,CUY,12
LA00433114,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Road Closure, Sidewalk Closure",BOTH DIRECTIONS,SHE,7
LA00422005,MAJOR,Driver,Slight,MCI Metro/TCS Communications,"Lane Closure, Sidewalk Closure",SOUTHBOUND,FRA,6
LA00435233,MAJOR,Passenger,Serious,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HOL,11
LA00427955,MAJOR,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure",BOTH DIRECTIONS,BEL,11
LA00432049,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,"Lane Closure, Sidewalk Closure",SOUTHBOUND,LUC,2
LA00434860,MAJOR,Passenger,Slight,MCI Metro/TCS Communications,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ATH,10
LA00429280,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SCI,9
LA00435672,MAJOR,Passenger,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MEG,10
LA00428951,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,HIG,9
LA00421047,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,COL,11
LA00435593,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Utility Cut",BOTH DIRECTIONS,STA,4
LA00436758,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Utility Cut",BOTH DIRECTIONS,MUS,5
LA00437542,MINOR,Driver,Slight,,"Excavation, Lane Closure",SOUTHBOUND,STA,4
LA00378173,MINOR,Pedestrian,Serious,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,SUM,4
LA00425424,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ASD,3
LA00427550,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,HEN,2
LA00435665,STANDARD,Passenger,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,VIN,10
LA00388855,MAJOR,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SCI,9
LA00434598,MAJOR,Driver,Slight,,Lane Closure,WESTBOUND,POR,4
LA00436362,ROAD RESTRICTION,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,CUY,12
LA00434601,MAJOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,STA,4
LA00437460,MINOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,STA,4
LA00437338,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,BUT,8
LA00433595,HIGHWAYS ACT PERMITS,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,MED,3
LA00435419,MAJOR,Driver,Slight,,"Excavation, Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,VIN,10
LA00430483,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MED,3
LA00437099,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MED,3
LA00436082,HIGHWAYS ACT PERMITS,Driver,Serious,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",SOUTHBOUND,MOE,10
LA00437810,HIGHWAYS ACT PERMITS,Pedestrian,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ADA,9
LA00403232,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MOT,7
LA00425779,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",NORTHBOUND,HAM,8
LA00436312,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,COL,11
LA00429903,STANDARD,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,CUY,12
LA00436047,STANDARD,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,SUM,4
LA00435758,STANDARD,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,JAC,9
LA00378143,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ATH,10
LA00435762,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,PIK,9
LA00431200,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",SOUTHBOUND,FRA,6
LA00436644,HIGHWAYS ACT PERMITS,Driver,Slight,Verizon/Star Construction,"Lane Closure, Road Closure, Sidewalk Closure",BOTH DIRECTIONS,POR,4
LA00368697,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure",EASTBOUND,ROS,9
LA00367417,HIGHWAYS ACT PERMITS,Passenger,Slight,,Lane Closure,EASTBOUND,POR,4
LA00436012,MAJOR,Passenger,Slight,Jacob L Mathis,Road Closure,WESTBOUND,FRA,6
LA00434096,MAJOR,Passenger,Slight,,Lane Closure,NORTHBOUND,FRA,6
LA00420045,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SUM,4
LA00437555,MINOR,Pedestrian,Slight,Louisville Water Company,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,COL,11
LA00432891,MAJOR,Pedestrian,Slight,Louisville Water Company,"Excavation, Road Closure, Utility Cut",BOTH DIRECTIONS,CUY,12
LA00437333,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,ATB,4
LA00434260,HIGHWAYS ACT PERMITS,Passenger,Slight,Jacob L Mathis,Road Closure,BOTH DIRECTIONS,STA,4
LA00432889,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,TRU,4
LA00437622,MINOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,TUS,11
LA00437574,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Road Closure, Sidewalk Closure",BOTH DIRECTIONS,LUC,2
LA00431385,HIGHWAYS ACT PERMITS,Pedestrian,Serious,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SCI,9
LA00434937,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,GEA,12
LA00429088,STANDARD,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,HAM,8
LA00436293,STANDARD,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,HAM,8
LA00418369,MAJOR,Driver,Serious,,"Excavation, Lane Closure",NORTHBOUND,ATH,10
LA00434523,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MRG,10
LA00432137,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,Lane Closure,WESTBOUND,MEG,10
LA00428081,HIGHWAYS ACT PERMITS,Driver,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAM,8
LA00436614,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,HIG,9
LA00436262,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,CLE,8
LA00437745,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure",WESTBOUND,MOE,10
LA00434253,MAJOR,Passenger,Slight,OPS PLUS (contractor for Spectrum),"Excavation, Lane Closure",WESTBOUND,MOE,10
LA00437530,MINOR,Driver,Serious,,"Lane Closure, Utility Cut",BOTH DIRECTIONS,HIG,9
LA00434050,MAJOR,Driver,Slight,,"Lane Closure, Utility Cut",EASTBOUND,SUM,4
LA00434930,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,HAM,8
LA00437068,MAJOR,Pedestrian,Slight,,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,TRU,4
LA00436020,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,TRU,4
LA00424319,HIGHWAYS ACT PERMITS,Driver,Serious,KCI Tecnologies,"Lane Closure, Road Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,ASD,3
LA00434534,MINOR,Driver,Slight,,"Lane Closure, Utility Cut",BOTH DIRECTIONS,ATH,10
LA00437059,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,LOR,3
LA00437496,HIGHWAYS ACT PERMITS,Pedestrian,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,CUY,12
LA00421797,MAJOR,Pedestrian,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAM,8
LA00424325,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,KNO,5
LA00432890,MAJOR,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,LOR,3
LA00426272,MAJOR,Pedestrian,Serious,,"Excavation, Lane Closure, Sidewalk Closure",WESTBOUND,CUY,12
LA00437656,MAJOR,Pedestrian,Slight,,"Excavation, Lane Closure",WESTBOUND,CUY,12
LA00420764,MAJOR,Driver,Slight,Tilson Technology Management,"Excavation, Lane Closure",BOTH DIRECTIONS,SUM,4
LA00435475,MAJOR,Driver,Serious,Tilson Technology Management,"Excavation, Lane Closure",BOTH DIRECTIONS,HAM,8
LA00434533,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,PRE,8
LA00435254,MAJOR,Driver,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,BEL,11
LA00435477,MAJOR,Passenger,Slight,Verizon/TCS Communications,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ADA,9
LA00434083,HIGHWAYS ACT PERMITS,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,HIG,9
LA00435664,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HOC,10
LA00435416,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,COL,11
LA00435670,MINOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,HUR,3
LA00426271,MAJOR,Driver,Slight,,"Excavation, Lane Closure",WESTBOUND,NOB,10
LA00429436,STANDARD,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure",WESTBOUND,CUY,12
LA00398696,HIGHWAYS ACT PERMITS,Driver,Slight,,Road Closure,SOUTHBOUND,LUC,2
LA00426065,MAJOR,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,CAR,11
LA00436666,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,"Excavation, Lane Closure",BOTH DIRECTIONS,LAW,9
LA00426420,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure, Sidewalk Closure",SOUTHBOUND,SCI,9
LA00436628,HIGHWAYS ACT PERMITS,Driver,Slight,,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,LOR,3
LA00429288,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,PRE,8
LA00426298,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,"Excavation, Lane Closure, Sidewalk Closure",SOUTHBOUND,HAM,8
LA00435476,MAJOR,Pedestrian,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",WESTBOUND,OTT,2
LA00394965,MAJOR,Driver,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,WYA,1
LA00436289,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAM,8
LA00435421,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",NORTHBOUND,MOE,10
LA00428925,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SUM,4
LA00435584,MAJOR,Driver,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,JAC,9
LA00437335,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAM,8
LA00426783,MINOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ATH,10
