Type,Severity,Accident Ref No.,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
Rain,Light,10CA0000739,Driver,Slight,Male,21
Rain,Light,10CA0000739,Driver,Slight,Male,51
Rain,Light,10MU0000616,Driver,Slight,Male,18
Rain,Moderate,10BA0000619,Driver,Slight,Female,31
Rain,Light,10BA0000676,Passenger,Slight,Female,23
Rain,Light,10BA0000676,Passenger,Slight,Female,28
Rain,Moderate,10BA0000708,Driver,Slight,Male,26
Rain,Light,10BA0000708,Driver,Slight,Male,37
Rain,Moderate,10BA0000708,Passenger,Slight,Female,20
Rain,Light,10BA0000708,Passenger,Slight,Male,22
Rain,Moderate,10BA0000708,Passenger,Slight,Male,28
Precipitation,UNK,10BA0000710,Driver,Slight,Female,50
Rain,Light,10AA0000631,Pedestrian,Slight,Male,72
Rain,Light,10AA0000631,Pedestrian,Slight,Female,77
Rain,Light,10AA0000644,Driver,Slight,Female,39
Rain,Light,10AA0000668,Passenger,Slight,Male,29
Rain,Light,10AA0000668,Passenger,Slight,Female,49
Rain,Light,10CA0000656,Driver,Slight,Female,68
Rain,Light,10CA0000674,Passenger,Slight,Female,30
Rain,Light,10CA0000689,Pedestrian,Serious,Female,79
Rain,Light,10CA0000791,Driver,Slight,Male,21
Rain,Moderate,10MU0000709,Driver,Slight,Female,20
Rain,Light,10AA0000733,Driver,Slight,Male,38
Rain,Moderate,10AA0000847,Driver,Serious,Male,20
Rain,Light,10BA0000666,Driver,Slight,Female,49
Rain,Moderate,10BA0000693,Pedestrian,Slight,Male,47
Rain,Light,10MU0000841,Driver,Slight,Male,36
Rain,Light,10BA0000694,Driver,Slight,Female,50
Rain,Light,10BA0000703,Driver,Slight,Male,15
Rain,Light,10BA0000760,Driver,Slight,Female,25
Rain,Light,10BA0000760,Passenger,Slight,Male,23
Rain,Light,10CA0000678,Driver,Serious,Male,40
Rain,Light,10MU0000855,Driver,Slight,Female,23
Rain,Moderate,10AA0000714,Driver,Slight,Female,53
Rain,Light,10AA0001017,Pedestrian,Slight,Female,13
Rain,Moderate,10AA0001543,Driver,Slight,Male,53
Rain,Light,10AA0001543,Driver,Serious,Female,32
Rain,Light,10BA0000662,Driver,Slight,Male,49
Rain,Light,10BA0000662,Passenger,Slight,Female,39
Rain,Light,10BA0000748,Pedestrian,Slight,Female,52
Rain,Light,10CA0000731,Pedestrian,Slight,Male,62
Rain,Light,10CA0000740,Passenger,Slight,Female,19
Fog,Severe,10CA0000740,Passenger,Slight,Female,23
Fog,Severe,10AA0000794,Pedestrian,Serious,Female,26
Fog,Severe,10AA0000811,Pedestrian,Slight,Male,49
Fog,Severe,10AA0000825,Driver,Slight,Female,48
Fog,Severe,10AA0000891,Driver,Serious,Female,22
Fog,Severe,10AA0000891,Driver,Slight,Male,39
Fog,Moderate,10BA0000759,Driver,Slight,Male,42
Fog,Moderate,10BA0000759,Passenger,Slight,Female,50
Fog,Severe,10BA0000761,Driver,Slight,Male,18
Fog,Moderate,10CA0000826,Driver,Slight,Male,31
Fog,Severe,10MU0000956,Driver,Slight,Male,43
Fog,Moderate,10AA0000838,Driver,Slight,Male,45
Rain,Light,10AA0000854,Driver,Slight,Female,51
Rain,Light,10AA0001076,Driver,Slight,Male,21
Rain,Light,10AA0001207,Driver,Slight,Male,35
Rain,Light,10AA0001207,Driver,Slight,Male,24
Fog,Moderate,10AA0001207,Passenger,Slight,Female,36
Rain,Light,10AA0001224,Driver,Slight,Male,27
Rain,Light,10AA0001224,Driver,Slight,Female,26
Rain,Light,10BA0000807,Driver,Slight,Female,27
Rain,Light,10BA0005199,Driver,Slight,Male,48
Rain,Light,10CA0000810,Pedestrian,Slight,Male,14
Rain,Light,10MU0000948,Driver,Slight,Female,25
Rain,Light,10BA0000951,Driver,Slight,Male,48
Fog,Moderate,10BA0000951,Driver,Slight,Female,34
Rain,Light,10CA0000783,Driver,Slight,Male,25
Fog,Moderate,10CA0000845,Driver,Slight,Male,25
Rain,Light,10CA0000845,Passenger,Slight,Female,22
Fog,Moderate,10CA0000845,Passenger,Slight,Male,23
Fog,Severe,10CA0000845,Passenger,Slight,Male,21
Fog,Severe,10MU0001027,Driver,Slight,Male,36
Fog,Severe,10MU0001027,Driver,Slight,Male,52
Fog,Moderate,10MU0001027,Driver,Slight,Male,39
Rain,Light,10MU0001027,Passenger,Slight,Male,63
Fog,Moderate,10AA0001013,Pedestrian,Serious,Female,12
Rain,Light,10AA0001071,Pedestrian,Serious,Male,19
Rain,Light,10AA0001102,Pedestrian,Slight,Male,12
Rain,Light,10AA0001603,Driver,Slight,Male,30
Rain,Light,10AA0001603,Passenger,Slight,Male,29
Rain,Light,10BA0000832,Driver,Serious,Male,37
Rain,Moderate,10BA0001192,Driver,Slight,Male,61
Fog,Severe,10CA0000886,Driver,Serious,Male,30
Rain,Heavy,10CA0000990,Driver,Serious,Male,42
Precipitation,UNK,10AA0001604,Pedestrian,Serious,Female,34
Rain,Moderate,10AA0002538,Driver,Serious,Male,57
Rain,Light,10AA0002538,Passenger,Serious,Male,26
Rain,Light,10BA0000927,Driver,Slight,Male,63
Rain,Moderate,10AA0000996,Driver,Slight,Female,57
Rain,Light,10AA0001133,Driver,Slight,Male,24
Rain,Moderate,10BA0000920,Driver,Slight,Male,59
Rain,Light,10CA0000932,Passenger,Slight,Male,45
Rain,Moderate,10CA0000971,Passenger,Slight,Male,39
Rain,Heavy,10CA0000997,Driver,Slight,Male,47
Rain,Light,10MU0000926,Driver,Slight,Male,19
Rain,Light,10MU0000926,Passenger,Slight,Male,20
Rain,Light,10MU0000926,Passenger,Slight,Male,21
Rain,Light,10AA0000944,Pedestrian,Slight,Male,24
Rain,Light,10AA0001146,Driver,Slight,Female,22
Fog,Moderate,10BA0000945,Driver,Slight,Male,62
Rain,Light,10BA0001021,Driver,Slight,Male,17
Rain,Light,10BA0001021,Passenger,Slight,Male,19
Rain,Light,10BA0001021,Passenger,Slight,Female,14
Rain,Light,10BA0001021,Passenger,Slight,Female,15
Snow,Moderate,10BA0001026,Pedestrian,Slight,Male,16
Snow,Light,10CA0001150,Driver,Slight,Female,40
Snow,Light,10CA0001494,Driver,Slight,Female,23
Snow,Light,10CA0001494,Passenger,Slight,Male,33
Fog,Severe,10AA0001063,Pedestrian,Slight,Male,13
Fog,Severe,10AA0001103,Passenger,Slight,Female,23
Fog,Severe,10AA0001160,Passenger,Slight,Female,76
Snow,Light,10AA0001160,Passenger,Slight,Female,45
Fog,Severe,10BA0001007,Pedestrian,Slight,Male,10
Fog,Severe,10BA0001085,Driver,Slight,Female,45
Fog,Severe,10BA0001085,Driver,Slight,Female,28
Fog,Moderate,10BA0001085,Passenger,Slight,Male,29
Snow,Light,10CA0000976,Pedestrian,Slight,Male,59
Snow,Light,10CA0000979,Pedestrian,Serious,Female,20
,,10CA0000979,Driver,Slight,Male,19
,,10CA0001184,Pedestrian,Serious,Male,20
,,10AA0000977,Driver,Slight,Female,43
,,10AA0001012,Driver,Slight,Male,30
,,10AA0001012,Driver,Slight,Male,56
,,10AA0001012,Passenger,Slight,Female,35
,,10AA0001043,Driver,Slight,Male,49
,,10AA0001048,Passenger,Slight,Female,65
,,10AA0001233,Pedestrian,Serious,Female,26
,,10BA0001467,Driver,Slight,Male,52
,,10CA0001068,Pedestrian,Slight,Female,46
,,10CA0001098,Pedestrian,Slight,Female,45
,,10CA0001107,Driver,Slight,Male,23
,,10CA0001107,Passenger,Slight,Male,18
,,10CA0001107,Pedestrian,Serious,Female,75
,,10CA0001107,Pedestrian,Serious,Male,80
,,10CA0001366,Driver,Slight,Female,20
,,10MU0001092,Driver,Slight,Male,37
,,10MU0001092,Passenger,Slight,Female,19
,,10AA0001058,Driver,Slight,Female,59
,,10AA0001058,Driver,Slight,Male,16
,,10BA0001288,Driver,Slight,Male,58
,,10CA0001004,Driver,Slight,Female,25
,,10CA0001066,Driver,Slight,Female,22
,,10CA0001066,Passenger,Slight,Female,35
,,10CA0001112,Pedestrian,Slight,Male,40
,,10MU0001093,Passenger,Slight,Female,55
,,10AA0001212,Pedestrian,Slight,Male,18
,,10BA0001089,Pedestrian,Slight,Female,33
,,10BA0001113,Driver,Slight,Male,22
,,10CA0001050,Passenger,Slight,Female,50
,,10BA0001078,Driver,Serious,Male,41
,,10BA0001078,Driver,Slight,Male,27
,,10BA0001297,Driver,Serious,Male,56
,,10CA0001056,Driver,Slight,Female,34
,,10CA0001056,Passenger,Slight,Female,17
,,10CA0001056,Passenger,Slight,Female,11
,,10CA0001056,Passenger,Slight,Male,43
,,10CA0001060,Pedestrian,Slight,Female,18
,,10CA0001060,Pedestrian,Slight,Female,19
,,10CA0001060,Pedestrian,Slight,Female,19
,,10CA0001595,Driver,Slight,Male,38
,,10AA0001155,Pedestrian,Slight,Male,12
,,10AA0001155,Driver,Slight,Male,42
,,10BA0001172,Passenger,Slight,Female,24
,,10CA0001181,Driver,Slight,Male,61
,,10CA0001476,Driver,Slight,Male,42
,,10CA0001476,Passenger,Slight,Female,35
,,10CA0001476,Passenger,Slight,Female,57
,,10CA0001752,Driver,Slight,Female,46
,,10CA0001752,Passenger,Slight,Male,7
,,10AA0001149,Pedestrian,Slight,Male,18
,,10BA0001190,Driver,Slight,Female,19
,,10BA0001190,Passenger,Serious,Male,15
,,10BA0001190,Passenger,Slight,Female,16
,,10BA0001335,Driver,Slight,Male,46
,,10BA0001335,Driver,Slight,Male,35
,,10CA0001175,Driver,Slight,Male,37
,,10CA0001920,Driver,Slight,Male,67
,,10AA0001209,Driver,Slight,Male,22
,,10AA0001701,Pedestrian,Slight,Male,32
,,10CA0001262,Pedestrian,Slight,Female,23
,,10CA0001329,Driver,Slight,Female,47
,,10CA0001329,Passenger,Slight,Female,9
,,10CA0001329,Passenger,Slight,Female,7
,,10CA0001329,Passenger,Slight,Female,4
,,10CA0001329,Passenger,Slight,Male,31
,,10CA0001329,Passenger,Slight,Female,6
,,10AA0001236,Driver,Slight,Male,21
,,10AA0001267,Passenger,Slight,Female,50
,,10CA0001222,Pedestrian,Slight,Male,51
,,10CA0001222,Pedestrian,Slight,Female,28
,,10CA0001271,Passenger,Slight,Female,54
,,10CA0001300,Driver,Slight,Male,32
,,10CA0001413,Pedestrian,Slight,Female,32
,,10MU0001215,Passenger,Slight,Female,4
,,10MU0001289,Driver,Slight,Male,50
,,10AA0001235,Pedestrian,Slight,Male,22
,,10AA0001446,Pedestrian,Serious,Female,36
,,10CA0001322,Driver,Slight,Male,74
,,10CA0001333,Driver,Slight,Male,50
,,10CA0001333,Passenger,Slight,Female,46
,,10BA0001326,Pedestrian,Serious,Male,32
,,10MU0001261,Driver,Slight,Male,20
,,10BA0001328,Passenger,Slight,Female,41
,,10MU0001281,Driver,Serious,Female,26
,,10MU0001361,Driver,Slight,Male,19
,,10MU0001361,Passenger,Slight,Male,28
,,10MU0001361,Passenger,Serious,Male,20
,,10MU0001361,Passenger,Slight,Male,19
,,10MU0001319,Driver,Slight,Male,53
,,10MU0001319,Driver,Slight,Female,23
,,10MU0001319,Passenger,Slight,Female,55
,,10AA0001350,Driver,Slight,Male,24
,,10AA0001531,Pedestrian,Slight,Female,15
,,10AA0002067,Pedestrian,Slight,Female,23
,,10CA0001400,Driver,Serious,Male,65
,,10AA0001362,Driver,Slight,Male,33
,,10AA0001437,Driver,Slight,Male,57
,,10BA0001375,Driver,Slight,Male,40
,,10CA0001445,Driver,Slight,Male,42
,,10CA0001458,Pedestrian,Slight,Male,43
,,10AA0001396,Pedestrian,Slight,Male,36
,,10AA0001434,Pedestrian,Slight,Male,13
,,10AA0001676,Driver,Slight,Male,30
,,10AA0082105,Driver,Fatal,Female,23
,,10BA0001411,Passenger,Slight,Female,67
,,10BA0002459,Driver,Slight,Male,52
,,10CA0001408,Passenger,Slight,Female,56
,,10CA0001417,Driver,Slight,Male,25
,,10CA0001443,Passenger,Slight,Female,57
,,10CA0001443,Driver,Slight,Female,43
,,10CA0001443,Driver,Slight,Male,60
,,10AA0001397,Driver,Slight,Female,72
,,10AA0001622,Driver,Slight,Male,56
,,10CA0001452,Driver,Slight,Male,34
,,10CA0001459,Driver,Slight,Male,63
,,10CA0001459,Passenger,Slight,Female,62
,,10CA0001716,Passenger,Slight,Female,21
,,10AA0001435,Driver,Slight,Male,40
,,10AA0001435,Passenger,Slight,Female,31
,,10AA0001435,Passenger,Slight,Female,10
,,10AA0001438,Driver,Slight,Male,24
,,10AA0001532,Driver,Serious,Male,43
,,10AA0001532,Passenger,Serious,Male,64
,,10BA0001433,Pedestrian,Slight,Male,45
,,10BA0001454,Driver,Slight,Female,28
,,10BA0001454,Driver,Slight,Female,28
,,10BA0001454,Passenger,Slight,Female,32
,,10CA0001620,Driver,Slight,Female,21
,,10AA0001453,Driver,Slight,Female,22
,,10AA0001453,Passenger,Slight,Female,18
,,10AA0001453,Passenger,Slight,Male,25
,,10AA0001453,Passenger,Slight,Male,24
,,10BA0001845,Driver,Slight,Female,38
,,10BA0001845,Driver,Slight,Male,42
,,10BA0001845,Passenger,Slight,Male,9
,,10BA0001845,Passenger,Serious,Male,8
,,10BA0001845,Passenger,Slight,Male,10
,,10CA0001456,Driver,Slight,Male,34
,,10CA0001456,Pedestrian,Slight,Female,26
,,10CA0001754,Pedestrian,Serious,Male,29
,,10CA0001515,Driver,Slight,Male,44
,,10AA0001552,Driver,Slight,Male,57
,,10AA0001570,Pedestrian,Serious,Male,7
,,10AA0001577,Driver,Slight,Male,26
,,10AA0001626,Driver,Slight,Female,25
,,10AA0001638,Pedestrian,Slight,Male,17
,,10BA0001602,Driver,Slight,Female,21
,,10BA0001605,Passenger,Slight,Male,20
,,10BA0001623,Driver,Slight,Female,51
,,10BA0001625,Pedestrian,Slight,Male,69
,,10CA0001567,Passenger,Slight,Female,17
,,10CA0001709,Driver,Slight,Male,19
,,10CA0001709,Driver,Slight,Male,57
,,10AA0001548,Passenger,Slight,Female,35
,,10AA0001635,Pedestrian,Serious,Female,20
,,10BA0001535,Driver,Slight,Male,17
,,10BA0001689,Driver,Slight,Female,22
,,10BA0001689,Passenger,Slight,Female,22
,,10BA0001689,Passenger,Slight,Male,25
,,10CA0001576,Driver,Slight,Female,24
,,10CA0001576,Passenger,Slight,Male,23
,,10MU0001656,Driver,Serious,Male,42
,,10AA0001598,Driver,Slight,Male,29
,,10AA0001598,Passenger,Slight,Female,30
,,10AA0001598,Passenger,Slight,Male,18
,,10AA0001614,Driver,Slight,Male,40
,,10AA0001630,Driver,Serious,Male,32
,,10BA0001673,Pedestrian,Slight,Male,16
,,10BA0001685,Driver,Slight,Male,72
,,10CA0001596,Driver,Serious,Male,39
,,10CA0001672,Driver,Slight,Female,34
,,10CA0001758,Driver,Slight,Male,57
,,10AA0001621,Driver,Slight,Female,44
,,10AA0001694,Driver,Slight,Male,7
,,10BA0001687,Pedestrian,Slight,Female,77
,,10BA0002219,Passenger,Slight,Male,12
,,10CA0001713,Driver,Slight,Female,23
,,10BA0001702,Driver,Serious,Male,47
,,10BA0001702,Passenger,Slight,Female,42
,,10CA0001926,Driver,Slight,Male,20
,,10CA0001926,Passenger,Slight,Male,21
,,10CA0001926,Passenger,Slight,Male,20
,,10MU0001700,Driver,Slight,Male,49
,,10AA0002071,Pedestrian,Serious,Female,5
,,10BA0001665,Passenger,Slight,Female,32
,,10BA0001934,Pedestrian,Slight,Male,34
,,10BA0002235,Driver,Slight,Male,21
,,10BA0002235,Driver,Slight,Male,44
,,10BA0002235,Passenger,Serious,Male,20
,,10BA0002235,Passenger,Serious,Male,21
,,10BA0002235,Passenger,Serious,Female,22
,,10MU0001832,Passenger,Slight,Male,23
,,10AA0001714,Passenger,Slight,Female,36
,,10AA0001735,Pedestrian,Serious,Male,11
,,10AA0001766,Driver,Slight,Female,42
,,10AA0001774,Driver,Slight,Male,24
,,10BA0002293,Driver,Serious,Female,69
,,10MU0002013,Driver,Slight,Female,48
,,10BA0001736,Driver,Slight,Male,52
,,10BA0001736,Driver,Slight,Female,22
,,10CA0001764,Passenger,Slight,Female,43
,,10CA0001924,Driver,Slight,Male,47
,,10MU0001750,Driver,Slight,Female,34
,,10AA0001822,Driver,Slight,Male,28
,,10AA0002103,Driver,Serious,Male,16
,,10BA0001837,Passenger,Slight,Female,83
,,10CA0001757,Pedestrian,Serious,Male,22
,,10CA0001768,Driver,Slight,Male,70
,,10CA0001811,Passenger,Slight,Male,36
,,10CA0001813,Driver,Slight,Male,45
,,10CA0001813,Driver,Slight,Male,35
,,10CA0001813,Passenger,Slight,Female,16
,,10CA0001813,Passenger,Slight,Male,16
,,10CA0001813,Passenger,Slight,Male,16
,,10CA0001813,Passenger,Slight,Female,16
,,10CA0001933,Passenger,Slight,Male,32
,,10AA0001805,Driver,Serious,Female,71
,,10AA0001918,Passenger,Slight,Male,46
,,10AA0002171,Driver,Serious,Male,39
,,10AA0002221,Driver,Slight,Male,27
,,10BA0001930,Driver,Slight,Female,35
,,10CA0001796,Pedestrian,Slight,Male,17
,,10MU0001815,Driver,Slight,Female,19
,,10AA0002501,Driver,Slight,Male,23
,,10BA0001821,Pedestrian,Slight,Female,12
,,10CA0001872,Pedestrian,Slight,Male,57
,,10CA0002041,Driver,Slight,Male,64
,,10CA0002041,Passenger,Slight,Female,65
,,10AA0001949,Driver,Slight,Male,51
,,10BA0001840,Driver,Slight,Female,23
,,10BA0002216,Pedestrian,Slight,Male,48
,,10CA0001846,Driver,Serious,Male,45
,,10BA0001824,Driver,Slight,Female,36
,,10BA0001824,Driver,Slight,Female,38
,,10BA0001824,Passenger,Slight,Female,19
,,10BA0001867,Driver,Slight,Male,19
,,10BA0002227,Driver,Slight,Male,32
,,10CA0001835,Driver,Slight,Male,54
,,10CA0001835,Driver,Slight,Male,46
,,10AA0001955,Driver,Slight,Male,40
,,10BA0001819,Driver,Slight,Female,42
,,10AA0001927,Passenger,Slight,Female,76
,,10AA0002101,Driver,Slight,Male,43
,,10BA0001917,Driver,Slight,Female,50
,,10BA0001919,Driver,Slight,Male,59
,,10BA0001925,Pedestrian,Slight,Male,16
,,10BA0002043,Driver,Slight,Female,40
,,10AA0001981,Passenger,Slight,Female,85
,,10AA0002075,Passenger,Slight,Male,10
,,10AA0002084,Driver,Slight,Male,19
,,10AA0002096,Driver,Slight,Male,33
,,10AA0002096,Passenger,Slight,Male,34
,,10AA0002096,Passenger,Slight,Male,33
,,10AA0002096,Passenger,Slight,Male,33
,,10BA0002028,Driver,Slight,Male,45
,,10BA0002028,Driver,Slight,Male,30
,,10BA0002032,Driver,Slight,Female,37
,,10BA0002035,Driver,Slight,Male,42
,,10BA0002363,Passenger,Slight,Male,65
,,10CA0001922,Pedestrian,Slight,Female,28
,,10CA0001937,Passenger,Slight,Male,29
,,10AA0002070,Pedestrian,Slight,Male,4
,,10AA0002072,Passenger,Slight,Male,34
,,10AA0002077,Pedestrian,Slight,Female,20
,,10CA0001991,Driver,Slight,Male,24
,,10CA0002111,Driver,Slight,Male,41
,,10AA0002078,Driver,Serious,Male,23
,,10AA0002078,Pedestrian,Slight,Male,90
,,10AA0002089,Driver,Slight,Female,19
,,10AA0002089,Passenger,Slight,Male,20
,,10AA0002185,Pedestrian,Serious,Male,29
,,10BA0002030,Driver,Slight,Male,23
,,10BA0002085,Driver,Slight,Male,18
,,10BA0002085,Driver,Slight,Female,24
,,10BA0002139,Driver,Slight,Female,19
,,10CA0002001,Driver,Slight,Male,41
