Local Authority Reference,Works Status,Works Type,Category Of Works,Accident Ref No.,Casualty Class
LA00434694,PROPOSED WORKS,MINOR,Streetworks,10BA0000140,Driver
LA00394973,PROPOSED WORKS,MAJOR,Streetworks,10BA0000140,Passenger
LA00436515,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10BA0000140,Passenger
LA00416663,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000140,Passenger
LA00437064,PROPOSED WORKS,STANDARD,Streetworks,10BA0000145,Pedestrian
LA00435757,PROPOSED WORKS,MAJOR,Streetworks,10BA0000133,Driver
LA00432754,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000133,Driver
LA00414179,PROPOSED WORKS,MAJOR,Streetworks,10AA0000122,Passenger
LA00420783,PROPOSED WORKS,MAJOR,Streetworks,10AA0000180,Passenger
LA00437054,PROPOSED WORKS,MAJOR,Streetworks,10AA0000579,Passenger
LA00408153,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000093,Driver
LA00421969,IN PROGRESS,MAJOR,Streetworks,10AA0000151,Passenger
LA00430497,PROPOSED WORKS,MAJOR,Streetworks,10BA0000123,Driver
LA00424578,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000123,Passenger
LA00434097,PROPOSED WORKS,MAJOR,Streetworks,10CA0000303,Pedestrian
LA00428725,PROPOSED WORKS,STANDARD,Streetworks,10AA0000117,Driver
LA00437808,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10AA0000117,Driver
LA00436501,PROPOSED WORKS,STANDARD,Streetworks,10AA0000386,Pedestrian
LA00433597,PROPOSED WORKS,MAJOR,Streetworks,10BA0000195,Driver
LA00434086,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000195,Driver
LA00436423,PROPOSED WORKS,MINOR,Streetworks,10BA0000195,Passenger
LA00432628,PROPOSED WORKS,MAJOR,Streetworks,10BA0000195,Passenger
LA00436663,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000195,Passenger
LA00352027,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000195,Passenger
LA00398973,PROPOSED WORKS,MAJOR,Streetworks,10CA0000193,Driver
LA00437241,WORKS ABANDONED,HIGHWAYS ACT PERMITS,Other,10AA0000155,Passenger
LA00432529,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000157,Pedestrian
LA00435588,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10AA0000157,Pedestrian
LA00429505,PROPOSED WORKS,STANDARD,Streetworks,10AA0000157,Pedestrian
LA00436461,PROPOSED WORKS,MINOR,Streetworks,10BA0000224,Driver
LA00432543,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000236,Pedestrian
LA00434692,PROPOSED WORKS,MINOR,Streetworks,10CA0000298,Driver
LA00375752,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000444,Passenger
LA00397638,PROPOSED WORKS,MAJOR,Streetworks,10CA0000444,Passenger
LA00430828,PROPOSED WORKS,MAJOR,Streetworks,10CA0000444,Passenger
LA00433110,PROPOSED WORKS,MAJOR,Streetworks,10AA0000204,Pedestrian
LA00434505,PROPOSED WORKS,STANDARD,Streetworks,10AA0000395,Driver
LA00435470,PROPOSED WORKS,MAJOR,Streetworks,10CA0000267,Driver
LA00437506,PROPOSED WORKS,MINOR,Streetworks,10MU0000265,Driver
LA00435468,PROPOSED WORKS,STANDARD,Streetworks,10AA0000275,Driver
LA00428090,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000275,Passenger
LA00437558,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000256,Passenger
LA00437395,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000385,Driver
LA00420768,WORKS ABANDONED,MAJOR,Streetworks,10CA0000317,Driver
LA00436516,PROPOSED WORKS,MAJOR,Streetworks,10CA0001024,Driver
LA00434599,PROPOSED WORKS,MAJOR,Streetworks,10BA0000322,Driver
LA00430492,IN PROGRESS,MAJOR,Streetworks,10BA0000388,Driver
LA00435443,PROPOSED WORKS,MINOR,Streetworks,10BA0000384,Passenger
LA00433430,PROPOSED WORKS,MAJOR,Streetworks,10BA0000555,Pedestrian
LA00413134,PROPOSED WORKS,STANDARD,Streetworks,10CA0000326,Passenger
LA00428980,PROPOSED WORKS,MINOR,Streetworks,10CA0000391,Pedestrian
LA00434504,PROPOSED WORKS,MAJOR,Streetworks,10AA0000302,Driver
LA00418621,PROPOSED PERMANENT,MAJOR,Streetworks,10AA0000338,Driver
LA00436076,PROPOSED WORKS,STANDARD,Streetworks,10BA0000406,Pedestrian
LA00389863,WORKS ABANDONED,MAJOR,Streetworks,10CA0000332,Passenger
LA00437073,PROPOSED WORKS,MAJOR,Streetworks,10MU0000431,Driver
LA00428116,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000381,Pedestrian
LA00420758,PROPOSED WORKS,MAJOR,Streetworks,10AA0000397,Driver
LA00428063,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000397,Driver
LA00434057,PROPOSED WORKS,MAJOR,Streetworks,10AA0000400,Driver
LA00437546,PROPOSED WORKS,MAJOR,Streetworks,10AA0000677,Driver
LA00436014,PROPOSED WORKS,MAJOR,Streetworks,10BA0000494,Driver
LA00434001,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000435,Driver
LA00431405,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10MU0000428,Driver
LA00432212,PROPOSED WORKS,MINOR,Streetworks,10AA0000450,Driver
LA00433645,PROPOSED WORKS,MAJOR,Streetworks,10MU0000429,Driver
LA00339263,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000480,Driver
LA00428166,WORKS ABANDONED,MAJOR,Streetworks,10AA0000567,Passenger
LA00437666,PROPOSED WORKS,STANDARD,Streetworks,10BA0000493,Driver
LA00434609,PROPOSED WORKS,MAJOR,Streetworks,10CA0000451,Driver
LA00436569,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000457,Pedestrian
LA00431725,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000474,Driver
LA00433621,PROPOSED WORKS,STANDARD,Streetworks,10AA0000486,Driver
LA00434898,PROPOSED WORKS,MAJOR,Streetworks,10CA0000481,Pedestrian
LA00436018,PROPOSED WORKS,MAJOR,Streetworks,10CA0000522,Driver
LA00436498,PROPOSED WORKS,STANDARD,Streetworks,10CA0000541,Driver
LA00436378,PROPOSED WORKS,MINOR,Streetworks,10AA0000488,Driver
LA00429797,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000602,Passenger
LA00426886,IN PROGRESS,MAJOR,Streetworks,10BA0005204,Driver
LA00436369,PROPOSED WORKS,STANDARD,Streetworks,10BA0005204,Driver
LA00433114,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000500,Passenger
LA00422005,IN PROGRESS,MAJOR,Streetworks,10CA0000520,Driver
LA00435233,PROPOSED WORKS,MAJOR,Streetworks,10CA0000520,Passenger
LA00427955,IN PROGRESS,MAJOR,Streetworks,10CA0000536,Driver
LA00432049,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000538,Pedestrian
LA00434860,PROPOSED WORKS,MAJOR,Streetworks,10CA0000542,Passenger
LA00429280,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0000551,Driver
LA00435672,PROPOSED WORKS,MAJOR,Streetworks,10MU0000551,Passenger
LA00428951,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0000661,Driver
LA00421047,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0000698,Driver
LA00435593,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000533,Driver
LA00436758,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Skip Licence,10AA0000556,Driver
LA00437542,PROPOSED WORKS,MINOR,Streetworks,10BA0000543,Driver
LA00378173,PROPOSED WORKS,MINOR,Streetworks,10CA0000504,Pedestrian
LA00425424,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000531,Driver
LA00427550,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000491,Driver
LA00435665,PROPOSED WORKS,STANDARD,Streetworks,10AA0000491,Passenger
LA00388855,PROPOSED WORKS,MAJOR,Streetworks,10BA0000517,Driver
LA00434598,PROPOSED WORKS,MAJOR,Streetworks,10CA0000558,Driver
LA00436362,PROPOSED WORKS,ROAD RESTRICTION,Streetworks,10CA0000558,Passenger
LA00434601,PROPOSED WORKS,MAJOR,Streetworks,10AA0000637,Driver
LA00437460,PROPOSED WORKS,MINOR,Streetworks,10BA0000789,Driver
LA00437338,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0000645,Driver
LA00433595,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000604,Driver
LA00435419,PROPOSED WORKS,MAJOR,Streetworks,10AA0000614,Driver
LA00430483,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000606,Driver
LA00437099,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000606,Passenger
LA00436082,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10CA0000640,Driver
LA00437810,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10CA0000618,Pedestrian
LA00403232,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000646,Driver
LA00425779,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000646,Driver
LA00436312,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000646,Passenger
LA00429903,PROPOSED WORKS,STANDARD,Streetworks,10CA0000739,Driver
LA00436047,WORKS ABANDONED,STANDARD,Streetworks,10CA0000739,Driver
LA00435758,PROPOSED WORKS,STANDARD,Streetworks,10MU0000616,Driver
LA00378143,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000619,Driver
LA00435762,PROPOSED WORKS,MAJOR,Streetworks,10BA0000676,Passenger
LA00431200,PROPOSED WORKS,MAJOR,Streetworks,10BA0000676,Passenger
LA00436644,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000708,Driver
LA00368697,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000708,Driver
LA00367417,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000708,Passenger
LA00436012,PROPOSED WORKS,MAJOR,Streetworks,10BA0000708,Passenger
LA00434096,PROPOSED WORKS,MAJOR,Streetworks,10BA0000708,Passenger
LA00420045,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000710,Driver
LA00437555,PROPOSED WORKS,MINOR,Streetworks,10AA0000631,Pedestrian
LA00432891,PROPOSED WORKS,MAJOR,Streetworks,10AA0000631,Pedestrian
LA00437333,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000644,Driver
LA00434260,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000668,Passenger
LA00432889,PROPOSED WORKS,MAJOR,Streetworks,10AA0000668,Passenger
LA00437622,PROPOSED WORKS,MINOR,Streetworks,10CA0000656,Driver
LA00437574,WORKS ABANDONED,HIGHWAYS ACT PERMITS,Building Licence,10CA0000674,Passenger
LA00431385,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000689,Pedestrian
LA00434937,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000791,Driver
LA00429088,PROPOSED WORKS,STANDARD,Streetworks,10MU0000709,Driver
LA00436293,PROPOSED WORKS,STANDARD,Streetworks,10AA0000733,Driver
LA00418369,PROPOSED WORKS,MAJOR,Streetworks,10AA0000847,Driver
LA00434523,WORKS ABANDONED,MAJOR,Streetworks,10BA0000666,Driver
LA00432137,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000693,Pedestrian
LA00428081,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10MU0000841,Driver
LA00436614,PROPOSED WORKS,STANDARD,Streetworks,10BA0000694,Driver
LA00436262,WORKS ABANDONED,MAJOR,Streetworks,10BA0000703,Driver
LA00437745,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000760,Driver
LA00434253,PROPOSED WORKS,MAJOR,Streetworks,10BA0000760,Passenger
LA00437530,PROPOSED WORKS,MINOR,Streetworks,10CA0000678,Driver
LA00434050,WORKS ABANDONED,MAJOR,Streetworks,10MU0000855,Driver
LA00434930,PROPOSED WORKS,MAJOR,Streetworks,10AA0000714,Driver
LA00437068,PROPOSED WORKS,MAJOR,Streetworks,10AA0001017,Pedestrian
LA00436020,WORKS ABANDONED,STANDARD,Streetworks,10AA0001543,Driver
LA00424319,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001543,Driver
LA00434534,PROPOSED WORKS,MINOR,Streetworks,10BA0000662,Driver
LA00437059,PROPOSED WORKS,MAJOR,Streetworks,10BA0000662,Passenger
LA00437496,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000748,Pedestrian
LA00421797,PROPOSED WORKS,MAJOR,Streetworks,10CA0000731,Pedestrian
LA00424325,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000740,Passenger
LA00432890,PROPOSED WORKS,MAJOR,Streetworks,10CA0000740,Passenger
LA00426272,PROPOSED WORKS,MAJOR,Streetworks,10AA0000794,Pedestrian
LA00437656,PROPOSED WORKS,MAJOR,Streetworks,10AA0000811,Pedestrian
LA00420764,PROPOSED WORKS,MAJOR,Streetworks,10AA0000825,Driver
LA00435475,PROPOSED WORKS,MAJOR,Streetworks,10AA0000891,Driver
LA00434533,PROPOSED WORKS,MAJOR,Streetworks,10AA0000891,Driver
LA00435254,PROPOSED WORKS,MAJOR,Streetworks,10BA0000759,Driver
LA00435477,PROPOSED WORKS,MAJOR,Streetworks,10BA0000759,Passenger
LA00434083,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000761,Driver
LA00435664,PROPOSED WORKS,STANDARD,Streetworks,10CA0000826,Driver
LA00435416,PROPOSED WORKS,MAJOR,Streetworks,10MU0000956,Driver
LA00435670,PROPOSED WORKS,MINOR,Streetworks,10AA0000838,Driver
LA00426271,PROPOSED WORKS,MAJOR,Streetworks,10AA0000854,Driver
LA00429436,PROPOSED WORKS,STANDARD,Streetworks,10AA0001076,Driver
LA00398696,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001207,Driver
LA00426065,PROPOSED WORKS,MAJOR,Streetworks,10AA0001207,Driver
LA00436666,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001207,Passenger
LA00426420,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001224,Driver
LA00436628,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001224,Driver
LA00429288,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000807,Driver
LA00426298,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0005199,Driver
LA00435476,PROPOSED WORKS,MAJOR,Streetworks,10CA0000810,Pedestrian
LA00394965,WORKS ABANDONED,MAJOR,Streetworks,10MU0000948,Driver
LA00436289,PROPOSED WORKS,STANDARD,Streetworks,10BA0000951,Driver
LA00435421,PROPOSED WORKS,MAJOR,Streetworks,10BA0000951,Driver
LA00428925,PROPOSED WORKS,MAJOR,Streetworks,10CA0000783,Driver
LA00435584,PROPOSED WORKS,MAJOR,Streetworks,10CA0000845,Driver
LA00437335,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000845,Passenger
LA00426783,PROPOSED WORKS,MINOR,Streetworks,10CA0000845,Passenger
LA00435678,PROPOSED WORKS,MAJOR,Streetworks,10CA0000845,Passenger
LA00436111,PROPOSED WORKS,STANDARD,Streetworks,10MU0001027,Driver
LA00435754,PROPOSED WORKS,MAJOR,Streetworks,10MU0001027,Driver
LA00329315,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10MU0001027,Driver
LA00435682,PROPOSED WORKS,MAJOR,Streetworks,10MU0001027,Passenger
LA00437446,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001013,Pedestrian
LA00437269,PROPOSED WORKS,MAJOR,Streetworks,10AA0001071,Pedestrian
LA00401782,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001102,Pedestrian
LA00428113,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001603,Driver
LA00436272,PROPOSED WORKS,STANDARD,Streetworks,10AA0001603,Passenger
LA00415664,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000832,Driver
LA00437162,PROPOSED WORKS,MINOR,Streetworks,10BA0001192,Driver
LA00437070,PROPOSED WORKS,MAJOR,Streetworks,10CA0000886,Driver
LA00435447,PROPOSED WORKS,STANDARD,Streetworks,10CA0000990,Driver
LA00430423,PROPOSED WORKS,MAJOR,Streetworks,10AA0001604,Pedestrian
LA00435997,PROPOSED WORKS,MAJOR,Streetworks,10AA0002538,Driver
LA00398180,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002538,Passenger
LA00434546,PROPOSED WORKS,MINOR,Streetworks,10BA0000927,Driver
LA00433070,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000996,Driver
LA00433408,PROPOSED WORKS,MAJOR,Streetworks,10AA0001133,Driver
LA00436982,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000920,Driver
LA00434603,PROPOSED WORKS,MAJOR,Streetworks,10CA0000932,Passenger
LA00425287,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000971,Passenger
LA00436504,PROPOSED WORKS,STANDARD,Streetworks,10CA0000997,Driver
LA00434903,WORKS ABANDONED,MAJOR,Streetworks,10MU0000926,Driver
LA00397054,IN PROGRESS,MINOR,Streetworks,10MU0000926,Passenger
LA00411741,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0000926,Passenger
LA00434744,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000944,Pedestrian
LA00433054,PROPOSED WORKS,MAJOR,Streetworks,10AA0001146,Driver
LA00435763,PROPOSED WORKS,MAJOR,Streetworks,10BA0000945,Driver
LA00435449,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001021,Driver
LA00433068,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001021,Passenger
LA00437633,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001021,Passenger
LA00432752,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001021,Passenger
LA00436192,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0001026,Pedestrian
LA00388834,PROPOSED WORKS,MAJOR,Streetworks,10CA0001150,Driver
LA00434396,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001494,Driver
LA00437778,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001494,Passenger
LA00433350,PROPOSED WORKS,MAJOR,Streetworks,10AA0001063,Pedestrian
LA00436896,PROPOSED WORKS,MINOR,Streetworks,10AA0001103,Passenger
LA00424401,PROPOSED REMEDIAL,MINOR,Streetworks,10AA0001160,Passenger
LA00429897,PROPOSED WORKS,MINOR,Streetworks,10AA0001160,Passenger
LA00433460,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001007,Pedestrian
LA00434501,PROPOSED WORKS,STANDARD,Streetworks,10BA0001085,Driver
LA00434098,PROPOSED WORKS,MAJOR,Streetworks,10BA0001085,Driver
LA00422490,IN PROGRESS,MAJOR,Streetworks,10BA0001085,Passenger
LA00418363,PROPOSED WORKS,MAJOR,Streetworks,10CA0000976,Pedestrian
LA00425290,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000979,Pedestrian
LA00429930,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000979,Driver
LA00431624,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001184,Pedestrian
LA00435681,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0000977,Driver
LA00431549,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0001012,Driver
LA00394407,PROPOSED WORKS,MAJOR,Streetworks,10AA0001012,Driver
LA00435768,PROPOSED WORKS,MAJOR,Streetworks,10AA0001012,Passenger
LA00437631,PROPOSED WORKS,STANDARD,Streetworks,10AA0001043,Driver
LA00436299,PROPOSED WORKS,STANDARD,Streetworks,10AA0001048,Passenger
LA00432711,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001233,Pedestrian
LA00434693,PROPOSED WORKS,STANDARD,Streetworks,10BA0001467,Driver
LA00435684,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001068,Pedestrian
LA00432435,WORKS ABANDONED,MAJOR,Streetworks,10CA0001098,Pedestrian
LA00433111,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001107,Driver
LA00433360,PROPOSED WORKS,MAJOR,Streetworks,10CA0001107,Passenger
LA00431387,WORKS ABANDONED,MAJOR,Streetworks,10CA0001107,Pedestrian
LA00429489,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001107,Pedestrian
LA00437486,PROPOSED WORKS,MINOR,Streetworks,10CA0001366,Driver
LA00435044,PROPOSED WORKS,MAJOR,Streetworks,10MU0001092,Driver
LA00435991,PROPOSED WORKS,MAJOR,Streetworks,10MU0001092,Passenger
LA00433763,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0001058,Driver
LA00437724,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10AA0001058,Driver
LA00435578,PROPOSED WORKS,MAJOR,Streetworks,10BA0001288,Driver
LA00421999,IN PROGRESS,MAJOR,Streetworks,10CA0001004,Driver
LA00435466,PROPOSED WORKS,MAJOR,Streetworks,10CA0001066,Driver
LA00426210,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001066,Passenger
LA00431323,WORKS ABANDONED,MINOR,Streetworks,10CA0001112,Pedestrian
LA00429279,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0001093,Passenger
LA00434973,PROPOSED WORKS,MINOR,Streetworks,10AA0001212,Pedestrian
LA00388854,PROPOSED WORKS,MAJOR,Streetworks,10BA0001089,Pedestrian
LA00437554,PROPOSED WORKS,STANDARD,Streetworks,10BA0001113,Driver
LA00375139,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0001050,Passenger
LA00435589,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0001078,Driver
LA00394405,PROPOSED WORKS,MAJOR,Streetworks,10BA0001078,Driver
LA00427428,PROPOSED WORKS,STANDARD,Streetworks,10BA0001297,Driver
LA00433779,PROPOSED WORKS,MAJOR,Streetworks,10CA0001056,Driver
LA00418370,PROPOSED WORKS,MAJOR,Streetworks,10CA0001056,Passenger
LA00434291,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0001056,Passenger
LA00436288,PROPOSED WORKS,MINOR,Streetworks,10CA0001056,Passenger
LA00432043,PROPOSED WORKS,MAJOR,Streetworks,10CA0001060,Pedestrian
LA00435486,PROPOSED WORKS,STANDARD,Streetworks,10CA0001060,Pedestrian
