State,Car Insurance Premiums ($),Type,StartTime(UTC),Road/Highway,Number of Employees,Number of Light Duty Vehicles,Number of Medium Duty Vehicles
,,Rain,10/20/2017 11:53,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 13:53,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 16:13,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 17:40,US/Pacific McKinleyville,,,
,,Fog,10/20/2017 19:53,US/Pacific McKinleyville,,,
,,Fog,10/21/2017 1:53,US/Pacific McKinleyville,,,
,,Rain,10/21/2017 12:53,US/Pacific McKinleyville,,,
,,Rain,10/21/2017 16:24,US/Pacific McKinleyville,,,
,,Rain,10/21/2017 19:53,US/Pacific McKinleyville,,,
,,Rain,10/21/2017 22:53,US/Pacific McKinleyville,,,
,,Rain,10/22/2017 5:03,US/Pacific McKinleyville,,,
,,Fog,10/22/2017 23:53,US/Pacific McKinleyville,,,
,,Fog,10/23/2017 15:38,US/Pacific McKinleyville,,,
,,Fog,10/23/2017 18:00,US/Pacific McKinleyville,,,
,,Fog,10/23/2017 19:53,US/Pacific McKinleyville,,,
,,Fog,10/23/2017 21:53,US/Pacific McKinleyville,,,
,,Fog,10/24/2017 18:45,US/Pacific McKinleyville,,,
,,Fog,10/24/2017 19:46,US/Pacific McKinleyville,,,
,,Fog,10/24/2017 23:53,US/Pacific McKinleyville,,,
,,Fog,10/25/2017 3:53,US/Pacific McKinleyville,,,
,,Fog,10/25/2017 9:06,US/Pacific McKinleyville,,,
,,Fog,10/25/2017 13:47,US/Pacific McKinleyville,,,
,,Fog,10/25/2017 16:45,US/Pacific McKinleyville,,,
,,Fog,10/25/2017 19:22,US/Pacific McKinleyville,,,
,,Fog,10/25/2017 20:03,US/Pacific McKinleyville,,,
,,Fog,10/25/2017 22:53,US/Pacific McKinleyville,,,
,,Fog,10/26/2017 0:53,US/Pacific McKinleyville,,,
,,Fog,10/26/2017 15:12,US/Pacific McKinleyville,,,
,,Fog,10/26/2017 18:28,US/Pacific McKinleyville,,,
,,Fog,10/26/2017 21:41,US/Pacific McKinleyville,,,
,,Fog,10/26/2017 22:26,US/Pacific McKinleyville,,,
,,Fog,10/27/2017 2:23,US/Pacific McKinleyville,,,
,,Fog,10/27/2017 8:07,US/Pacific McKinleyville,,,
,,Fog,10/27/2017 9:33,US/Pacific McKinleyville,,,
,,Fog,10/27/2017 12:36,US/Pacific McKinleyville,,,
,,Fog,10/27/2017 22:00,US/Pacific McKinleyville,,,
,,Fog,10/28/2017 14:46,US/Pacific McKinleyville,,,
,,Fog,10/28/2017 15:53,US/Pacific McKinleyville,,,
,,Fog,10/29/2017 11:57,US/Pacific McKinleyville,,,
,,Rain,10/29/2017 16:31,US/Pacific McKinleyville,,,
,,Fog,11/1/2017 0:47,US/Pacific McKinleyville,,,
,,Fog,11/1/2017 8:25,US/Pacific McKinleyville,,,
,,Fog,11/1/2017 12:53,US/Pacific McKinleyville,,,
,,Fog,11/1/2017 14:13,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 1:05,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 4:53,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 7:14,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 8:53,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 9:17,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 9:38,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 10:04,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 10:51,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 11:18,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 11:38,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 12:23,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 12:45,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 13:05,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 13:16,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 14:02,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 15:40,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 16:03,US/Pacific McKinleyville,,,
,,Rain,11/3/2017 21:53,US/Pacific McKinleyville,,,
,,Fog,11/4/2017 4:49,US/Pacific McKinleyville,,,
,,Fog,11/4/2017 7:01,US/Pacific McKinleyville,,,
,,Fog,11/4/2017 7:23,US/Pacific McKinleyville,,,
,,Fog,11/4/2017 9:24,US/Pacific McKinleyville,,,
,,Rain,11/5/2017 14:53,US/Pacific McKinleyville,,,
,,Rain,11/5/2017 18:03,US/Pacific McKinleyville,,,
,,Rain,11/5/2017 20:53,US/Pacific McKinleyville,,,
,,Rain,11/6/2017 0:53,US/Pacific McKinleyville,,,
,,Rain,11/6/2017 4:21,US/Pacific McKinleyville,,,
,,Rain,11/6/2017 4:31,US/Pacific McKinleyville,,,
,,Rain,11/8/2017 16:53,US/Pacific McKinleyville,,,
,,Rain,11/8/2017 19:53,US/Pacific McKinleyville,,,
,,Rain,11/8/2017 20:53,US/Pacific McKinleyville,,,
,,Rain,11/8/2017 21:53,US/Pacific McKinleyville,,,
,,Rain,11/8/2017 22:53,US/Pacific McKinleyville,,,
,,Rain,11/8/2017 23:07,US/Pacific McKinleyville,,,
,,Rain,11/8/2017 23:43,US/Pacific McKinleyville,,,
,,Precipitation,11/8/2017 23:53,US/Pacific McKinleyville,,,
,,Rain,11/9/2017 1:21,US/Pacific McKinleyville,,,
,,Rain,11/9/2017 5:53,US/Pacific McKinleyville,,,
,,Rain,11/9/2017 8:53,US/Pacific McKinleyville,,,
,,Rain,11/9/2017 10:53,US/Pacific McKinleyville,,,
,,Rain,11/9/2017 16:53,US/Pacific McKinleyville,,,
,,Rain,11/9/2017 21:53,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 0:08,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 6:53,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 13:53,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 14:44,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 15:00,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 15:36,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 16:00,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 16:53,US/Pacific McKinleyville,,,
,,Rain,11/10/2017 18:23,US/Pacific McKinleyville,,,
,,Rain,11/11/2017 3:46,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 4:53,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 7:53,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 11:53,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 13:53,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 16:21,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 16:53,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 17:05,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 17:23,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 18:03,US/Pacific McKinleyville,,,
,,Rain,11/13/2017 21:53,US/Pacific McKinleyville,,,
,,Rain,11/14/2017 5:23,US/Pacific McKinleyville,,,
,,Rain,11/15/2017 11:53,US/Pacific McKinleyville,,,
,,Rain,11/15/2017 17:53,US/Pacific McKinleyville,,,
,,Rain,11/15/2017 21:53,US/Pacific McKinleyville,,,
,,Fog,2/21/2019 2:05,US/Eastern Frisco,,,
,,Fog,2/21/2019 3:07,US/Eastern Frisco,,,
,,Fog,2/21/2019 4:32,US/Eastern Frisco,,,
,,Fog,2/21/2019 12:08,US/Eastern Frisco,,,
,,Fog,2/21/2019 14:15,US/Eastern Frisco,,,
,,Fog,2/21/2019 17:41,US/Eastern Frisco,,,
,,Fog,2/21/2019 18:14,US/Eastern Frisco,,,
,,Fog,2/21/2019 19:29,US/Eastern Frisco,,,
,,Fog,2/21/2019 20:06,US/Eastern Frisco,,,
,,Fog,2/21/2019 20:28,US/Eastern Frisco,,,
,,Fog,2/21/2019 21:51,US/Eastern Frisco,,,
,,Fog,2/22/2019 5:33,US/Eastern Frisco,,,
,,Rain,2/22/2019 8:12,US/Eastern Frisco,,,
,,Rain,2/22/2019 10:51,US/Eastern Frisco,,,
,,Rain,2/22/2019 15:51,US/Eastern Frisco,,,
,,Rain,2/22/2019 18:31,US/Eastern Frisco,,,
,,Fog,2/22/2019 20:29,US/Eastern Frisco,,,
,,Rain,2/22/2019 21:20,US/Eastern Frisco,,,
,,Rain,2/23/2019 0:06,US/Eastern Frisco,,,
,,Rain,2/23/2019 2:51,US/Eastern Frisco,,,
,,Rain,2/23/2019 5:04,US/Eastern Frisco,,,
,,Rain,2/23/2019 9:51,US/Eastern Frisco,,,
,,Rain,2/23/2019 10:51,US/Eastern Frisco,,,
,,Rain,2/23/2019 12:16,US/Eastern Frisco,,,
,,Fog,2/23/2019 12:51,US/Eastern Frisco,,,
,,Rain,2/23/2019 13:14,US/Eastern Frisco,,,
,,Fog,2/23/2019 13:51,US/Eastern Frisco,,,
,,Rain,2/23/2019 18:51,US/Eastern Frisco,,,
,,Fog,2/24/2019 4:40,US/Eastern Frisco,,,
,,Fog,2/24/2019 4:56,US/Eastern Frisco,,,
,,Fog,2/24/2019 6:30,US/Eastern Frisco,,,
,,Fog,2/24/2019 11:49,US/Eastern Frisco,,,
,,Fog,2/24/2019 13:11,US/Eastern Frisco,,,
,,Rain,2/27/2019 16:51,US/Eastern Frisco,,,
,,Fog,2/28/2019 14:38,US/Eastern Frisco,,,
,,Rain,3/1/2019 23:42,US/Eastern Frisco,,,
,,Rain,3/2/2019 0:51,US/Eastern Frisco,,,
,,Rain,3/2/2019 3:31,US/Eastern Frisco,,,
,,Rain,3/2/2019 4:59,US/Eastern Frisco,,,
,,Rain,3/3/2019 20:36,US/Eastern Frisco,,,
,,Rain,3/3/2019 20:51,US/Eastern Frisco,,,
,,Fog,3/3/2019 21:09,US/Eastern Frisco,,,
,,Rain,3/3/2019 21:27,US/Eastern Frisco,,,
,,Precipitation,3/3/2019 21:46,US/Eastern Frisco,,,
,,Rain,3/4/2019 0:48,US/Eastern Frisco,,,
,,Rain,3/4/2019 0:55,US/Eastern Frisco,,,
,,Rain,3/4/2019 2:51,US/Eastern Frisco,,,
,,Rain,3/4/2019 3:51,US/Eastern Frisco,,,
,,Rain,3/4/2019 4:38,US/Eastern Frisco,,,
,,Rain,3/4/2019 4:51,US/Eastern Frisco,,,
,,Rain,3/4/2019 4:55,US/Eastern Frisco,,,
,,Rain,3/4/2019 5:14,US/Eastern Frisco,,,
,,Rain,3/4/2019 5:46,US/Eastern Frisco,,,
,,Rain,3/4/2019 8:42,US/Eastern Frisco,,,
,,Rain,3/5/2019 10:51,US/Eastern Frisco,,,
,,Rain,3/5/2019 21:46,US/Eastern Frisco,,,
,,Rain,3/8/2019 22:51,US/Eastern Frisco,,,
,,Rain,3/9/2019 1:51,US/Eastern Frisco,,,
,,Fog,3/10/2019 21:51,US/Eastern Frisco,,,
,,Rain,3/11/2019 6:51,US/Eastern Frisco,,,
,,Rain,3/16/2019 8:51,US/Eastern Frisco,,,
,,Rain,3/20/2019 9:08,US/Eastern Frisco,,,
,,Rain,3/20/2019 10:29,US/Eastern Frisco,,,
,,Snow,12/14/2019 21:53,US/Mountain Lander,,,
,,Snow,12/14/2019 22:00,US/Mountain Lander,,,
,,Snow,12/14/2019 23:24,US/Mountain Lander,,,
,,Snow,12/15/2019 0:21,US/Mountain Lander,,,
,,Fog,12/27/2019 8:48,US/Mountain Lander,,,
,,Fog,12/27/2019 11:07,US/Mountain Lander,,,
,,Fog,12/27/2019 15:01,US/Mountain Lander,,,
,,Snow,12/27/2019 17:08,US/Mountain Lander,,,
,,Fog,12/27/2019 17:43,US/Mountain Lander,,,
,,Fog,12/28/2019 3:40,US/Mountain Lander,,,
,,Fog,12/28/2019 3:53,US/Mountain Lander,,,
,,Fog,12/28/2019 12:53,US/Mountain Lander,,,
,,Snow,12/28/2019 13:35,US/Mountain Lander,,,
,,Snow,12/28/2019 17:15,US/Mountain Lander,,,
