Category Of Works,Accident Ref No.,Sex of Casualty,Age of Casualty,Latitude,Longitude,ActivityStartDateTime,ActivityEndDateTime
Streetworks,10BA0000145,Female,8,40.791171,-81.338288,4/16/2018 5:00,7/20/2018 17:00
Streetworks,10BA0000133,Male,59,41.38068,-82.067669,4/16/2018 7:00,4/30/2018 11:00
Building Licence,10BA0000133,Female,23,39.904326,-81.553678,4/16/2018 12:15,4/20/2018 23:59
Streetworks,10AA0000122,Male,6,41.485068,-81.745959,6/7/2017 10:00,6/29/2018 6:00
Streetworks,10AA0000180,Male,82,41.414002,-81.615962,4/9/2018 6:00,9/28/2018 6:00
Streetworks,10AA0000579,Female,60,38.78346,-82.9825,4/25/2017 8:00,12/31/2020 23:00
Building Licence,10AA0000093,Male,40,40.150637,-84.209052,3/26/2018 7:00,6/30/2018 17:00
Streetworks,10AA0000151,Male,30,41.678348,-83.588341,10/28/2016 6:00,9/30/2018 6:00
Streetworks,10BA0000123,Male,35,40.916555,-80.52913,3/7/2018 7:00,5/18/2018 17:00
Building Licence,10BA0000123,Female,26,40.919502,-82.686022,4/2/2018 7:00,5/17/2018 17:00
Streetworks,10CA0000303,Male,24,41.123498,-83.158731,3/26/2018 0:01,5/25/2018 18:00
Streetworks,10AA0000117,Male,22,40.258044,-83.460304,4/16/2018 18:00,10/1/2018 6:00
Other,10AA0000117,Male,40,41.683628,-83.570639,3/9/2015 7:00,7/31/2018 19:00
Streetworks,10AA0000386,Male,26,40.285907,-84.169558,1/21/2018 7:00,11/27/2018 17:00
Streetworks,10BA0000195,Male,53,41.678404,-83.573391,3/9/2015 7:00,7/31/2018 19:00
Building Licence,10BA0000195,Male,23,41.159871,-80.647569,3/16/2018 5:00,9/28/2018 17:00
Streetworks,10BA0000195,Female,40,39.243767,-84.448822,2/19/2018 5:00,9/30/2018 19:00
Streetworks,10BA0000195,Male,22,39.144949,-84.729028,4/9/2018 9:00,8/31/2018 15:00
Temporary Traffic Restriction,10BA0000195,Male,15,41.261695,-81.375088,4/3/2017 5:00,9/28/2018 17:00
Building Licence,10BA0000195,Male,21,39.308441,-81.870413,2/1/2018 7:00,9/1/2018 15:30
Streetworks,10CA0000193,Male,24,40.911016,-80.518877,3/7/2018 7:00,5/18/2018 17:00
Other,10AA0000155,Female,61,40.427772,-81.363719,4/9/2018 6:00,9/30/2018 17:00
Temporary Traffic Restriction,10AA0000157,Female,7,41.062279,-81.517469,6/14/2017 8:00,6/26/2026 17:00
Other,10AA0000157,Female,33,39.579369,-81.649568,4/2/2018 7:00,10/31/2018 17:00
Streetworks,10AA0000157,Female,5,39.74131,-84.204315,3/28/2017 7:00,9/30/2018 17:00
Streetworks,10BA0000224,Male,26,41.384533,-81.132655,4/12/2018 9:00,4/20/2018 14:00
Temporary Traffic Restriction,10BA0000236,Female,51,39.430098,-84.078778,4/14/2018 18:00,8/31/2018 6:00
Streetworks,10CA0000298,Male,19,39.819634,-84.072593,3/12/2018 7:00,9/30/2018 17:00
Building Licence,10CA0000444,Female,82,40.666794,-81.247563,4/2/2018 5:00,7/27/2018 17:00
Streetworks,10CA0000444,Female,56,39.779525,-80.861106,4/16/2018 7:00,5/11/2018 17:00
Streetworks,10CA0000444,Male,19,39.130799,-82.43339,3/30/2018 7:00,6/30/2018 17:00
Streetworks,10AA0000204,Male,93,39.396357,-82.136212,4/16/2018 6:21,4/17/2018 15:30
Streetworks,10AA0000395,Male,35,39.088703,-83.134713,4/4/2018 10:00,5/11/2018 16:00
Streetworks,10CA0000267,Male,46,41.461845,-81.694733,4/23/2018 6:00,8/15/2018 6:00
Streetworks,10MU0000265,Male,28,41.239671,-81.367423,4/16/2018 5:00,10/19/2018 17:00
Streetworks,10AA0000275,Male,28,41.416467,-81.623724,9/1/2017 7:00,6/30/2018 19:00
Building Licence,10AA0000275,Male,25,41.688338,-83.561895,5/4/2015 7:00,7/31/2018 18:00
Building Licence,10BA0000256,Male,19,39.954606,-82.976859,7/20/2017 5:00,4/27/2018 15:00
Temporary Traffic Restriction,10BA0000385,Male,32,41.494354,-81.615193,7/10/2017 6:00,9/7/2018 18:00
Streetworks,10CA0000317,Male,39,38.488897,-82.547661,4/15/2018 8:00,7/31/2018 16:00
Streetworks,10CA0001024,Male,25,39.158371,-84.653596,12/8/2017 20:00,8/24/2018 6:00
Streetworks,10BA0000322,Male,61,41.264099,-82.060729,4/16/2018 7:00,7/16/2018 17:00
Streetworks,10BA0000388,Male,16,40.828691,-81.397877,4/2/2018 20:00,7/27/2018 17:00
Streetworks,10BA0000384,Female,14,41.49443,-81.615829,7/10/2017 6:00,9/7/2018 18:00
Streetworks,10BA0000555,Female,17,39.65425,-81.823667,4/4/2018 7:00,12/31/2018 7:00
Streetworks,10CA0000326,Male,62,39.853337,-81.155693,6/1/2018 7:00,6/14/2018 17:00
Streetworks,10CA0000391,Male,44,41.522323,-81.622238,5/8/2017 7:00,4/30/2018 15:30
Streetworks,10AA0000302,Male,25,38.969658,-83.506408,2/26/2018 14:00,5/31/2018 16:00
Streetworks,10AA0000338,Male,59,38.868891,-82.908874,2/23/2018 8:00,4/28/2018 16:00
Streetworks,10BA0000406,Female,36,40.017249,-80.949996,2/17/2018 7:30,5/31/2018 17:00
Streetworks,10CA0000332,Female,14,40.654128,-81.570348,3/25/2018 5:00,8/10/2018 17:00
Streetworks,10MU0000431,Female,23,38.944412,-83.550688,4/5/2018 8:00,5/11/2018 16:00
Building Licence,10BA0000381,Female,16,39.205668,-83.813103,3/7/2018 8:00,9/30/2018 16:00
Streetworks,10AA0000397,Male,35,41.509588,-81.614741,3/12/2018 7:00,10/31/2018 17:00
Building Licence,10AA0000397,Male,43,39.032628,-82.617138,10/20/2017 8:00,6/30/2018 16:00
Streetworks,10AA0000400,Female,22,40.74712,-83.034091,4/6/2018 7:00,7/31/2018 17:00
Streetworks,10AA0000677,Female,48,41.464407,-81.996587,4/6/2018 7:00,9/28/2018 17:00
Streetworks,10BA0000494,Female,67,39.694783,-81.885326,4/30/2018 7:00,10/31/2018 17:00
Building Licence,10CA0000435,Male,31,39.746044,-84.204647,3/30/2018 7:00,9/30/2018 17:00
Other,10MU0000428,Male,39,39.838818,-84.060024,4/9/2018 7:00,5/3/2018 17:00
Streetworks,10AA0000450,Male,36,41.460665,-81.694793,4/17/2018 5:00,8/15/2018 15:00
Streetworks,10MU0000429,Female,58,39.934515,-82.007007,4/16/2018 6:30,5/3/2018 17:00
Building Licence,10AA0000480,Male,46,39.104604,-84.282936,7/7/2017 7:00,8/1/2018 15:00
Streetworks,10AA0000567,Female,20,41.687553,-83.555629,5/4/2015 7:00,7/31/2018 18:00
Streetworks,10BA0000493,Male,30,40.512174,-81.925172,4/16/2018 10:05,4/18/2018 23:59
Streetworks,10CA0000451,Male,37,38.862948,-82.897363,2/23/2018 8:00,4/21/2018 16:00
Temporary Traffic Restriction,10AA0000457,Female,13,39.639061,-81.175404,2/23/2018 7:00,6/1/2018 15:30
Temporary Traffic Restriction,10AA0000474,Female,38,41.420669,-81.644152,4/13/2018 5:00,6/29/2019 16:00
Streetworks,10AA0000486,Male,32,39.1353,-83.562186,3/4/2018 8:00,11/30/2018 16:00
Streetworks,10CA0000481,Female,13,40.143092,-80.794126,4/2/2018 7:00,5/31/2018 17:00
Streetworks,10CA0000522,Male,55,39.604371,-81.163083,5/15/2018 7:00,5/29/2018 17:00
Streetworks,10CA0000541,Male,57,40.385,-82.250781,4/11/2018 7:00,7/30/2018 17:00
Streetworks,10AA0000488,Female,49,41.201983,-80.663787,4/2/2018 5:00,6/15/2018 17:00
Building Licence,10AA0000602,Female,32,40.147243,-81.549793,3/12/2018 7:00,10/31/2018 17:00
Streetworks,10BA0005204,Female,22,41.157636,-82.023412,4/9/2018 7:00,4/20/2018 17:00
Streetworks,10BA0005204,Male,47,41.494966,-81.682234,11/25/2014 0:00,12/31/2024 0:00
Temporary Traffic Restriction,10CA0000500,Female,22,40.324331,-84.370844,4/9/2018 7:00,5/11/2018 17:00
Streetworks,10CA0000520,Male,25,40.098342,-83.135186,4/17/2018 22:00,4/18/2018 5:00
Streetworks,10CA0000520,Male,29,40.642201,-81.931834,4/16/2018 7:00,4/20/2018 17:00
Streetworks,10CA0000536,Male,31,40.106013,-80.778178,4/23/2018 7:00,7/22/2018 17:00
Temporary Traffic Restriction,10CA0000538,Male,30,41.685831,-83.56726,3/9/2015 7:00,7/31/2018 19:00
Streetworks,10CA0000542,Female,52,39.301072,-81.905306,4/17/2018 7:34,4/19/2018 10:00
Building Licence,10MU0000551,Male,43,38.75127,-82.875768,12/31/2017 16:00,4/30/2018 18:00
Streetworks,10MU0000551,Female,38,39.162665,-82.134935,2/19/2018 9:00,5/2/2018 15:30
Building Licence,10MU0000661,Male,21,39.346075,-83.559811,4/2/2018 8:00,9/30/2018 16:00
Building Licence,10MU0000698,Male,28,40.751016,-80.936673,3/5/2018 7:00,5/31/2018 17:00
Temporary Traffic Restriction,10AA0000533,Male,21,40.688986,-81.433317,3/19/2018 5:00,6/29/2018 17:00
Skip Licence,10AA0000556,Male,49,39.783969,-81.852641,4/16/2018 6:30,4/20/2018 17:00
Streetworks,10BA0000543,Male,27,40.830094,-81.397533,4/2/2018 22:00,7/30/2018 6:00
Streetworks,10CA0000504,Male,19,41.063248,-81.527972,4/9/2018 5:00,6/29/2018 17:00
Temporary Traffic Restriction,10CA0000531,Female,24,40.8837,-82.196231,4/16/2018 7:00,8/31/2018 17:00
Building Licence,10AA0000491,Male,86,41.408944,-84.008529,5/1/2015 6:00,11/1/2018 18:00
Streetworks,10AA0000491,Female,86,39.238595,-82.294979,4/17/2018 8:01,4/18/2018 15:30
Streetworks,10BA0000517,Male,42,38.828151,-82.851618,10/28/2015 8:00,12/31/2018 16:00
Streetworks,10CA0000558,Female,24,41.24303,-81.15768,4/4/2018 7:00,6/21/2018 19:00
Streetworks,10CA0000558,Female,23,41.475979,-81.876076,7/24/2017 6:00,5/31/2018 6:00
Streetworks,10AA0000637,Female,37,40.865541,-81.430752,4/16/2018 5:00,5/18/2018 17:00
Streetworks,10BA0000789,Female,52,40.974367,-81.373261,5/8/2017 7:00,6/26/2020 16:00
Building Licence,10MU0000645,Female,18,39.339998,-84.715675,3/19/2018 7:00,9/30/2018 17:00
Building Licence,10AA0000604,Male,23,41.136292,-81.800503,3/30/2018 7:00,5/31/2018 17:00
Streetworks,10AA0000614,Female,47,39.271395,-82.519827,5/18/2018 7:00,5/20/2018 17:00
Building Licence,10BA0000606,Female,43,41.021015,-81.996018,4/19/2018 7:00,4/19/2018 20:00
Crane Operation,10BA0000606,Female,10,41.158226,-81.862988,3/17/2016 7:00,10/31/2018 17:00
Crane Operation,10CA0000640,Male,45,39.681046,-80.910076,2/23/2018 7:00,6/1/2018 15:30
Other,10CA0000618,Male,40,38.969414,-83.473429,2/26/2018 14:00,5/31/2018 16:00
Temporary Traffic Restriction,10CA0000646,Female,29,39.764779,-84.193243,4/2/2018 7:00,4/1/2019 17:00
Temporary Traffic Restriction,10CA0000646,Male,56,39.164187,-84.431335,4/13/2018 15:51,4/17/2018 21:00
Temporary Traffic Restriction,10CA0000646,Male,22,40.900316,-80.722829,3/19/2018 7:00,6/15/2018 17:00
Streetworks,10CA0000739,Male,21,41.475786,-81.659548,3/5/2018 6:00,11/5/2018 6:00
Streetworks,10CA0000739,Male,51,41.056147,-81.528684,3/23/2018 5:00,3/16/2019 17:00
Streetworks,10MU0000616,Male,18,39.132821,-82.529709,4/27/2018 8:00,7/14/2018 16:00
Building Licence,10BA0000619,Female,31,39.319451,-82.182597,4/2/2018 7:00,10/31/2018 17:00
Streetworks,10BA0000676,Female,23,39.105166,-82.979923,4/15/2018 15:58,4/17/2018 14:00
Streetworks,10BA0000676,Female,28,40.065204,-83.132762,4/17/2018 22:00,4/18/2018 5:00
Temporary Traffic Restriction,10BA0000708,Male,26,41.261388,-81.345434,4/12/2017 5:00,9/28/2018 17:00
Building Licence,10BA0000708,Male,37,39.249274,-82.848512,4/20/2018 8:00,9/29/2018 16:00
Building Licence,10BA0000708,Female,20,41.241543,-81.123347,4/3/2018 7:00,6/21/2018 19:00
Streetworks,10BA0000708,Male,22,39.89318,-83.039892,4/17/2018 21:00,4/18/2018 5:00
Streetworks,10BA0000708,Male,28,39.89253,-83.036599,4/17/2018 21:00,4/18/2018 5:00
Crane Operation,10BA0000710,Female,50,41.037491,-81.585044,4/2/2018 5:00,5/18/2018 17:00
Streetworks,10AA0000631,Male,72,40.621186,-80.625578,4/16/2018 7:00,10/31/2018 17:00
Streetworks,10AA0000631,Female,77,41.423327,-81.509384,4/13/2018 14:00,4/27/2018 14:00
Temporary Traffic Restriction,10AA0000644,Female,39,41.510822,-80.753851,4/16/2018 5:00,7/27/2018 17:00
Temporary Traffic Restriction,10AA0000668,Male,29,40.788314,-81.352632,4/16/2018 5:00,7/6/2018 17:00
Streetworks,10AA0000668,Female,49,41.427724,-80.737223,4/16/2018 5:00,5/25/2018 17:00
Streetworks,10CA0000656,Female,68,40.233262,-81.344935,4/16/2018 8:00,4/19/2018 16:30
Building Licence,10CA0000674,Female,30,41.684646,-83.571465,8/7/2017 6:00,12/31/2024 18:00
Building Licence,10CA0000689,Female,79,38.751002,-82.876497,7/1/2016 8:00,4/21/2018 16:00
Building Licence,10CA0000791,Male,21,41.38683,-81.143083,4/12/2018 8:30,10/15/2018 14:30
Streetworks,10MU0000709,Female,20,39.194851,-84.475222,6/29/2017 19:00,11/30/2018 6:00
Streetworks,10AA0000733,Male,38,39.274478,-84.522682,4/13/2018 7:00,5/23/2018 19:00
Streetworks,10AA0000847,Male,20,39.222329,-81.788149,4/6/2018 7:00,12/31/2018 15:30
Streetworks,10BA0000666,Female,49,39.696049,-81.886848,4/16/2018 6:45,4/17/2018 15:30
Crane Operation,10BA0000693,Male,47,39.076045,-81.816148,4/2/2018 7:00,6/1/2018 17:00
Crane Operation,10MU0000841,Male,36,39.221774,-84.535628,7/20/2017 19:00,5/31/2018 6:00
Streetworks,10BA0000694,Female,50,39.189765,-83.610131,4/2/2018 8:00,9/1/2018 16:00
Streetworks,10BA0000703,Male,15,39.007161,-84.300648,2/26/2018 11:00,4/30/2018 19:00
Temporary Traffic Restriction,10BA0000760,Female,25,39.630772,-80.914581,2/12/2018 7:30,12/31/2018 15:30
Streetworks,10BA0000760,Male,23,39.681466,-80.923024,3/6/2018 7:00,6/29/2018 15:30
Streetworks,10CA0000678,Male,40,39.239013,-83.643579,3/22/2018 8:00,8/31/2018 16:00
Streetworks,10MU0000855,Female,23,41.039802,-81.662643,3/6/2018 16:00,5/7/2018 16:00
Streetworks,10AA0000714,Female,53,39.173535,-84.491272,10/13/2014 20:00,5/4/2018 5:00
Streetworks,10AA0001017,Female,13,41.165993,-80.87463,4/16/2018 5:00,6/22/2018 17:00
Streetworks,10AA0001543,Male,53,41.427724,-80.737223,4/16/2018 5:00,5/25/2018 17:00
Building Licence,10AA0001543,Female,32,40.635749,-82.238853,3/19/2018 7:00,6/30/2018 17:00
Streetworks,10BA0000662,Male,49,39.333377,-81.889431,3/1/2018 7:00,9/3/2018 15:30
Streetworks,10BA0000662,Female,39,41.411272,-82.180062,3/30/2018 7:00,5/31/2018 17:00
Building Licence,10BA0000748,Female,52,41.491469,-81.709967,4/16/2018 6:00,5/31/2018 10:00
Streetworks,10CA0000731,Male,62,39.254319,-84.434712,4/13/2018 7:30,4/27/2018 17:00
Building Licence,10CA0000740,Female,19,40.39131,-82.479252,4/11/2018 7:00,7/30/2018 18:00
Streetworks,10CA0000740,Female,23,41.404718,-82.117193,3/30/2017 7:00,5/31/2019 17:00
Streetworks,10AA0000794,Female,26,41.581281,-81.540451,4/12/2018 20:00,6/15/2018 6:00
Streetworks,10AA0000811,Male,49,41.498236,-81.705356,4/16/2018 20:00,4/21/2018 6:00
Streetworks,10AA0000825,Female,48,41.040538,-81.657701,7/24/2016 5:00,6/28/2019 17:00
Streetworks,10AA0000891,Female,22,39.072795,-84.326106,7/5/2017 9:00,5/1/2018 15:00
Streetworks,10AA0000891,Male,39,39.765619,-84.701011,4/23/2018 7:00,4/27/2018 15:00
Streetworks,10BA0000759,Male,42,40.049201,-80.734029,2/12/2018 7:00,10/15/2019 17:00
Streetworks,10BA0000759,Female,50,38.96334,-83.418477,2/26/2018 14:00,5/31/2018 16:00
Temporary Traffic Restriction,10BA0000761,Male,18,39.135053,-83.563942,3/1/2018 8:00,6/16/2018 16:00
Streetworks,10CA0000826,Male,31,39.413821,-82.589465,3/1/2018 7:00,6/30/2018 15:30
Streetworks,10MU0000956,Male,43,40.88477,-80.650871,3/12/2018 7:00,10/31/2018 17:00
Streetworks,10AA0000838,Male,45,41.191659,-82.411051,3/30/2018 7:00,5/31/2018 17:00
Streetworks,10AA0000854,Female,51,39.66719,-81.323363,2/23/2018 7:00,6/1/2018 15:30
Streetworks,10AA0001076,Male,21,41.579766,-81.544013,4/12/2018 20:00,6/15/2018 6:00
Building Licence,10AA0001207,Male,35,41.686538,-83.56671,3/9/2015 7:00,7/31/2018 19:00
Streetworks,10AA0001207,Male,24,40.632886,-81.187253,4/23/2018 7:00,4/27/2018 16:00
Temporary Traffic Restriction,10AA0001207,Female,36,38.558987,-82.352585,4/15/2018 8:00,7/31/2018 16:00
Building Licence,10AA0001224,Male,27,38.892462,-83.000309,3/16/2018 14:00,4/30/2018 18:00
Temporary Traffic Restriction,10AA0001224,Female,26,41.464585,-82.022092,3/30/2018 7:00,10/31/2018 17:00
Building Licence,10BA0000807,Female,27,39.626194,-84.754343,3/26/2018 7:00,10/1/2018 15:30
Temporary Traffic Restriction,10BA0005199,Male,48,39.10052,-84.504357,12/8/2017 22:00,4/30/2018 8:00
Streetworks,10CA0000810,Male,14,41.501486,-82.837491,12/5/2017 6:00,5/25/2018 18:00
Streetworks,10MU0000948,Female,25,40.802752,-83.380404,2/26/2018 8:00,4/27/2018 15:00
Streetworks,10BA0000951,Male,48,39.251926,-84.423987,4/2/2018 9:00,6/1/2018 17:00
Streetworks,10BA0000951,Female,34,39.687123,-80.936855,2/23/2018 7:00,6/1/2018 15:30
Streetworks,10CA0000783,Male,25,41.039295,-81.661829,3/5/2018 5:00,5/11/2018 17:00
Streetworks,10CA0000845,Male,25,39.165378,-82.736575,4/20/2018 8:00,4/27/2018 17:00
Temporary Traffic Restriction,10CA0000845,Female,22,39.059596,-84.424845,4/22/2018 6:00,4/22/2018 9:00
Streetworks,10CA0000845,Male,23,39.371175,-82.274721,4/16/2018 8:00,4/19/2018 10:00
Streetworks,10CA0000845,Male,21,40.1196,-83.463408,4/16/2018 9:00,5/7/2018 15:00
Streetworks,10MU0001027,Male,36,39.326572,-82.265795,4/16/2018 14:15,4/19/2018 10:00
Streetworks,10MU0001027,Male,52,39.031852,-82.823586,4/2/2018 8:00,7/31/2018 16:00
Temporary Traffic Restriction,10MU0001027,Male,39,39.807179,-81.179915,4/2/2018 7:00,7/27/2018 17:00
Streetworks,10MU0001027,Male,63,41.687262,-83.552604,10/28/2016 21:00,7/31/2018 18:00
Temporary Traffic Restriction,10AA0001013,Female,12,40.686033,-80.642271,4/2/2018 7:00,6/30/2018 17:00
Streetworks,10AA0001071,Male,19,39.96756,-81.178542,4/9/2018 7:00,7/31/2018 17:00
Building Licence,10AA0001102,Male,12,39.853261,-83.994407,4/4/2018 7:00,4/24/2018 17:00
Building Licence,10AA0001603,Male,30,39.84773,-84.425052,3/5/2018 7:00,9/30/2018 17:00
Streetworks,10AA0001603,Male,29,39.87039,-83.993636,3/26/2018 7:00,8/15/2018 17:00
Building Licence,10BA0000832,Male,37,38.566208,-82.759664,4/9/2018 8:00,8/31/2018 16:00
Streetworks,10BA0001192,Male,61,38.551766,-82.518826,4/2/2018 8:00,10/31/2018 16:00
Streetworks,10CA0000886,Male,30,40.842262,-84.349281,4/23/2018 8:00,4/24/2018 16:00
Streetworks,10CA0000990,Male,42,41.579215,-81.544516,4/12/2018 6:00,6/15/2018 6:00
Streetworks,10AA0001604,Female,34,41.301328,-81.702072,4/13/2018 7:00,4/27/2018 19:00
Streetworks,10AA0002538,Male,57,39.27819,-81.833359,4/17/2018 9:07,4/19/2018 10:00
Building Licence,10AA0002538,Male,26,41.047782,-81.728794,4/16/2018 7:00,6/30/2018 17:00
Streetworks,10BA0000927,Male,63,39.700817,-83.99828,4/16/2018 7:00,8/31/2018 15:30
Temporary Traffic Restriction,10AA0000996,Female,57,41.120297,-84.476861,4/18/2018 8:00,7/2/2018 8:00
Streetworks,10AA0001133,Male,24,39.894208,-83.039765,11/7/2017 11:59,6/1/2018 0:00
Building Licence,10BA0000920,Male,59,40.059639,-81.686226,4/10/2018 8:00,5/31/2018 14:45
Streetworks,10CA0000932,Male,45,39.430245,-81.863951,2/25/2018 7:00,6/30/2018 17:00
Building Licence,10CA0000971,Male,39,38.952831,-83.045503,3/18/2018 8:00,7/31/2018 16:00
Streetworks,10CA0000997,Male,47,39.204342,-83.737944,4/5/2018 8:00,9/30/2018 16:00
Streetworks,10MU0000926,Male,19,41.303872,-81.412373,4/6/2018 5:00,4/27/2018 17:00
Streetworks,10MU0000926,Male,20,40.318978,-81.311625,4/16/2018 8:00,4/19/2018 16:30
Building Licence,10MU0000926,Male,21,41.653963,-83.553034,8/21/2017 6:00,5/31/2019 18:00
Temporary Traffic Restriction,10AA0000944,Male,24,41.309547,-81.132695,4/16/2018 5:00,7/27/2018 17:00
Streetworks,10AA0001146,Female,22,41.550483,-83.604071,4/17/2018 8:56,4/17/2018 13:00
Streetworks,10BA0000945,Male,62,41.3574,-82.634883,3/30/2018 7:00,9/30/2018 17:00
Building Licence,10BA0001021,Male,17,40.071155,-80.877089,3/6/2017 7:00,10/31/2018 17:00
Temporary Traffic Restriction,10BA0001021,Male,19,41.32898,-82.478089,4/11/2018 0:00,5/25/2018 12:00
Temporary Traffic Restriction,10BA0001021,Female,14,41.393391,-81.510315,8/8/2016 19:00,6/30/2020 19:00
Building Licence,10BA0001021,Female,15,38.835817,-82.851183,7/10/2016 8:00,4/8/2019 8:00
Building Licence,10BA0001026,Male,16,39.413524,-82.648387,2/26/2018 7:30,9/1/2018 16:00
Streetworks,10CA0001150,Female,40,40.190989,-80.996302,4/9/2018 6:00,10/31/2018 17:00
Temporary Traffic Restriction,10CA0001494,Female,23,40.053103,-81.325309,3/26/2018 0:00,10/31/2018 17:00
Temporary Traffic Restriction,10CA0001494,Male,33,41.493418,-81.683112,10/23/2014 19:00,12/31/2024 0:00
Streetworks,10AA0001063,Male,13,40.264176,-80.983256,4/9/2018 6:00,10/31/2018 17:00
Streetworks,10AA0001103,Female,23,40.82957,-81.394614,4/2/2018 21:00,6/20/2018 6:00
Streetworks,10AA0001160,Female,76,39.846243,-81.023725,4/4/2018 7:00,12/1/2018 17:00
Streetworks,10AA0001160,Female,45,39.104959,-84.504583,6/1/2015 22:00,4/30/2018 17:00
Temporary Traffic Restriction,10BA0001007,Male,10,39.543948,-84.063248,4/9/2018 7:00,4/20/2018 17:00
Streetworks,10BA0001085,Female,45,40.37199,-80.60966,5/31/2016 7:00,12/31/2018 17:00
Streetworks,10BA0001085,Female,28,40.627757,-82.333005,4/6/2018 7:00,8/30/2018 17:00
Streetworks,10BA0001085,Male,29,39.516267,-82.156166,2/19/2018 7:00,6/1/2018 15:30
Streetworks,10CA0000976,Male,59,39.954099,-82.989285,1/9/2018 8:00,10/31/2018 17:00
Building Licence,10CA0000979,Female,20,41.060573,-81.504431,10/29/2017 19:30,8/31/2018 17:00
Building Licence,10CA0000979,Male,19,39.062242,-81.813065,1/18/2018 7:00,5/1/2018 15:30
Temporary Traffic Restriction,10CA0001184,Male,20,39.676386,-80.880468,4/12/2018 7:00,6/12/2018 15:30
