State,Type,Severity,StartTime(UTC)
,Rain,Moderate,11/8/2017 22:53
,Rain,Light,11/8/2017 23:07
,Rain,Moderate,11/8/2017 23:43
,Precipitation,UNK,11/8/2017 23:53
,Rain,Light,11/9/2017 1:21
,Rain,Light,11/9/2017 5:53
,Rain,Light,11/9/2017 8:53
,Rain,Light,11/9/2017 10:53
,Rain,Light,11/9/2017 16:53
,Rain,Light,11/9/2017 21:53
,Rain,Light,11/10/2017 0:08
,Rain,Light,11/10/2017 6:53
,Rain,Light,11/10/2017 13:53
,Rain,Moderate,11/10/2017 14:44
,Rain,Light,11/10/2017 15:00
,Rain,Moderate,11/10/2017 15:36
,Rain,Light,11/10/2017 16:00
,Rain,Moderate,11/10/2017 16:53
,Rain,Light,11/10/2017 18:23
,Rain,Light,11/11/2017 3:46
,Rain,Light,11/13/2017 4:53
,Rain,Light,11/13/2017 7:53
,Rain,Light,11/13/2017 11:53
,Rain,Light,11/13/2017 13:53
,Rain,Light,11/13/2017 16:21
,Rain,Moderate,11/13/2017 16:53
,Rain,Light,11/13/2017 17:05
,Rain,Moderate,11/13/2017 17:23
,Rain,Light,11/13/2017 18:03
,Rain,Light,11/13/2017 21:53
,Rain,Light,11/14/2017 5:23
,Rain,Light,11/15/2017 11:53
,Rain,Light,11/15/2017 17:53
,Rain,Light,11/15/2017 21:53
,Fog,Severe,2/21/2019 2:05
,Fog,Severe,2/21/2019 3:07
,Fog,Severe,2/21/2019 4:32
,Fog,Severe,2/21/2019 12:08
,Fog,Severe,2/21/2019 14:15
,Fog,Severe,2/21/2019 17:41
,Fog,Moderate,2/21/2019 18:14
,Fog,Moderate,2/21/2019 19:29
,Fog,Severe,2/21/2019 20:06
,Fog,Moderate,2/21/2019 20:28
,Fog,Severe,2/21/2019 21:51
,Fog,Moderate,2/22/2019 5:33
,Rain,Light,2/22/2019 8:12
,Rain,Light,2/22/2019 10:51
,Rain,Light,2/22/2019 15:51
,Rain,Light,2/22/2019 18:31
,Fog,Moderate,2/22/2019 20:29
,Rain,Light,2/22/2019 21:20
,Rain,Light,2/23/2019 0:06
,Rain,Light,2/23/2019 2:51
,Rain,Light,2/23/2019 5:04
,Rain,Light,2/23/2019 9:51
,Rain,Light,2/23/2019 10:51
,Rain,Light,2/23/2019 12:16
,Fog,Moderate,2/23/2019 12:51
,Rain,Light,2/23/2019 13:14
,Fog,Moderate,2/23/2019 13:51
,Rain,Light,2/23/2019 18:51
,Fog,Moderate,2/24/2019 4:40
,Fog,Severe,2/24/2019 4:56
,Fog,Severe,2/24/2019 6:30
,Fog,Severe,2/24/2019 11:49
,Fog,Moderate,2/24/2019 13:11
,Rain,Light,2/27/2019 16:51
,Fog,Moderate,2/28/2019 14:38
,Rain,Light,3/1/2019 23:42
,Rain,Light,3/2/2019 0:51
,Rain,Light,3/2/2019 3:31
,Rain,Light,3/2/2019 4:59
,Rain,Light,3/3/2019 20:36
,Rain,Moderate,3/3/2019 20:51
,Fog,Severe,3/3/2019 21:09
,Rain,Heavy,3/3/2019 21:27
,Precipitation,UNK,3/3/2019 21:46
,Rain,Moderate,3/4/2019 0:48
,Rain,Light,3/4/2019 0:55
,Rain,Light,3/4/2019 2:51
,Rain,Moderate,3/4/2019 3:51
,Rain,Light,3/4/2019 4:38
,Rain,Moderate,3/4/2019 4:51
,Rain,Light,3/4/2019 4:55
,Rain,Moderate,3/4/2019 5:14
,Rain,Heavy,3/4/2019 5:46
,Rain,Light,3/4/2019 8:42
,Rain,Light,3/5/2019 10:51
,Rain,Light,3/5/2019 21:46
,Rain,Light,3/8/2019 22:51
,Rain,Light,3/9/2019 1:51
,Fog,Moderate,3/10/2019 21:51
,Rain,Light,3/11/2019 6:51
,Rain,Light,3/16/2019 8:51
,Rain,Light,3/20/2019 9:08
,Rain,Light,3/20/2019 10:29
,Snow,Moderate,12/14/2019 21:53
,Snow,Light,12/14/2019 22:00
,Snow,Light,12/14/2019 23:24
,Snow,Light,12/15/2019 0:21
,Fog,Severe,12/27/2019 8:48
,Fog,Severe,12/27/2019 11:07
,Fog,Severe,12/27/2019 15:01
,Snow,Light,12/27/2019 17:08
,Fog,Severe,12/27/2019 17:43
,Fog,Severe,12/28/2019 3:40
,Fog,Severe,12/28/2019 3:53
,Fog,Moderate,12/28/2019 12:53
,Snow,Light,12/28/2019 13:35
,Snow,Light,12/28/2019 17:15
