ROAD WORK ID,FROM_DATE,TO_DATE,STREET_ADDRESS,Local Authority Reference,Works Status,Works Type,Category Of Works
RC14,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1516 S 12TH ST Unit A,LA00423616,PROPOSED WORKS,MAJOR,Streetworks
RC15,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,527 W JEFFERSON ST,LA00434861,PROPOSED WORKS,MAJOR,Streetworks
RC16,2020-02-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,2737 HELM ST,LA00435434,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other
RC17,2020-02-01T00:00:00.000Z,2020-03-01T00:00:00.000Z,221 S 4TH ST,LA00428981,PROPOSED WORKS,MINOR,Streetworks
RC18,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,139 CABEL ST,LA00399369,WORKS ABANDONED,MAJOR,Streetworks
RC19,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1668 RICHMOND DR,LA00437545,PROPOSED WORKS,MAJOR,Streetworks
RC20,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,416 W JEFFERSON ST,LA00434084,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC21,2020-02-20T00:00:00.000Z,2020-03-26T00:00:00.000Z,706 BARRET AVE,LA00417447,PROPOSED WORKS,MAJOR,Streetworks
RC22,2020-02-17T00:00:00.000Z,2020-03-27T00:00:00.000Z,201 S 4TH ST,LA00429060,PROPOSED WORKS,STANDARD,Streetworks
RC23,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,420 LONG RUN RD,LA00430406,IN PROGRESS,MAJOR,Streetworks
RC24,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,280 W JEFFERSON ST,LA00378171,PROPOSED WORKS,MINOR,Streetworks
RC25,2020-01-27T00:00:00.000Z,2020-04-24T00:00:00.000Z,5411 REGENT WAY,LA00397644,PROPOSED WORKS,MAJOR,Streetworks
RC26,2020-01-24T00:00:00.000Z,2020-04-27T00:00:00.000Z,8212 KIMBERLY WAY,LA00381737,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC27,2020-01-27T00:00:00.000Z,2020-04-27T00:00:00.000Z,2800 S FLOYD ST,LA00426293,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC28,2020-01-27T00:00:00.000Z,2020-04-27T00:00:00.000Z,200 E WASHINGTON ST,LA00429651,PROPOSED WORKS,MAJOR,Streetworks
RC29,2020-02-18T00:00:00.000Z,2020-04-27T00:00:00.000Z,1121 PHILLIPS LN,LA00437100,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
RC30,2020-01-21T00:00:00.000Z,2020-04-28T00:00:00.000Z,300 W LIBERTY ST,LA00436199,PROPOSED WORKS,MINOR,Streetworks
RC31,2020-01-28T00:00:00.000Z,2020-04-28T00:00:00.000Z,100 E LIBERTY ST,LA00436669,PROPOSED WORKS,MINOR,Streetworks
RC32,2020-01-01T00:00:00.000Z,2020-04-30T00:00:00.000Z,1200 ROWAN ST,LA00436489,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC33,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,200 DERBY AVE,LA00434102,PROPOSED WORKS,MAJOR,Streetworks
RC34,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,211 DERBY AVE,LA00437600,PROPOSED WORKS,MINOR,Streetworks
RC35,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,213 BONNIE LN,LA00434694,PROPOSED WORKS,MINOR,Streetworks
RC36,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,211 ALPHA AVE,LA00394973,PROPOSED WORKS,MAJOR,Streetworks
RC37,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,209 DERBY AVE,LA00436515,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other
RC38,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,232 W MUHAMMAD ALI BLVD,LA00416663,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC39,2020-02-06T00:00:00.000Z,2020-04-30T00:00:00.000Z,337 E ST CATHERINE ST,LA00437064,PROPOSED WORKS,STANDARD,Streetworks
RC40,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1112 W ST CATHERINE ST,LA00435757,PROPOSED WORKS,MAJOR,Streetworks
RC41,2020-02-14T00:00:00.000Z,2020-03-01T00:00:00.000Z,221 S 4TH ST,LA00432754,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC42,2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,2700 CRITTENDEN DR,LA00414179,PROPOSED WORKS,MAJOR,Streetworks
RC43,2020-02-06T00:00:00.000Z,2020-04-30T00:00:00.000Z,1021 S FLOYD ST,LA00420783,PROPOSED WORKS,MAJOR,Streetworks
RC44,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,307 W WOODLAWN AVE,LA00437054,PROPOSED WORKS,MAJOR,Streetworks
RC45,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4642 BELLEVUE AVE,LA00408153,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC46,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4901 PEACHTREE AVE,LA00421969,IN PROGRESS,MAJOR,Streetworks
RC47,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,3237 W BROADWAY,LA00430497,PROPOSED WORKS,MAJOR,Streetworks
RC48,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4541 S 3RD ST,LA00424578,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC49,2020-02-17T00:00:00.000Z,2020-04-30T00:00:00.000Z,2730 LEXINGTON RD,LA00434097,PROPOSED WORKS,MAJOR,Streetworks
RC50,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,3722 7TH STREET RD,LA00428725,PROPOSED WORKS,STANDARD,Streetworks
RC51,2020-02-21T00:00:00.000Z,2020-03-27T00:00:00.000Z,1412 TUCKER STATION RD,LA00437808,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other
RC52,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1427 S CLAY ST,LA00436501,PROPOSED WORKS,STANDARD,Streetworks
RC53,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1742 BERRY BLVD,LA00433597,PROPOSED WORKS,MAJOR,Streetworks
RC54,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1742 BERRY BLVD,LA00434086,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC55,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1733 BROWNSBORO RD,LA00436423,PROPOSED WORKS,MINOR,Streetworks
RC56,2019-12-02T00:00:00.000Z,2020-04-30T00:00:00.000Z,123 N 11TH ST,LA00432628,PROPOSED WORKS,MAJOR,Streetworks
RC57,2020-02-12T00:00:00.000Z,2020-05-15T00:00:00.000Z,2532 W BROADWAY,LA00436663,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC58,2020-02-12T00:00:00.000Z,2020-05-15T00:00:00.000Z,865 S 26TH ST,LA00352027,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC59,2020-02-18T00:00:00.000Z,2020-05-15T00:00:00.000Z,3237 W BROADWAY,LA00398973,PROPOSED WORKS,MAJOR,Streetworks
RC60,2020-02-18T00:00:00.000Z,2020-05-15T00:00:00.000Z,3237 W BROADWAY,LA00437241,WORKS ABANDONED,HIGHWAYS ACT PERMITS,Other
RC61,2020-02-21T00:00:00.000Z,2020-05-15T00:00:00.000Z,810 N ENGLISH STATION RD,LA00432529,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC62,2020-02-26T00:00:00.000Z,2020-05-15T00:00:00.000Z,2600 STANLEY GAULT PKY Unit 101,LA00435588,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other
RC63,2020-02-18T00:00:00.000Z,2020-05-18T00:00:00.000Z,4538 S 3RD ST,LA00429505,PROPOSED WORKS,STANDARD,Streetworks
RC64,2019-12-11T00:00:00.000Z,2020-05-31T00:00:00.000Z,1800 BROWNSBORO RD,LA00436461,PROPOSED WORKS,MINOR,Streetworks
RC65,2020-02-24T00:00:00.000Z,2020-06-24T00:00:00.000Z,12911 FACTORY LN,LA00432543,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC66,2019-02-01T00:00:00.000Z,2020-06-30T00:00:00.000Z,309 W BRANDEIS AVE,LA00434692,PROPOSED WORKS,MINOR,Streetworks
RC67,2020-01-20T00:00:00.000Z,2020-08-31T00:00:00.000Z,3808 HILLCROSS DR,LA00375752,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC68,2020-01-20T00:00:00.000Z,2020-08-31T00:00:00.000Z,4100 MUD LN,LA00397638,PROPOSED WORKS,MAJOR,Streetworks
RC69,2019-12-30T00:00:00.000Z,2020-12-31T00:00:00.000Z,3800 CRITTENDEN DR,LA00430828,PROPOSED WORKS,MAJOR,Streetworks
RC70,2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,601 W Jefferson ST,LA00433110,PROPOSED WORKS,MAJOR,Streetworks
RC71,2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,704 BARRET AVE,LA00434505,PROPOSED WORKS,STANDARD,Streetworks
RC72,2020-02-14T00:00:00.000Z,2020-03-31T00:00:00.000Z,1414 S 7TH ST,LA00435470,PROPOSED WORKS,MAJOR,Streetworks
RC73,2020-02-14T00:00:00.000Z,2020-03-31T00:00:00.000Z,812 W MAGNOLIA AVE,LA00437506,PROPOSED WORKS,MINOR,Streetworks
RC74,2020-02-16T00:00:00.000Z,2020-03-31T00:00:00.000Z,718 S 4TH ST,LA00435468,PROPOSED WORKS,STANDARD,Streetworks
RC75,2020-02-17T00:00:00.000Z,2020-03-31T00:00:00.000Z,615 W BRECKINRIDGE ST,LA00428090,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC76,2020-02-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,2229 PIRTLE ST,LA00437558,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC77,2020-02-18T00:00:00.000Z,2020-03-31T00:00:00.000Z,211 W HILL ST Unit 1,LA00437395,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC78,2020-02-20T00:00:00.000Z,2020-03-31T00:00:00.000Z,207 W BROADWAY,LA00420768,WORKS ABANDONED,MAJOR,Streetworks
RC79,2020-02-21T00:00:00.000Z,2020-03-31T00:00:00.000Z,8406 HUDSON LN,LA00436516,PROPOSED WORKS,MAJOR,Streetworks
RC80,2020-02-21T00:00:00.000Z,2020-03-31T00:00:00.000Z,1248 E BROADWAY,LA00434599,PROPOSED WORKS,MAJOR,Streetworks
RC81,2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,500 E JEFFERSON ST Unit 101,LA00430492,IN PROGRESS,MAJOR,Streetworks
RC82,2019-10-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,200 N SHELBY ST,LA00435443,PROPOSED WORKS,MINOR,Streetworks
RC83,2019-10-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,270 N CAMPBELL ST,LA00433430,PROPOSED WORKS,MAJOR,Streetworks
RC84,2020-01-06T00:00:00.000Z,2020-03-02T00:00:00.000Z,14318 OLD HENRY RD,LA00413134,PROPOSED WORKS,STANDARD,Streetworks
RC85,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1651 DIXDALE AVE,LA00428980,PROPOSED WORKS,MINOR,Streetworks
RC86,2019-12-11T00:00:00.000Z,2020-03-31T00:00:00.000Z,901 W MAGNOLIA AVE,LA00434504,PROPOSED WORKS,MAJOR,Streetworks
RC87,2019-12-26T00:00:00.000Z,2020-03-31T00:00:00.000Z,218 W MUHAMMAD ALI BLVD,LA00418621,PROPOSED PERMANENT,MAJOR,Streetworks
RC88,2019-12-31T00:00:00.000Z,2020-03-31T00:00:00.000Z,100 W MARKET ST,LA00436076,PROPOSED WORKS,STANDARD,Streetworks
RC89,2020-02-03T00:00:00.000Z,2020-04-01T00:00:00.000Z,731 W WASHINGTON ST,LA00389863,WORKS ABANDONED,MAJOR,Streetworks
RC90,2020-02-19T00:00:00.000Z,2020-04-01T00:00:00.000Z,101 W MUHAMMAD ALI BLVD,LA00437073,PROPOSED WORKS,MAJOR,Streetworks
RC91,2020-01-13T00:00:00.000Z,2020-04-03T00:00:00.000Z,222 S 4TH ST,LA00428116,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC92,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,300 S 1ST ST,LA00420758,PROPOSED WORKS,MAJOR,Streetworks
RC93,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 N 6TH ST,LA00428063,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC94,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,615 W SHIPP AVE,LA00434057,PROPOSED WORKS,MAJOR,Streetworks
RC95,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,701 W JEFFERSON ST,LA00437546,PROPOSED WORKS,MAJOR,Streetworks
RC96,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 W BROADWAY,LA00436014,PROPOSED WORKS,MAJOR,Streetworks
RC97,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,8010 CHRISTIAN CT,LA00434001,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC98,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,1334 S 3RD ST,LA00431405,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other
RC99,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,600 W MARKET ST,LA00432212,PROPOSED WORKS,MINOR,Streetworks
RC100,2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,1311 S SHELBY ST,LA00433645,PROPOSED WORKS,MAJOR,Streetworks
RC101,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 E LIBERTY ST,LA00339263,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC102,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,117 W LIBERTY ST,LA00428166,WORKS ABANDONED,MAJOR,Streetworks
RC103,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,124 E LIBERTY ST,LA00437666,PROPOSED WORKS,STANDARD,Streetworks
RC104,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,140 S 4TH ST,LA00434609,PROPOSED WORKS,MAJOR,Streetworks
RC105,2020-02-10T00:00:00.000Z,2020-04-06T00:00:00.000Z,133 W LIBERTY ST,LA00436569,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC106,2020-02-10T00:00:00.000Z,2020-04-06T00:00:00.000Z,200 ABRAHAM FLEXNER WAY,LA00431725,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC107,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,12500 SYCAMORE STATION PL,LA00433621,PROPOSED WORKS,STANDARD,Streetworks
RC108,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,1552 KNIGHT RD,LA00434898,PROPOSED WORKS,MAJOR,Streetworks
RC109,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,1500 OLEANDA CT,LA00436018,PROPOSED WORKS,MAJOR,Streetworks
RC110,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,3202 GOOSE CREEK RD,LA00436498,PROPOSED WORKS,STANDARD,Streetworks
RC111,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,10119 WHIPPS MILL RD,LA00436378,PROPOSED WORKS,MINOR,Streetworks
RC112,2020-02-26T00:00:00.000Z,2020-04-08T00:00:00.000Z,416 W JEFFERSON ST,LA00429797,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC113,2020-02-17T00:00:00.000Z,2020-04-10T00:00:00.000Z,140 N 4TH ST,LA00426886,IN PROGRESS,MAJOR,Streetworks
RC114,2020-02-07T00:00:00.000Z,2020-04-11T00:00:00.000Z,1024 E MAIN ST,LA00436369,PROPOSED WORKS,STANDARD,Streetworks
RC115,2020-02-10T00:00:00.000Z,2020-04-11T00:00:00.000Z,540 S 4TH ST,LA00433114,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC116,2020-02-18T00:00:00.000Z,2020-04-11T00:00:00.000Z,3441 TAYLOR BLVD,LA00422005,IN PROGRESS,MAJOR,Streetworks
RC117,2020-02-21T00:00:00.000Z,2020-04-11T00:00:00.000Z,418 PINE ST,LA00435233,PROPOSED WORKS,MAJOR,Streetworks
RC118,2020-02-17T00:00:00.000Z,2020-04-13T00:00:00.000Z,2015 GARDINER LN,LA00427955,IN PROGRESS,MAJOR,Streetworks
RC119,2020-02-07T00:00:00.000Z,2020-04-15T00:00:00.000Z,1238 HULL ST,LA00432049,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC120,2020-02-19T00:00:00.000Z,2020-04-15T00:00:00.000Z,400 S 4TH ST Unit 160,LA00434860,PROPOSED WORKS,MAJOR,Streetworks
RC121,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,280 W JEFFERSON ST,LA00429280,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC122,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,931 DRESDEN AVE,LA00435672,PROPOSED WORKS,MAJOR,Streetworks
RC123,2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,1227 S 12TH ST,LA00428951,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC124,2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,1335 S 13TH ST,LA00421047,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC125,2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,654 S 7TH ST,LA00435593,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC126,2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,150 S 3RD ST,LA00436758,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Skip Licence
RC127,2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,120 S 8TH ST,LA00437542,PROPOSED WORKS,MINOR,Streetworks
RC128,2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,201 S 4TH ST,LA00378173,PROPOSED WORKS,MINOR,Streetworks
RC129,2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,738 S 4TH ST,LA00425424,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC130,2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,320 W JEFFERSON ST,LA00427550,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC131,2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,416 W JEFFERSON ST,LA00435665,PROPOSED WORKS,STANDARD,Streetworks
RC132,2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 E JEFFERSON ST,LA00388855,PROPOSED WORKS,MAJOR,Streetworks
RC133,2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,845 S 9TH ST,LA00434598,PROPOSED WORKS,MAJOR,Streetworks
RC134,2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,812 LAMPTON ST,LA00436362,PROPOSED WORKS,ROAD RESTRICTION,Streetworks
RC135,2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,600 W MARKET ST,LA00434601,PROPOSED WORKS,MAJOR,Streetworks
RC136,2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,2317 HOWARD ST,LA00437460,PROPOSED WORKS,MINOR,Streetworks
RC137,2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,1424 W KENTUCKY ST,LA00437338,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC138,2020-02-17T00:00:00.000Z,2020-03-30T00:00:00.000Z,8715 OLD BARDSTOWN RD,LA00433595,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC139,2020-02-17T00:00:00.000Z,2020-03-30T00:00:00.000Z,615 m ST,LA00435419,PROPOSED WORKS,MAJOR,Streetworks
RC140,2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 W BROADWAY,LA00430483,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC141,2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3333 RADIANCE RD,LA00437099,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
RC142,2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3646 JOHNSTON WAY,LA00436082,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
RC143,2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3306 NOE WAY,LA00437810,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other
RC144,2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3647 STANTON BLVD,LA00403232,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC145,2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3048 RADIANCE RD,LA00425779,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC146,2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,226 S 1ST ST,LA00436312,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC147,2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 E LIBERTY ST,LA00429903,PROPOSED WORKS,STANDARD,Streetworks
RC148,2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,627 S 1ST ST,LA00436047,WORKS ABANDONED,STANDARD,Streetworks
RC149,2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 E LIBERTY ST,LA00435758,PROPOSED WORKS,STANDARD,Streetworks
RC150,2020-01-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,635 INDUSTRY RD,LA00378143,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC151,2020-01-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,215 CENTRAL AVE,LA00435762,PROPOSED WORKS,MAJOR,Streetworks
RC152,2020-01-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,2400 S 4TH ST Unit 1007,LA00431200,PROPOSED WORKS,MAJOR,Streetworks
RC153,2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,1630 FRANKFORT AVE,LA00436644,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC154,2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,2432 GLENMARY AVE Unit A1,LA00368697,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC155,2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,100 W CHESTNUT ST,LA00367417,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC156,2020-01-06T00:00:00.000Z,2020-03-31T00:00:00.000Z,1047 FRANKLIN ST,LA00436012,PROPOSED WORKS,MAJOR,Streetworks
RC157,2020-01-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,9004 CHERRIVILLE RD,LA00434096,PROPOSED WORKS,MAJOR,Streetworks
RC158,2020-01-08T00:00:00.000Z,2020-03-31T00:00:00.000Z,912 LOUIS COLEMAN JR DR,LA00420045,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation
RC159,2020-01-09T00:00:00.000Z,2020-03-31T00:00:00.000Z,2131 S 41ST ST,LA00437555,PROPOSED WORKS,MINOR,Streetworks
RC160,2020-01-09T00:00:00.000Z,2020-03-31T00:00:00.000Z,4011 ALGONQUIN PKY,LA00432891,PROPOSED WORKS,MAJOR,Streetworks
RC161,2020-01-13T00:00:00.000Z,2020-03-31T00:00:00.000Z,332 E OAK ST,LA00437333,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC162,2020-01-20T00:00:00.000Z,2020-03-31T00:00:00.000Z,709 VINE ST,LA00434260,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC163,2020-01-20T00:00:00.000Z,2020-03-31T00:00:00.000Z,2737 HELM ST,LA00432889,PROPOSED WORKS,MAJOR,Streetworks
RC164,2020-01-22T00:00:00.000Z,2020-03-31T00:00:00.000Z,1201 DURRETT LN,LA00437622,PROPOSED WORKS,MINOR,Streetworks
RC165,2020-01-22T00:00:00.000Z,2020-03-31T00:00:00.000Z,901 GOSS AVE,LA00437574,WORKS ABANDONED,HIGHWAYS ACT PERMITS,Building Licence
