State,Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding,Percentage Of Drivers Involved In Fatal Collisions Who Were Not Distracted,Losses incurred by insurance companies for collisions per insured driver ($),Severity,StartTime(UTC),EndTime(UTC)
,,,,Severe,10/25/2017 19:22,10/25/2017 19:59
,,,,Severe,10/25/2017 20:03,10/25/2017 20:44
,,,,Moderate,10/25/2017 22:53,10/25/2017 23:53
,,,,Moderate,10/26/2017 0:53,10/26/2017 1:53
,,,,Severe,10/26/2017 15:12,10/26/2017 18:17
,,,,Severe,10/26/2017 18:28,10/26/2017 20:53
,,,,Severe,10/26/2017 21:41,10/26/2017 22:11
,,,,Severe,10/26/2017 22:26,10/27/2017 1:27
,,,,Severe,10/27/2017 2:23,10/27/2017 6:19
,,,,Severe,10/27/2017 8:07,10/27/2017 8:32
,,,,Severe,10/27/2017 9:33,10/27/2017 10:32
,,,,Severe,10/27/2017 12:36,10/27/2017 15:37
,,,,Severe,10/27/2017 22:00,10/28/2017 14:20
,,,,Severe,10/28/2017 14:46,10/28/2017 14:53
,,,,Severe,10/28/2017 15:53,10/28/2017 16:53
,,,,Severe,10/29/2017 11:57,10/29/2017 12:04
,,,,Light,10/29/2017 16:31,10/29/2017 16:41
,,,,Severe,11/1/2017 0:47,11/1/2017 8:14
,,,,Severe,11/1/2017 8:25,11/1/2017 11:53
,,,,Severe,11/1/2017 12:53,11/1/2017 13:36
,,,,Severe,11/1/2017 14:13,11/1/2017 16:53
,,,,Light,11/3/2017 1:05,11/3/2017 2:37
,,,,Light,11/3/2017 4:53,11/3/2017 6:53
,,,,Light,11/3/2017 7:14,11/3/2017 8:53
,,,,Moderate,11/3/2017 8:53,11/3/2017 9:17
,,,,Light,11/3/2017 9:17,11/3/2017 9:38
,,,,Moderate,11/3/2017 9:38,11/3/2017 10:04
,,,,Light,11/3/2017 10:04,11/3/2017 10:51
,,,,Moderate,11/3/2017 10:51,11/3/2017 11:18
,,,,Light,11/3/2017 11:18,11/3/2017 11:38
,,,,Moderate,11/3/2017 11:38,11/3/2017 12:23
,,,,Light,11/3/2017 12:23,11/3/2017 12:45
,,,,Moderate,11/3/2017 12:45,11/3/2017 13:05
,,,,Light,11/3/2017 13:05,11/3/2017 13:16
,,,,Moderate,11/3/2017 13:16,11/3/2017 14:02
,,,,Light,11/3/2017 14:02,11/3/2017 15:40
,,,,Moderate,11/3/2017 15:40,11/3/2017 16:03
,,,,Light,11/3/2017 16:03,11/3/2017 20:53
,,,,Light,11/3/2017 21:53,11/4/2017 0:53
,,,,Severe,11/4/2017 4:49,11/4/2017 5:19
,,,,Severe,11/4/2017 7:01,11/4/2017 7:13
,,,,Severe,11/4/2017 7:23,11/4/2017 7:43
,,,,Severe,11/4/2017 9:24,11/4/2017 9:41
,,,,Light,11/5/2017 14:53,11/5/2017 16:53
,,,,Light,11/5/2017 18:03,11/5/2017 18:36
,,,,Light,11/5/2017 20:53,11/5/2017 22:53
,,,,Light,11/6/2017 0:53,11/6/2017 1:53
,,,,Light,11/6/2017 4:21,11/6/2017 4:31
,,,,Moderate,11/6/2017 4:31,11/6/2017 5:53
,,,,Light,11/8/2017 16:53,11/8/2017 17:53
,,,,Light,11/8/2017 19:53,11/8/2017 20:53
,,,,Moderate,11/8/2017 20:53,11/8/2017 21:53
,,,,Light,11/8/2017 21:53,11/8/2017 22:53
,,,,Moderate,11/8/2017 22:53,11/8/2017 23:07
,,,,Light,11/8/2017 23:07,11/8/2017 23:43
,,,,Moderate,11/8/2017 23:43,11/8/2017 23:53
,,,,UNK,11/8/2017 23:53,11/9/2017 0:53
,,,,Light,11/9/2017 1:21,11/9/2017 3:53
,,,,Light,11/9/2017 5:53,11/9/2017 6:53
,,,,Light,11/9/2017 8:53,11/9/2017 9:53
,,,,Light,11/9/2017 10:53,11/9/2017 12:53
,,,,Light,11/9/2017 16:53,11/9/2017 17:53
,,,,Light,11/9/2017 21:53,11/9/2017 23:53
,,,,Light,11/10/2017 0:08,11/10/2017 2:53
,,,,Light,11/10/2017 6:53,11/10/2017 12:53
,,,,Light,11/10/2017 13:53,11/10/2017 14:44
,,,,Moderate,11/10/2017 14:44,11/10/2017 15:00
,,,,Light,11/10/2017 15:00,11/10/2017 15:36
,,,,Moderate,11/10/2017 15:36,11/10/2017 16:00
,,,,Light,11/10/2017 16:00,11/10/2017 16:53
,,,,Moderate,11/10/2017 16:53,11/10/2017 17:49
,,,,Light,11/10/2017 18:23,11/10/2017 18:31
,,,,Light,11/11/2017 3:46,11/11/2017 4:53
,,,,Light,11/13/2017 4:53,11/13/2017 5:53
,,,,Light,11/13/2017 7:53,11/13/2017 9:53
,,,,Light,11/13/2017 11:53,11/13/2017 13:22
,,,,Light,11/13/2017 13:53,11/13/2017 15:20
,,,,Light,11/13/2017 16:21,11/13/2017 16:53
,,,,Moderate,11/13/2017 16:53,11/13/2017 17:05
,,,,Light,11/13/2017 17:05,11/13/2017 17:23
,,,,Moderate,11/13/2017 17:23,11/13/2017 18:03
,,,,Light,11/13/2017 18:03,11/13/2017 19:53
,,,,Light,11/13/2017 21:53,11/13/2017 22:53
,,,,Light,11/14/2017 5:23,11/14/2017 5:53
,,,,Light,11/15/2017 11:53,11/15/2017 12:53
,,,,Light,11/15/2017 17:53,11/15/2017 19:53
,,,,Light,11/15/2017 21:53,11/15/2017 23:41
,,,,Severe,2/21/2019 2:05,2/21/2019 2:13
,,,,Severe,2/21/2019 3:07,2/21/2019 3:30
,,,,Severe,2/21/2019 4:32,2/21/2019 11:13
,,,,Severe,2/21/2019 12:08,2/21/2019 12:51
,,,,Severe,2/21/2019 14:15,2/21/2019 17:34
,,,,Severe,2/21/2019 17:41,2/21/2019 18:14
,,,,Moderate,2/21/2019 18:14,2/21/2019 18:40
,,,,Moderate,2/21/2019 19:29,2/21/2019 20:06
,,,,Severe,2/21/2019 20:06,2/21/2019 20:28
,,,,Moderate,2/21/2019 20:28,2/21/2019 21:51
,,,,Severe,2/21/2019 21:51,2/21/2019 23:46
,,,,Moderate,2/22/2019 5:33,2/22/2019 5:42
,,,,Light,2/22/2019 8:12,2/22/2019 9:51
,,,,Light,2/22/2019 10:51,2/22/2019 11:51
,,,,Light,2/22/2019 15:51,2/22/2019 17:51
,,,,Light,2/22/2019 18:31,2/22/2019 20:29
,,,,Moderate,2/22/2019 20:29,2/22/2019 20:51
,,,,Light,2/22/2019 21:20,2/22/2019 22:03
,,,,Light,2/23/2019 0:06,2/23/2019 1:51
,,,,Light,2/23/2019 2:51,2/23/2019 3:51
,,,,Light,2/23/2019 5:04,2/23/2019 8:51
,,,,Light,2/23/2019 9:51,2/23/2019 10:20
,,,,Light,2/23/2019 10:51,2/23/2019 11:34
,,,,Light,2/23/2019 12:16,2/23/2019 12:51
,,,,Moderate,2/23/2019 12:51,2/23/2019 13:14
,,,,Light,2/23/2019 13:14,2/23/2019 13:51
,,,,Moderate,2/23/2019 13:51,2/23/2019 18:51
,,,,Light,2/23/2019 18:51,2/23/2019 20:51
,,,,Moderate,2/24/2019 4:40,2/24/2019 4:56
,,,,Severe,2/24/2019 4:56,2/24/2019 5:58
,,,,Severe,2/24/2019 6:30,2/24/2019 10:28
,,,,Severe,2/24/2019 11:49,2/24/2019 13:04
,,,,Moderate,2/24/2019 13:11,2/25/2019 0:27
,,,,Light,2/27/2019 16:51,2/27/2019 17:51
,,,,Moderate,2/28/2019 14:38,2/28/2019 15:22
,,,,Light,3/1/2019 23:42,3/2/2019 0:14
,,,,Light,3/2/2019 0:51,3/2/2019 1:51
,,,,Light,3/2/2019 3:31,3/2/2019 3:51
,,,,Light,3/2/2019 4:59,3/2/2019 5:51
,,,,Light,3/3/2019 20:36,3/3/2019 20:51
,,,,Moderate,3/3/2019 20:51,3/3/2019 21:09
,,,,Severe,3/3/2019 21:09,3/3/2019 21:27
,,,,Heavy,3/3/2019 21:27,3/3/2019 21:46
,,,,UNK,3/3/2019 21:46,3/3/2019 22:14
,,,,Moderate,3/4/2019 0:48,3/4/2019 0:55
,,,,Light,3/4/2019 0:55,3/4/2019 1:51
,,,,Light,3/4/2019 2:51,3/4/2019 3:47
,,,,Moderate,3/4/2019 3:51,3/4/2019 4:38
,,,,Light,3/4/2019 4:38,3/4/2019 4:51
,,,,Moderate,3/4/2019 4:51,3/4/2019 4:55
,,,,Light,3/4/2019 4:55,3/4/2019 5:14
,,,,Moderate,3/4/2019 5:14,3/4/2019 5:46
,,,,Heavy,3/4/2019 5:46,3/4/2019 6:51
,,,,Light,3/4/2019 8:42,3/4/2019 9:51
,,,,Light,3/5/2019 10:51,3/5/2019 17:31
,,,,Light,3/5/2019 21:46,3/5/2019 21:51
,,,,Light,3/8/2019 22:51,3/8/2019 23:51
,,,,Light,3/9/2019 1:51,3/9/2019 3:51
,,,,Moderate,3/10/2019 21:51,3/10/2019 22:51
,,,,Light,3/11/2019 6:51,3/11/2019 7:51
,,,,Light,3/16/2019 8:51,3/16/2019 10:51
,,,,Light,3/20/2019 9:08,3/20/2019 9:51
,,,,Light,3/20/2019 10:29,3/20/2019 15:26
,,,,Moderate,12/14/2019 21:53,12/14/2019 22:00
,,,,Light,12/14/2019 22:00,12/14/2019 22:53
,,,,Light,12/14/2019 23:24,12/14/2019 23:53
,,,,Light,12/15/2019 0:21,12/15/2019 2:53
,,,,Severe,12/27/2019 8:48,12/27/2019 9:09
,,,,Severe,12/27/2019 11:07,12/27/2019 11:42
,,,,Severe,12/27/2019 15:01,12/27/2019 17:08
,,,,Light,12/27/2019 17:08,12/27/2019 17:43
,,,,Severe,12/27/2019 17:43,12/28/2019 3:08
,,,,Severe,12/28/2019 3:40,12/28/2019 3:48
,,,,Severe,12/28/2019 3:53,12/28/2019 4:53
,,,,Moderate,12/28/2019 12:53,12/28/2019 13:35
,,,,Light,12/28/2019 13:35,12/28/2019 17:04
,,,,Light,12/28/2019 17:15,12/28/2019 17:53
