Age of Casualty,Direction,DistrictNumber,Latitude,Longitude,ActivityStartDateTime,ActivityEndDateTime
18,BOTH DIRECTIONS,12,41.294514,-81.639849,3/20/2017 8:00,7/31/2019 8:00
36,EASTBOUND,12,41.58049,-81.540945,4/12/2018 20:00,12/31/2018 6:00
9,SOUTHBOUND,10,39.300481,-81.663601,5/1/2018 7:00,6/15/2018 17:00
17,BOTH DIRECTIONS,11,40.008367,-80.749914,2/28/2018 8:00,6/30/2018 17:00
39,BOTH DIRECTIONS,8,39.226048,-84.368744,6/11/2018 7:00,9/30/2018 15:30
57,BOTH DIRECTIONS,2,41.674872,-83.572939,1/1/2017 6:00,9/30/2018 18:00
19,SOUTHBOUND,6,40.0967,-83.13656,4/17/2018 22:00,4/18/2018 5:00
20,BOTH DIRECTIONS,11,40.878755,-80.841422,4/16/2018 7:00,10/31/2018 17:00
35,BOTH DIRECTIONS,10,38.838947,-82.164868,4/10/2018 7:00,4/27/2018 16:30
17,BOTH DIRECTIONS,10,39.706996,-81.014471,5/1/2018 7:00,5/17/2018 17:00
20,BOTH DIRECTIONS,3,40.80529,-81.986056,4/15/2018 22:22,4/17/2018 10:00
30,BOTH DIRECTIONS,12,41.370581,-81.082754,4/12/2018 8:00,10/15/2018 8:00
46,BOTH DIRECTIONS,9,38.553503,-82.467397,4/19/2018 8:00,6/15/2018 16:00
30,BOTH DIRECTIONS,1,41.054191,-83.671062,3/26/2017 21:00,12/18/2020 7:00
33,BOTH DIRECTIONS,4,41.04045,-81.608756,4/16/2018 10:51,4/20/2018 23:59
19,BOTH DIRECTIONS,8,39.743568,-84.785104,3/19/2018 7:00,7/21/2018 15:30
4,BOTH DIRECTIONS,8,39.782402,-83.959571,4/23/2018 7:00,10/26/2018 15:30
20,BOTH DIRECTIONS,11,40.420645,-81.089085,4/9/2018 6:00,10/31/2018 17:00
18,BOTH DIRECTIONS,10,39.560238,-81.205552,4/16/2018 8:30,4/17/2018 15:30
8,BOTH DIRECTIONS,4,40.791171,-81.338288,4/16/2018 5:00,7/20/2018 17:00
59,EASTBOUND,3,41.38068,-82.067669,4/16/2018 7:00,4/30/2018 11:00
23,BOTH DIRECTIONS,5,39.904326,-81.553678,4/16/2018 12:15,4/20/2018 23:59
6,EASTBOUND,12,41.485068,-81.745959,6/7/2017 10:00,6/29/2018 6:00
82,BOTH DIRECTIONS,12,41.414002,-81.615962,4/9/2018 6:00,9/28/2018 6:00
60,BOTH DIRECTIONS,9,38.78346,-82.9825,4/25/2017 8:00,12/31/2020 23:00
40,BOTH DIRECTIONS,7,40.150637,-84.209052,3/26/2018 7:00,6/30/2018 17:00
30,EASTBOUND,2,41.678348,-83.588341,10/28/2016 6:00,9/30/2018 6:00
35,EASTBOUND,4,40.916555,-80.52913,3/7/2018 7:00,5/18/2018 17:00
26,BOTH DIRECTIONS,3,40.919502,-82.686022,4/2/2018 7:00,5/17/2018 17:00
24,BOTH DIRECTIONS,2,41.123498,-83.158731,3/26/2018 0:01,5/25/2018 18:00
22,BOTH DIRECTIONS,6,40.258044,-83.460304,4/16/2018 18:00,10/1/2018 6:00
40,BOTH DIRECTIONS,2,41.683628,-83.570639,3/9/2015 7:00,7/31/2018 19:00
26,BOTH DIRECTIONS,7,40.285907,-84.169558,1/21/2018 7:00,11/27/2018 17:00
53,SOUTHBOUND,2,41.678404,-83.573391,3/9/2015 7:00,7/31/2018 19:00
23,BOTH DIRECTIONS,4,41.159871,-80.647569,3/16/2018 5:00,9/28/2018 17:00
40,BOTH DIRECTIONS,8,39.243767,-84.448822,2/19/2018 5:00,9/30/2018 19:00
22,BOTH DIRECTIONS,8,39.144949,-84.729028,4/9/2018 9:00,8/31/2018 15:00
15,BOTH DIRECTIONS,4,41.261695,-81.375088,4/3/2017 5:00,9/28/2018 17:00
21,NORTHBOUND,10,39.308441,-81.870413,2/1/2018 7:00,9/1/2018 15:30
24,WESTBOUND,4,40.911016,-80.518877,3/7/2018 7:00,5/18/2018 17:00
61,BOTH DIRECTIONS,11,40.427772,-81.363719,4/9/2018 6:00,9/30/2018 17:00
7,BOTH DIRECTIONS,4,41.062279,-81.517469,6/14/2017 8:00,6/26/2026 17:00
33,BOTH DIRECTIONS,10,39.579369,-81.649568,4/2/2018 7:00,10/31/2018 17:00
5,BOTH DIRECTIONS,7,39.74131,-84.204315,3/28/2017 7:00,9/30/2018 17:00
26,BOTH DIRECTIONS,12,41.384533,-81.132655,4/12/2018 9:00,4/20/2018 14:00
51,BOTH DIRECTIONS,8,39.430098,-84.078778,4/14/2018 18:00,8/31/2018 6:00
19,BOTH DIRECTIONS,8,39.819634,-84.072593,3/12/2018 7:00,9/30/2018 17:00
82,BOTH DIRECTIONS,4,40.666794,-81.247563,4/2/2018 5:00,7/27/2018 17:00
56,BOTH DIRECTIONS,10,39.779525,-80.861106,4/16/2018 7:00,5/11/2018 17:00
19,BOTH DIRECTIONS,9,39.130799,-82.43339,3/30/2018 7:00,6/30/2018 17:00
93,BOTH DIRECTIONS,10,39.396357,-82.136212,4/16/2018 6:21,4/17/2018 15:30
35,BOTH DIRECTIONS,9,39.088703,-83.134713,4/4/2018 10:00,5/11/2018 16:00
46,BOTH DIRECTIONS,12,41.461845,-81.694733,4/23/2018 6:00,8/15/2018 6:00
28,BOTH DIRECTIONS,4,41.239671,-81.367423,4/16/2018 5:00,10/19/2018 17:00
28,BOTH DIRECTIONS,12,41.416467,-81.623724,9/1/2017 7:00,6/30/2018 19:00
25,BOTH DIRECTIONS,2,41.688338,-83.561895,5/4/2015 7:00,7/31/2018 18:00
19,WESTBOUND,6,39.954606,-82.976859,7/20/2017 5:00,4/27/2018 15:00
32,BOTH DIRECTIONS,12,41.494354,-81.615193,7/10/2017 6:00,9/7/2018 18:00
39,BOTH DIRECTIONS,9,38.488897,-82.547661,4/15/2018 8:00,7/31/2018 16:00
25,BOTH DIRECTIONS,8,39.158371,-84.653596,12/8/2017 20:00,8/24/2018 6:00
61,BOTH DIRECTIONS,3,41.264099,-82.060729,4/16/2018 7:00,7/16/2018 17:00
16,BOTH DIRECTIONS,4,40.828691,-81.397877,4/2/2018 20:00,7/27/2018 17:00
14,BOTH DIRECTIONS,12,41.49443,-81.615829,7/10/2017 6:00,9/7/2018 18:00
17,BOTH DIRECTIONS,10,39.65425,-81.823667,4/4/2018 7:00,12/31/2018 7:00
62,BOTH DIRECTIONS,10,39.853337,-81.155693,6/1/2018 7:00,6/14/2018 17:00
44,BOTH DIRECTIONS,12,41.522323,-81.622238,5/8/2017 7:00,4/30/2018 15:30
25,BOTH DIRECTIONS,9,38.969658,-83.506408,2/26/2018 14:00,5/31/2018 16:00
59,BOTH DIRECTIONS,9,38.868891,-82.908874,2/23/2018 8:00,4/28/2018 16:00
36,BOTH DIRECTIONS,11,40.017249,-80.949996,2/17/2018 7:30,5/31/2018 17:00
14,BOTH DIRECTIONS,4,40.654128,-81.570348,3/25/2018 5:00,8/10/2018 17:00
23,BOTH DIRECTIONS,9,38.944412,-83.550688,4/5/2018 8:00,5/11/2018 16:00
16,BOTH DIRECTIONS,9,39.205668,-83.813103,3/7/2018 8:00,9/30/2018 16:00
35,BOTH DIRECTIONS,12,41.509588,-81.614741,3/12/2018 7:00,10/31/2018 17:00
43,BOTH DIRECTIONS,9,39.032628,-82.617138,10/20/2017 8:00,6/30/2018 16:00
22,BOTH DIRECTIONS,3,40.74712,-83.034091,4/6/2018 7:00,7/31/2018 17:00
48,BOTH DIRECTIONS,3,41.464407,-81.996587,4/6/2018 7:00,9/28/2018 17:00
67,NORTHBOUND,10,39.694783,-81.885326,4/30/2018 7:00,10/31/2018 17:00
31,NORTHBOUND,7,39.746044,-84.204647,3/30/2018 7:00,9/30/2018 17:00
39,BOTH DIRECTIONS,7,39.838818,-84.060024,4/9/2018 7:00,5/3/2018 17:00
36,SOUTHBOUND,12,41.460665,-81.694793,4/17/2018 5:00,8/15/2018 15:00
58,BOTH DIRECTIONS,5,39.934515,-82.007007,4/16/2018 6:30,5/3/2018 17:00
46,SOUTHBOUND,8,39.104604,-84.282936,7/7/2017 7:00,8/1/2018 15:00
20,BOTH DIRECTIONS,2,41.687553,-83.555629,5/4/2015 7:00,7/31/2018 18:00
30,BOTH DIRECTIONS,11,40.512174,-81.925172,4/16/2018 10:05,4/18/2018 23:59
37,BOTH DIRECTIONS,9,38.862948,-82.897363,2/23/2018 8:00,4/21/2018 16:00
13,EASTBOUND,10,39.639061,-81.175404,2/23/2018 7:00,6/1/2018 15:30
38,NORTHBOUND,12,41.420669,-81.644152,4/13/2018 5:00,6/29/2019 16:00
32,BOTH DIRECTIONS,9,39.1353,-83.562186,3/4/2018 8:00,11/30/2018 16:00
13,BOTH DIRECTIONS,11,40.143092,-80.794126,4/2/2018 7:00,5/31/2018 17:00
55,BOTH DIRECTIONS,10,39.604371,-81.163083,5/15/2018 7:00,5/29/2018 17:00
57,BOTH DIRECTIONS,5,40.385,-82.250781,4/11/2018 7:00,7/30/2018 17:00
49,BOTH DIRECTIONS,4,41.201983,-80.663787,4/2/2018 5:00,6/15/2018 17:00
32,BOTH DIRECTIONS,5,40.147243,-81.549793,3/12/2018 7:00,10/31/2018 17:00
22,BOTH DIRECTIONS,3,41.157636,-82.023412,4/9/2018 7:00,4/20/2018 17:00
47,SOUTHBOUND,12,41.494966,-81.682234,11/25/2014 0:00,12/31/2024 0:00
22,BOTH DIRECTIONS,7,40.324331,-84.370844,4/9/2018 7:00,5/11/2018 17:00
25,SOUTHBOUND,6,40.098342,-83.135186,4/17/2018 22:00,4/18/2018 5:00
29,BOTH DIRECTIONS,11,40.642201,-81.931834,4/16/2018 7:00,4/20/2018 17:00
31,BOTH DIRECTIONS,11,40.106013,-80.778178,4/23/2018 7:00,7/22/2018 17:00
30,SOUTHBOUND,2,41.685831,-83.56726,3/9/2015 7:00,7/31/2018 19:00
52,BOTH DIRECTIONS,10,39.301072,-81.905306,4/17/2018 7:34,4/19/2018 10:00
43,BOTH DIRECTIONS,9,38.75127,-82.875768,12/31/2017 16:00,4/30/2018 18:00
38,BOTH DIRECTIONS,10,39.162665,-82.134935,2/19/2018 9:00,5/2/2018 15:30
21,BOTH DIRECTIONS,9,39.346075,-83.559811,4/2/2018 8:00,9/30/2018 16:00
28,BOTH DIRECTIONS,11,40.751016,-80.936673,3/5/2018 7:00,5/31/2018 17:00
21,BOTH DIRECTIONS,4,40.688986,-81.433317,3/19/2018 5:00,6/29/2018 17:00
49,BOTH DIRECTIONS,5,39.783969,-81.852641,4/16/2018 6:30,4/20/2018 17:00
27,SOUTHBOUND,4,40.830094,-81.397533,4/2/2018 22:00,7/30/2018 6:00
19,BOTH DIRECTIONS,4,41.063248,-81.527972,4/9/2018 5:00,6/29/2018 17:00
24,BOTH DIRECTIONS,3,40.8837,-82.196231,4/16/2018 7:00,8/31/2018 17:00
86,BOTH DIRECTIONS,2,41.408944,-84.008529,5/1/2015 6:00,11/1/2018 18:00
86,BOTH DIRECTIONS,10,39.238595,-82.294979,4/17/2018 8:01,4/18/2018 15:30
42,BOTH DIRECTIONS,9,38.828151,-82.851618,10/28/2015 8:00,12/31/2018 16:00
24,WESTBOUND,4,41.24303,-81.15768,4/4/2018 7:00,6/21/2018 19:00
23,BOTH DIRECTIONS,12,41.475979,-81.876076,7/24/2017 6:00,5/31/2018 6:00
37,BOTH DIRECTIONS,4,40.865541,-81.430752,4/16/2018 5:00,5/18/2018 17:00
52,BOTH DIRECTIONS,4,40.974367,-81.373261,5/8/2017 7:00,6/26/2020 16:00
18,BOTH DIRECTIONS,8,39.339998,-84.715675,3/19/2018 7:00,9/30/2018 17:00
23,BOTH DIRECTIONS,3,41.136292,-81.800503,3/30/2018 7:00,5/31/2018 17:00
47,BOTH DIRECTIONS,10,39.271395,-82.519827,5/18/2018 7:00,5/20/2018 17:00
43,BOTH DIRECTIONS,3,41.021015,-81.996018,4/19/2018 7:00,4/19/2018 20:00
10,BOTH DIRECTIONS,3,41.158226,-81.862988,3/17/2016 7:00,10/31/2018 17:00
45,SOUTHBOUND,10,39.681046,-80.910076,2/23/2018 7:00,6/1/2018 15:30
40,BOTH DIRECTIONS,9,38.969414,-83.473429,2/26/2018 14:00,5/31/2018 16:00
29,BOTH DIRECTIONS,7,39.764779,-84.193243,4/2/2018 7:00,4/1/2019 17:00
56,NORTHBOUND,8,39.164187,-84.431335,4/13/2018 15:51,4/17/2018 21:00
22,BOTH DIRECTIONS,11,40.900316,-80.722829,3/19/2018 7:00,6/15/2018 17:00
21,BOTH DIRECTIONS,12,41.475786,-81.659548,3/5/2018 6:00,11/5/2018 6:00
51,BOTH DIRECTIONS,4,41.056147,-81.528684,3/23/2018 5:00,3/16/2019 17:00
18,BOTH DIRECTIONS,9,39.132821,-82.529709,4/27/2018 8:00,7/14/2018 16:00
31,BOTH DIRECTIONS,10,39.319451,-82.182597,4/2/2018 7:00,10/31/2018 17:00
23,BOTH DIRECTIONS,9,39.105166,-82.979923,4/15/2018 15:58,4/17/2018 14:00
28,SOUTHBOUND,6,40.065204,-83.132762,4/17/2018 22:00,4/18/2018 5:00
26,BOTH DIRECTIONS,4,41.261388,-81.345434,4/12/2017 5:00,9/28/2018 17:00
37,EASTBOUND,9,39.249274,-82.848512,4/20/2018 8:00,9/29/2018 16:00
20,EASTBOUND,4,41.241543,-81.123347,4/3/2018 7:00,6/21/2018 19:00
22,WESTBOUND,6,39.89318,-83.039892,4/17/2018 21:00,4/18/2018 5:00
28,NORTHBOUND,6,39.89253,-83.036599,4/17/2018 21:00,4/18/2018 5:00
50,BOTH DIRECTIONS,4,41.037491,-81.585044,4/2/2018 5:00,5/18/2018 17:00
72,BOTH DIRECTIONS,11,40.621186,-80.625578,4/16/2018 7:00,10/31/2018 17:00
77,BOTH DIRECTIONS,12,41.423327,-81.509384,4/13/2018 14:00,4/27/2018 14:00
39,BOTH DIRECTIONS,4,41.510822,-80.753851,4/16/2018 5:00,7/27/2018 17:00
29,BOTH DIRECTIONS,4,40.788314,-81.352632,4/16/2018 5:00,7/6/2018 17:00
49,BOTH DIRECTIONS,4,41.427724,-80.737223,4/16/2018 5:00,5/25/2018 17:00
68,BOTH DIRECTIONS,11,40.233262,-81.344935,4/16/2018 8:00,4/19/2018 16:30
30,BOTH DIRECTIONS,2,41.684646,-83.571465,8/7/2017 6:00,12/31/2024 18:00
79,BOTH DIRECTIONS,9,38.751002,-82.876497,7/1/2016 8:00,4/21/2018 16:00
21,BOTH DIRECTIONS,12,41.38683,-81.143083,4/12/2018 8:30,10/15/2018 14:30
20,BOTH DIRECTIONS,8,39.194851,-84.475222,6/29/2017 19:00,11/30/2018 6:00
38,BOTH DIRECTIONS,8,39.274478,-84.522682,4/13/2018 7:00,5/23/2018 19:00
20,NORTHBOUND,10,39.222329,-81.788149,4/6/2018 7:00,12/31/2018 15:30
49,BOTH DIRECTIONS,10,39.696049,-81.886848,4/16/2018 6:45,4/17/2018 15:30
47,WESTBOUND,10,39.076045,-81.816148,4/2/2018 7:00,6/1/2018 17:00
36,BOTH DIRECTIONS,8,39.221774,-84.535628,7/20/2017 19:00,5/31/2018 6:00
50,BOTH DIRECTIONS,9,39.189765,-83.610131,4/2/2018 8:00,9/1/2018 16:00
15,BOTH DIRECTIONS,8,39.007161,-84.300648,2/26/2018 11:00,4/30/2018 19:00
25,WESTBOUND,10,39.630772,-80.914581,2/12/2018 7:30,12/31/2018 15:30
23,WESTBOUND,10,39.681466,-80.923024,3/6/2018 7:00,6/29/2018 15:30
40,BOTH DIRECTIONS,9,39.239013,-83.643579,3/22/2018 8:00,8/31/2018 16:00
23,EASTBOUND,4,41.039802,-81.662643,3/6/2018 16:00,5/7/2018 16:00
53,BOTH DIRECTIONS,8,39.173535,-84.491272,10/13/2014 20:00,5/4/2018 5:00
13,BOTH DIRECTIONS,4,41.165993,-80.87463,4/16/2018 5:00,6/22/2018 17:00
53,BOTH DIRECTIONS,4,41.427724,-80.737223,4/16/2018 5:00,5/25/2018 17:00
32,BOTH DIRECTIONS,3,40.635749,-82.238853,3/19/2018 7:00,6/30/2018 17:00
49,BOTH DIRECTIONS,10,39.333377,-81.889431,3/1/2018 7:00,9/3/2018 15:30
39,BOTH DIRECTIONS,3,41.411272,-82.180062,3/30/2018 7:00,5/31/2018 17:00
52,BOTH DIRECTIONS,12,41.491469,-81.709967,4/16/2018 6:00,5/31/2018 10:00
62,BOTH DIRECTIONS,8,39.254319,-84.434712,4/13/2018 7:30,4/27/2018 17:00
19,BOTH DIRECTIONS,5,40.39131,-82.479252,4/11/2018 7:00,7/30/2018 18:00
23,BOTH DIRECTIONS,3,41.404718,-82.117193,3/30/2017 7:00,5/31/2019 17:00
26,WESTBOUND,12,41.581281,-81.540451,4/12/2018 20:00,6/15/2018 6:00
49,WESTBOUND,12,41.498236,-81.705356,4/16/2018 20:00,4/21/2018 6:00
48,BOTH DIRECTIONS,4,41.040538,-81.657701,7/24/2016 5:00,6/28/2019 17:00
22,BOTH DIRECTIONS,8,39.072795,-84.326106,7/5/2017 9:00,5/1/2018 15:00
39,BOTH DIRECTIONS,8,39.765619,-84.701011,4/23/2018 7:00,4/27/2018 15:00
42,BOTH DIRECTIONS,11,40.049201,-80.734029,2/12/2018 7:00,10/15/2019 17:00
50,BOTH DIRECTIONS,9,38.96334,-83.418477,2/26/2018 14:00,5/31/2018 16:00
18,BOTH DIRECTIONS,9,39.135053,-83.563942,3/1/2018 8:00,6/16/2018 16:00
31,BOTH DIRECTIONS,10,39.413821,-82.589465,3/1/2018 7:00,6/30/2018 15:30
43,BOTH DIRECTIONS,11,40.88477,-80.650871,3/12/2018 7:00,10/31/2018 17:00
45,BOTH DIRECTIONS,3,41.191659,-82.411051,3/30/2018 7:00,5/31/2018 17:00
51,WESTBOUND,10,39.66719,-81.323363,2/23/2018 7:00,6/1/2018 15:30
21,WESTBOUND,12,41.579766,-81.544013,4/12/2018 20:00,6/15/2018 6:00
35,SOUTHBOUND,2,41.686538,-83.56671,3/9/2015 7:00,7/31/2018 19:00
24,BOTH DIRECTIONS,11,40.632886,-81.187253,4/23/2018 7:00,4/27/2018 16:00
36,BOTH DIRECTIONS,9,38.558987,-82.352585,4/15/2018 8:00,7/31/2018 16:00
27,SOUTHBOUND,9,38.892462,-83.000309,3/16/2018 14:00,4/30/2018 18:00
26,BOTH DIRECTIONS,3,41.464585,-82.022092,3/30/2018 7:00,10/31/2018 17:00
27,BOTH DIRECTIONS,8,39.626194,-84.754343,3/26/2018 7:00,10/1/2018 15:30
48,SOUTHBOUND,8,39.10052,-84.504357,12/8/2017 22:00,4/30/2018 8:00
14,WESTBOUND,2,41.501486,-82.837491,12/5/2017 6:00,5/25/2018 18:00
25,BOTH DIRECTIONS,1,40.802752,-83.380404,2/26/2018 8:00,4/27/2018 15:00
48,BOTH DIRECTIONS,8,39.251926,-84.423987,4/2/2018 9:00,6/1/2018 17:00
34,NORTHBOUND,10,39.687123,-80.936855,2/23/2018 7:00,6/1/2018 15:30
25,BOTH DIRECTIONS,4,41.039295,-81.661829,3/5/2018 5:00,5/11/2018 17:00
25,BOTH DIRECTIONS,9,39.165378,-82.736575,4/20/2018 8:00,4/27/2018 17:00
22,BOTH DIRECTIONS,8,39.059596,-84.424845,4/22/2018 6:00,4/22/2018 9:00
23,BOTH DIRECTIONS,10,39.371175,-82.274721,4/16/2018 8:00,4/19/2018 10:00
21,BOTH DIRECTIONS,6,40.1196,-83.463408,4/16/2018 9:00,5/7/2018 15:00
36,BOTH DIRECTIONS,10,39.326572,-82.265795,4/16/2018 14:15,4/19/2018 10:00
52,BOTH DIRECTIONS,9,39.031852,-82.823586,4/2/2018 8:00,7/31/2018 16:00
39,WESTBOUND,10,39.807179,-81.179915,4/2/2018 7:00,7/27/2018 17:00
63,SOUTHBOUND,2,41.687262,-83.552604,10/28/2016 21:00,7/31/2018 18:00
12,BOTH DIRECTIONS,11,40.686033,-80.642271,4/2/2018 7:00,6/30/2018 17:00
19,BOTH DIRECTIONS,11,39.96756,-81.178542,4/9/2018 7:00,7/31/2018 17:00
12,BOTH DIRECTIONS,7,39.853261,-83.994407,4/4/2018 7:00,4/24/2018 17:00
30,BOTH DIRECTIONS,7,39.84773,-84.425052,3/5/2018 7:00,9/30/2018 17:00
29,BOTH DIRECTIONS,7,39.87039,-83.993636,3/26/2018 7:00,8/15/2018 17:00
37,BOTH DIRECTIONS,9,38.566208,-82.759664,4/9/2018 8:00,8/31/2018 16:00
61,BOTH DIRECTIONS,9,38.551766,-82.518826,4/2/2018 8:00,10/31/2018 16:00
30,BOTH DIRECTIONS,1,40.842262,-84.349281,4/23/2018 8:00,4/24/2018 16:00
42,BOTH DIRECTIONS,12,41.579215,-81.544516,4/12/2018 6:00,6/15/2018 6:00
34,EASTBOUND,12,41.301328,-81.702072,4/13/2018 7:00,4/27/2018 19:00
57,BOTH DIRECTIONS,10,39.27819,-81.833359,4/17/2018 9:07,4/19/2018 10:00
26,BOTH DIRECTIONS,3,41.047782,-81.728794,4/16/2018 7:00,6/30/2018 17:00
63,BOTH DIRECTIONS,8,39.700817,-83.99828,4/16/2018 7:00,8/31/2018 15:30
57,BOTH DIRECTIONS,1,41.120297,-84.476861,4/18/2018 8:00,7/2/2018 8:00
24,SOUTHBOUND,6,39.894208,-83.039765,11/7/2017 11:59,6/1/2018 0:00
59,BOTH DIRECTIONS,5,40.059639,-81.686226,4/10/2018 8:00,5/31/2018 14:45
45,WESTBOUND,10,39.430245,-81.863951,2/25/2018 7:00,6/30/2018 17:00
39,BOTH DIRECTIONS,9,38.952831,-83.045503,3/18/2018 8:00,7/31/2018 16:00
47,BOTH DIRECTIONS,9,39.204342,-83.737944,4/5/2018 8:00,9/30/2018 16:00
19,BOTH DIRECTIONS,4,41.303872,-81.412373,4/6/2018 5:00,4/27/2018 17:00
20,BOTH DIRECTIONS,11,40.318978,-81.311625,4/16/2018 8:00,4/19/2018 16:30
21,SOUTHBOUND,2,41.653963,-83.553034,8/21/2017 6:00,5/31/2019 18:00
24,BOTH DIRECTIONS,4,41.309547,-81.132695,4/16/2018 5:00,7/27/2018 17:00
22,SOUTHBOUND,2,41.550483,-83.604071,4/17/2018 8:56,4/17/2018 13:00
62,BOTH DIRECTIONS,3,41.3574,-82.634883,3/30/2018 7:00,9/30/2018 17:00
17,BOTH DIRECTIONS,11,40.071155,-80.877089,3/6/2017 7:00,10/31/2018 17:00
19,EASTBOUND,3,41.32898,-82.478089,4/11/2018 0:00,5/25/2018 12:00
14,BOTH DIRECTIONS,12,41.393391,-81.510315,8/8/2016 19:00,6/30/2020 19:00
15,BOTH DIRECTIONS,9,38.835817,-82.851183,7/10/2016 8:00,4/8/2019 8:00
16,EASTBOUND,10,39.413524,-82.648387,2/26/2018 7:30,9/1/2018 16:00
40,BOTH DIRECTIONS,11,40.190989,-80.996302,4/9/2018 6:00,10/31/2018 17:00
23,BOTH DIRECTIONS,5,40.053103,-81.325309,3/26/2018 0:00,10/31/2018 17:00
33,SOUTHBOUND,12,41.493418,-81.683112,10/23/2014 19:00,12/31/2024 0:00
13,BOTH DIRECTIONS,11,40.264176,-80.983256,4/9/2018 6:00,10/31/2018 17:00
23,WESTBOUND,4,40.82957,-81.394614,4/2/2018 21:00,6/20/2018 6:00
76,BOTH DIRECTIONS,10,39.846243,-81.023725,4/4/2018 7:00,12/1/2018 17:00
45,BOTH DIRECTIONS,8,39.104959,-84.504583,6/1/2015 22:00,4/30/2018 17:00
10,BOTH DIRECTIONS,8,39.543948,-84.063248,4/9/2018 7:00,4/20/2018 17:00
45,BOTH DIRECTIONS,11,40.37199,-80.60966,5/31/2016 7:00,12/31/2018 17:00
28,BOTH DIRECTIONS,1,40.627757,-82.333005,4/6/2018 7:00,8/30/2018 17:00
29,WESTBOUND,10,39.516267,-82.156166,2/19/2018 7:00,6/1/2018 15:30
59,BOTH DIRECTIONS,6,39.954099,-82.989285,1/9/2018 8:00,10/31/2018 17:00
20,NORTHBOUND,4,41.060573,-81.504431,10/29/2017 19:30,8/31/2018 17:00
19,NORTHBOUND,10,39.062242,-81.813065,1/18/2018 7:00,5/1/2018 15:30
20,NORTHBOUND,10,39.676386,-80.880468,4/12/2018 7:00,6/12/2018 15:30
43,BOTH DIRECTIONS,4,41.061702,-81.52662,3/22/2017 8:00,3/27/2026 18:00
30,BOTH DIRECTIONS,8,39.398603,-84.452285,2/12/2018 7:00,9/21/2018 17:00
56,BOTH DIRECTIONS,5,40.273157,-81.739337,4/11/2018 7:00,10/15/2018 18:00
35,BOTH DIRECTIONS,4,40.76967,-81.338921,4/16/2018 5:00,7/20/2018 17:00
49,BOTH DIRECTIONS,8,39.125108,-84.535983,3/12/2018 9:00,4/30/2018 15:00
65,EASTBOUND,4,41.061672,-81.506796,11/8/2017 20:00,8/31/2018 17:00
26,NORTHBOUND,6,39.950654,-83.016378,4/17/2018 9:08,4/17/2018 22:23
52,BOTH DIRECTIONS,4,41.524395,-80.868042,4/16/2018 5:00,8/17/2018 17:00
46,BOTH DIRECTIONS,4,40.882227,-81.431531,4/13/2018 18:00,4/20/2018 6:00
45,BOTH DIRECTIONS,8,39.336646,-84.282077,5/19/2017 7:00,6/1/2019 15:00
23,SOUTHBOUND,2,41.674441,-83.574994,8/19/2014 7:00,9/30/2018 19:00
18,BOTH DIRECTIONS,3,41.394533,-82.004742,3/30/2018 7:00,10/31/2019 17:00
75,BOTH DIRECTIONS,12,41.480009,-81.661771,10/23/2017 20:00,10/31/2019 6:00
80,BOTH DIRECTIONS,10,39.562199,-81.44942,3/26/2018 7:00,9/30/2018 17:00
20,BOTH DIRECTIONS,7,39.876146,-84.234465,4/2/2018 7:00,4/27/2018 17:00
37,NORTHBOUND,10,39.73725,-81.116559,2/23/2018 7:00,6/1/2018 15:30
