FROM_DATE,TO_DATE,STREET_ADDRESS,Works Type,Category Of Works,Accident Ref No.,Casualty Severity
2020-02-20T00:00:00.000Z,2020-03-26T00:00:00.000Z,706 BARRET AVE,MAJOR,Streetworks,10CA0000203,Slight
2020-02-17T00:00:00.000Z,2020-03-27T00:00:00.000Z,201 S 4TH ST,STANDARD,Streetworks,10CA0000203,Slight
2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,420 LONG RUN RD,MAJOR,Streetworks,10CA0000203,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,280 W JEFFERSON ST,MINOR,Streetworks,10AA0000097,Slight
2020-01-27T00:00:00.000Z,2020-04-24T00:00:00.000Z,5411 REGENT WAY,MAJOR,Streetworks,10AA0000097,Slight
2020-01-24T00:00:00.000Z,2020-04-27T00:00:00.000Z,8212 KIMBERLY WAY,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000200,Slight
2020-01-27T00:00:00.000Z,2020-04-27T00:00:00.000Z,2800 S FLOYD ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000200,Slight
2020-01-27T00:00:00.000Z,2020-04-27T00:00:00.000Z,200 E WASHINGTON ST,MAJOR,Streetworks,10BA0000020,Slight
2020-02-18T00:00:00.000Z,2020-04-27T00:00:00.000Z,1121 PHILLIPS LN,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000162,Slight
2020-01-21T00:00:00.000Z,2020-04-28T00:00:00.000Z,300 W LIBERTY ST,MINOR,Streetworks,10CA0000035,Slight
2020-01-28T00:00:00.000Z,2020-04-28T00:00:00.000Z,100 E LIBERTY ST,MINOR,Streetworks,10AA0000089,Slight
2020-01-01T00:00:00.000Z,2020-04-30T00:00:00.000Z,1200 ROWAN ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000089,Slight
2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,200 DERBY AVE,MAJOR,Streetworks,10AA0000116,Slight
2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,211 DERBY AVE,MINOR,Streetworks,10AA0000116,Slight
2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,213 BONNIE LN,MINOR,Streetworks,10BA0000140,Slight
2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,211 ALPHA AVE,MAJOR,Streetworks,10BA0000140,Slight
2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,209 DERBY AVE,HIGHWAYS ACT PERMITS,Other,10BA0000140,Slight
2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,232 W MUHAMMAD ALI BLVD,HIGHWAYS ACT PERMITS,Building Licence,10BA0000140,Slight
2020-02-06T00:00:00.000Z,2020-04-30T00:00:00.000Z,337 E ST CATHERINE ST,STANDARD,Streetworks,10BA0000145,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1112 W ST CATHERINE ST,MAJOR,Streetworks,10BA0000133,Slight
2020-02-14T00:00:00.000Z,2020-03-01T00:00:00.000Z,221 S 4TH ST,HIGHWAYS ACT PERMITS,Building Licence,10BA0000133,Slight
2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,2700 CRITTENDEN DR,MAJOR,Streetworks,10AA0000122,Slight
2020-02-06T00:00:00.000Z,2020-04-30T00:00:00.000Z,1021 S FLOYD ST,MAJOR,Streetworks,10AA0000180,Slight
2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,307 W WOODLAWN AVE,MAJOR,Streetworks,10AA0000579,Slight
2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4642 BELLEVUE AVE,HIGHWAYS ACT PERMITS,Building Licence,10AA0000093,Slight
2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4901 PEACHTREE AVE,MAJOR,Streetworks,10AA0000151,Slight
2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,3237 W BROADWAY,MAJOR,Streetworks,10BA0000123,Slight
2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4541 S 3RD ST,HIGHWAYS ACT PERMITS,Building Licence,10BA0000123,Slight
2020-02-17T00:00:00.000Z,2020-04-30T00:00:00.000Z,2730 LEXINGTON RD,MAJOR,Streetworks,10CA0000303,Slight
2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,3722 7TH STREET RD,STANDARD,Streetworks,10AA0000117,Slight
2020-02-21T00:00:00.000Z,2020-03-27T00:00:00.000Z,1412 TUCKER STATION RD,HIGHWAYS ACT PERMITS,Other,10AA0000117,Slight
2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1427 S CLAY ST,STANDARD,Streetworks,10AA0000386,Slight
2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1742 BERRY BLVD,MAJOR,Streetworks,10BA0000195,Slight
2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1742 BERRY BLVD,HIGHWAYS ACT PERMITS,Building Licence,10BA0000195,Slight
2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1733 BROWNSBORO RD,MINOR,Streetworks,10BA0000195,Slight
2019-12-02T00:00:00.000Z,2020-04-30T00:00:00.000Z,123 N 11TH ST,MAJOR,Streetworks,10BA0000195,Slight
2020-02-12T00:00:00.000Z,2020-05-15T00:00:00.000Z,2532 W BROADWAY,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000195,Slight
2020-02-12T00:00:00.000Z,2020-05-15T00:00:00.000Z,865 S 26TH ST,HIGHWAYS ACT PERMITS,Building Licence,10BA0000195,Slight
2020-02-18T00:00:00.000Z,2020-05-15T00:00:00.000Z,3237 W BROADWAY,MAJOR,Streetworks,10CA0000193,Slight
2020-02-18T00:00:00.000Z,2020-05-15T00:00:00.000Z,3237 W BROADWAY,HIGHWAYS ACT PERMITS,Other,10AA0000155,Slight
2020-02-21T00:00:00.000Z,2020-05-15T00:00:00.000Z,810 N ENGLISH STATION RD,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000157,Slight
2020-02-26T00:00:00.000Z,2020-05-15T00:00:00.000Z,2600 STANLEY GAULT PKY Unit 101,HIGHWAYS ACT PERMITS,Other,10AA0000157,Slight
2020-02-18T00:00:00.000Z,2020-05-18T00:00:00.000Z,4538 S 3RD ST,STANDARD,Streetworks,10AA0000157,Slight
2019-12-11T00:00:00.000Z,2020-05-31T00:00:00.000Z,1800 BROWNSBORO RD,MINOR,Streetworks,10BA0000224,Slight
2020-02-24T00:00:00.000Z,2020-06-24T00:00:00.000Z,12911 FACTORY LN,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000236,Slight
2019-02-01T00:00:00.000Z,2020-06-30T00:00:00.000Z,309 W BRANDEIS AVE,MINOR,Streetworks,10CA0000298,Serious
2020-01-20T00:00:00.000Z,2020-08-31T00:00:00.000Z,3808 HILLCROSS DR,HIGHWAYS ACT PERMITS,Building Licence,10CA0000444,Slight
2020-01-20T00:00:00.000Z,2020-08-31T00:00:00.000Z,4100 MUD LN,MAJOR,Streetworks,10CA0000444,Slight
2019-12-30T00:00:00.000Z,2020-12-31T00:00:00.000Z,3800 CRITTENDEN DR,MAJOR,Streetworks,10CA0000444,Slight
2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,601 W Jefferson ST,MAJOR,Streetworks,10AA0000204,Serious
2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,704 BARRET AVE,STANDARD,Streetworks,10AA0000395,Slight
2020-02-14T00:00:00.000Z,2020-03-31T00:00:00.000Z,1414 S 7TH ST,MAJOR,Streetworks,10CA0000267,Slight
2020-02-14T00:00:00.000Z,2020-03-31T00:00:00.000Z,812 W MAGNOLIA AVE,MINOR,Streetworks,10MU0000265,Slight
2020-02-16T00:00:00.000Z,2020-03-31T00:00:00.000Z,718 S 4TH ST,STANDARD,Streetworks,10AA0000275,Slight
2020-02-17T00:00:00.000Z,2020-03-31T00:00:00.000Z,615 W BRECKINRIDGE ST,HIGHWAYS ACT PERMITS,Building Licence,10AA0000275,Slight
2020-02-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,2229 PIRTLE ST,HIGHWAYS ACT PERMITS,Building Licence,10BA0000256,Slight
2020-02-18T00:00:00.000Z,2020-03-31T00:00:00.000Z,211 W HILL ST Unit 1,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000385,Slight
2020-02-20T00:00:00.000Z,2020-03-31T00:00:00.000Z,207 W BROADWAY,MAJOR,Streetworks,10CA0000317,Slight
2020-02-21T00:00:00.000Z,2020-03-31T00:00:00.000Z,8406 HUDSON LN,MAJOR,Streetworks,10CA0001024,Slight
2020-02-21T00:00:00.000Z,2020-03-31T00:00:00.000Z,1248 E BROADWAY,MAJOR,Streetworks,10BA0000322,Slight
2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,500 E JEFFERSON ST Unit 101,MAJOR,Streetworks,10BA0000388,Serious
2019-10-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,200 N SHELBY ST,MINOR,Streetworks,10BA0000384,Slight
2019-10-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,270 N CAMPBELL ST,MAJOR,Streetworks,10BA0000555,Slight
2020-01-06T00:00:00.000Z,2020-03-02T00:00:00.000Z,14318 OLD HENRY RD,STANDARD,Streetworks,10CA0000326,Slight
2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1651 DIXDALE AVE,MINOR,Streetworks,10CA0000391,Slight
2019-12-11T00:00:00.000Z,2020-03-31T00:00:00.000Z,901 W MAGNOLIA AVE,MAJOR,Streetworks,10AA0000302,Serious
2019-12-26T00:00:00.000Z,2020-03-31T00:00:00.000Z,218 W MUHAMMAD ALI BLVD,MAJOR,Streetworks,10AA0000338,Slight
2019-12-31T00:00:00.000Z,2020-03-31T00:00:00.000Z,100 W MARKET ST,STANDARD,Streetworks,10BA0000406,Slight
2020-02-03T00:00:00.000Z,2020-04-01T00:00:00.000Z,731 W WASHINGTON ST,MAJOR,Streetworks,10CA0000332,Slight
2020-02-19T00:00:00.000Z,2020-04-01T00:00:00.000Z,101 W MUHAMMAD ALI BLVD,MAJOR,Streetworks,10MU0000431,Slight
2020-01-13T00:00:00.000Z,2020-04-03T00:00:00.000Z,222 S 4TH ST,HIGHWAYS ACT PERMITS,Building Licence,10BA0000381,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,300 S 1ST ST,MAJOR,Streetworks,10AA0000397,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 N 6TH ST,HIGHWAYS ACT PERMITS,Building Licence,10AA0000397,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,615 W SHIPP AVE,MAJOR,Streetworks,10AA0000400,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,701 W JEFFERSON ST,MAJOR,Streetworks,10AA0000677,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 W BROADWAY,MAJOR,Streetworks,10BA0000494,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,8010 CHRISTIAN CT,HIGHWAYS ACT PERMITS,Building Licence,10CA0000435,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,1334 S 3RD ST,HIGHWAYS ACT PERMITS,Other,10MU0000428,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,600 W MARKET ST,MINOR,Streetworks,10AA0000450,Slight
2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,1311 S SHELBY ST,MAJOR,Streetworks,10MU0000429,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 E LIBERTY ST,HIGHWAYS ACT PERMITS,Building Licence,10AA0000480,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,117 W LIBERTY ST,MAJOR,Streetworks,10AA0000567,Slight
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,124 E LIBERTY ST,STANDARD,Streetworks,10BA0000493,Serious
2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,140 S 4TH ST,MAJOR,Streetworks,10CA0000451,Slight
2020-02-10T00:00:00.000Z,2020-04-06T00:00:00.000Z,133 W LIBERTY ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000457,Slight
2020-02-10T00:00:00.000Z,2020-04-06T00:00:00.000Z,200 ABRAHAM FLEXNER WAY,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000474,Slight
2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,12500 SYCAMORE STATION PL,STANDARD,Streetworks,10AA0000486,Slight
2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,1552 KNIGHT RD,MAJOR,Streetworks,10CA0000481,Serious
2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,1500 OLEANDA CT,MAJOR,Streetworks,10CA0000522,Serious
2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,3202 GOOSE CREEK RD,STANDARD,Streetworks,10CA0000541,Slight
2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,10119 WHIPPS MILL RD,MINOR,Streetworks,10AA0000488,Slight
2020-02-26T00:00:00.000Z,2020-04-08T00:00:00.000Z,416 W JEFFERSON ST,HIGHWAYS ACT PERMITS,Building Licence,10AA0000602,Slight
2020-02-17T00:00:00.000Z,2020-04-10T00:00:00.000Z,140 N 4TH ST,MAJOR,Streetworks,10BA0005204,Slight
2020-02-07T00:00:00.000Z,2020-04-11T00:00:00.000Z,1024 E MAIN ST,STANDARD,Streetworks,10BA0005204,Slight
2020-02-10T00:00:00.000Z,2020-04-11T00:00:00.000Z,540 S 4TH ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000500,Slight
2020-02-18T00:00:00.000Z,2020-04-11T00:00:00.000Z,3441 TAYLOR BLVD,MAJOR,Streetworks,10CA0000520,Slight
2020-02-21T00:00:00.000Z,2020-04-11T00:00:00.000Z,418 PINE ST,MAJOR,Streetworks,10CA0000520,Serious
2020-02-17T00:00:00.000Z,2020-04-13T00:00:00.000Z,2015 GARDINER LN,MAJOR,Streetworks,10CA0000536,Slight
2020-02-07T00:00:00.000Z,2020-04-15T00:00:00.000Z,1238 HULL ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000538,Slight
2020-02-19T00:00:00.000Z,2020-04-15T00:00:00.000Z,400 S 4TH ST Unit 160,MAJOR,Streetworks,10CA0000542,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,280 W JEFFERSON ST,HIGHWAYS ACT PERMITS,Building Licence,10MU0000551,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,931 DRESDEN AVE,MAJOR,Streetworks,10MU0000551,Slight
2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,1227 S 12TH ST,HIGHWAYS ACT PERMITS,Building Licence,10MU0000661,Slight
2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,1335 S 13TH ST,HIGHWAYS ACT PERMITS,Building Licence,10MU0000698,Slight
2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,654 S 7TH ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000533,Slight
2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,150 S 3RD ST,HIGHWAYS ACT PERMITS,Skip Licence,10AA0000556,Slight
2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,120 S 8TH ST,MINOR,Streetworks,10BA0000543,Slight
2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,201 S 4TH ST,MINOR,Streetworks,10CA0000504,Serious
2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,738 S 4TH ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000531,Slight
2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,320 W JEFFERSON ST,HIGHWAYS ACT PERMITS,Building Licence,10AA0000491,Slight
2020-01-01T00:00:00.000Z,2020-03-30T00:00:00.000Z,416 W JEFFERSON ST,STANDARD,Streetworks,10AA0000491,Slight
2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 E JEFFERSON ST,MAJOR,Streetworks,10BA0000517,Slight
2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,845 S 9TH ST,MAJOR,Streetworks,10CA0000558,Slight
2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,812 LAMPTON ST,ROAD RESTRICTION,Streetworks,10CA0000558,Slight
2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,600 W MARKET ST,MAJOR,Streetworks,10AA0000637,Slight
2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,2317 HOWARD ST,MINOR,Streetworks,10BA0000789,Slight
2020-02-03T00:00:00.000Z,2020-03-30T00:00:00.000Z,1424 W KENTUCKY ST,HIGHWAYS ACT PERMITS,Building Licence,10MU0000645,Slight
2020-02-17T00:00:00.000Z,2020-03-30T00:00:00.000Z,8715 OLD BARDSTOWN RD,HIGHWAYS ACT PERMITS,Building Licence,10AA0000604,Slight
2020-02-17T00:00:00.000Z,2020-03-30T00:00:00.000Z,615 m ST,MAJOR,Streetworks,10AA0000614,Slight
2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 W BROADWAY,HIGHWAYS ACT PERMITS,Building Licence,10BA0000606,Slight
2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3333 RADIANCE RD,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000606,Slight
2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3646 JOHNSTON WAY,HIGHWAYS ACT PERMITS,Crane Operation,10CA0000640,Serious
2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3306 NOE WAY,HIGHWAYS ACT PERMITS,Other,10CA0000618,Slight
2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3647 STANTON BLVD,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000646,Slight
2020-02-24T00:00:00.000Z,2020-03-30T00:00:00.000Z,3048 RADIANCE RD,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000646,Slight
2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,226 S 1ST ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000646,Slight
2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 E LIBERTY ST,STANDARD,Streetworks,10CA0000739,Slight
2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,627 S 1ST ST,STANDARD,Streetworks,10CA0000739,Slight
2019-12-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,100 E LIBERTY ST,STANDARD,Streetworks,10MU0000616,Slight
2020-01-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,635 INDUSTRY RD,HIGHWAYS ACT PERMITS,Building Licence,10BA0000619,Slight
2020-01-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,215 CENTRAL AVE,MAJOR,Streetworks,10BA0000676,Slight
2020-01-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,2400 S 4TH ST Unit 1007,MAJOR,Streetworks,10BA0000676,Slight
2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,1630 FRANKFORT AVE,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000708,Slight
2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,2432 GLENMARY AVE Unit A1,HIGHWAYS ACT PERMITS,Building Licence,10BA0000708,Slight
2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,100 W CHESTNUT ST,HIGHWAYS ACT PERMITS,Building Licence,10BA0000708,Slight
2020-01-06T00:00:00.000Z,2020-03-31T00:00:00.000Z,1047 FRANKLIN ST,MAJOR,Streetworks,10BA0000708,Slight
2020-01-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,9004 CHERRIVILLE RD,MAJOR,Streetworks,10BA0000708,Slight
2020-01-08T00:00:00.000Z,2020-03-31T00:00:00.000Z,912 LOUIS COLEMAN JR DR,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000710,Slight
2020-01-09T00:00:00.000Z,2020-03-31T00:00:00.000Z,2131 S 41ST ST,MINOR,Streetworks,10AA0000631,Slight
2020-01-09T00:00:00.000Z,2020-03-31T00:00:00.000Z,4011 ALGONQUIN PKY,MAJOR,Streetworks,10AA0000631,Slight
2020-01-13T00:00:00.000Z,2020-03-31T00:00:00.000Z,332 E OAK ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000644,Slight
2020-01-20T00:00:00.000Z,2020-03-31T00:00:00.000Z,709 VINE ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000668,Slight
2020-01-20T00:00:00.000Z,2020-03-31T00:00:00.000Z,2737 HELM ST,MAJOR,Streetworks,10AA0000668,Slight
2020-01-22T00:00:00.000Z,2020-03-31T00:00:00.000Z,1201 DURRETT LN,MINOR,Streetworks,10CA0000656,Slight
2020-01-22T00:00:00.000Z,2020-03-31T00:00:00.000Z,901 GOSS AVE,HIGHWAYS ACT PERMITS,Building Licence,10CA0000674,Slight
2020-01-23T00:00:00.000Z,2020-03-31T00:00:00.000Z,4816 PRESTON HWY,HIGHWAYS ACT PERMITS,Building Licence,10CA0000689,Serious
2020-02-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,7909 BARBOUR MANOR DR,HIGHWAYS ACT PERMITS,Building Licence,10CA0000791,Slight
2020-02-17T00:00:00.000Z,2020-03-20T00:00:00.000Z,8516 PENNSYLVANIA RUN RD,STANDARD,Streetworks,10MU0000709,Slight
2020-01-06T00:00:00.000Z,2020-03-02T00:00:00.000Z,14805 OLD HENRY RD,STANDARD,Streetworks,10AA0000733,Slight
2020-02-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,715 BROOKLINE AVE,MAJOR,Streetworks,10AA0000847,Serious
2020-02-11T00:00:00.000Z,2020-03-10T00:00:00.000Z,226 S 1ST ST,MAJOR,Streetworks,10BA0000666,Slight
2020-01-06T00:00:00.000Z,2020-03-02T00:00:00.000Z,14516 AIKEN RD,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000693,Slight
2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,1804 S 3RD ST,HIGHWAYS ACT PERMITS,Crane Operation,10MU0000841,Slight
2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,424 S 5TH ST,STANDARD,Streetworks,10BA0000694,Slight
2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,150 S 3RD ST,MAJOR,Streetworks,10BA0000703,Slight
2020-02-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,600 E LIBERTY ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0000760,Slight
2020-02-12T00:00:00.000Z,2020-03-11T00:00:00.000Z,2501 STANLEY GAULT PKY,MAJOR,Streetworks,10BA0000760,Slight
2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1367 S 11TH ST,MINOR,Streetworks,10CA0000678,Serious
2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1369 S 11TH ST,MAJOR,Streetworks,10MU0000855,Slight
2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1368 S 11TH ST,MAJOR,Streetworks,10AA0000714,Slight
2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1400 S 13TH ST,MAJOR,Streetworks,10AA0001017,Slight
2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1409 W HILL ST,STANDARD,Streetworks,10AA0001543,Slight
2020-01-13T00:00:00.000Z,2020-03-02T00:00:00.000Z,1819 W HILL ST,HIGHWAYS ACT PERMITS,Building Licence,10AA0001543,Serious
2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1369 S 11TH ST,MINOR,Streetworks,10BA0000662,Slight
2020-02-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,1225 W BURNETT AVE,MAJOR,Streetworks,10BA0000662,Slight
2020-01-05T00:00:00.000Z,2020-03-12T00:00:00.000Z,7518 SMYRNA RD,HIGHWAYS ACT PERMITS,Building Licence,10BA0000748,Slight
2019-12-12T00:00:00.000Z,2020-03-12T00:00:00.000Z,917 W HILL ST,MAJOR,Streetworks,10CA0000731,Slight
2020-02-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,913 S CLAY ST,HIGHWAYS ACT PERMITS,Building Licence,10CA0000740,Slight
